ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YAL002W	0.975
YAL004W	0.987
YAL005C	1.012
YAL007C	1.011
YAL008W	1.010
YAL009W	0.913
YAL010C	0.298
YAL011W	0.876
YAL012W	NaN
YAL013W	0.788
YAL014C	0.993
YAL015C	0.963
YAL016W	0.567
YAL017W	1.027
YAL018C	0.978
YAL019W	0.855
YAL020C	0.961
YAL021C	0.787
YAL022C	1.019
YAL023C	0.968
YAL024C	NaN
YAL026C	0.916
YAL027W	0.989
YAL028W	0.998
YAL029C	1.001
YAL030W	0.998
YAL031C	0.867
YAL034C	1.009
YAL035W	NaN
YAL036C	0.985
YAL037W	0.998
YAL039C	0.338
YAL040C	0.923
YAL042W	1.022
YAL043C-A	1.014
YAL044C	0.985
YAL045C	1.003
YAL046C	0.996
YAL047C	0.984
YAL048C	0.989
YAL049C	0.991
YAL051W	1.001
YAL053W	0.998
YAL054C	0.951
YAL055W	0.950
YAL056W	0.961
YAL058C-A	0.931
YAL058W	1.014
YAL059W	1.018
YAL060W	1.002
YAL061W	1.008
YAL062W	0.987
YAL064C-A	0.982
YAL065C	1.012
YAL066W	1.021
YAL067C	1.033
YAL068C	1.016
YAR002C-A	0.999
YAR002W	0.715
YAR003W	0.891
YAR014C	0.870
YAR015W	0.842
YAR018C	0.928
YAR020C	1.003
YAR023C	0.995
YAR027W	0.998
YAR028W	0.991
YAR029W	1.054
YAR030C	1.007
YAR031W	1.019
YAR035W	0.991
YAR037W	1.003
YAR040C	1.011
YAR042W	0.992
YAR043C	1.004
YAR044W	0.982
YAR047C	0.993
YAR050W	0.957
YBL001C	1.016
YBL002W	0.988
YBL003C	0.988
YBL005W	0.976
YBL006C	0.821
YBL007C	NaN
YBL008W	0.984
YBL009W	1.002
YBL010C	1.012
YBL011W	0.978
YBL012C	0.976
YBL013W	0.981
YBL015W	0.990
YBL017C	1.002
YBL019W	0.985
YBL021C	0.968
YBL022C	0.929
YBL024W	0.960
YBL027W	0.842
YBL028C	1.006
YBL029W	1.006
YBL031W	0.870
YBL032W	0.907
YBL033C	NaN
YBL036C	0.991
YBL037W	0.978
YBL038W	NaN
YBL039C	0.898
YBL042C	0.598
YBL043W	0.956
YBL044W	0.976
YBL045C	NaN
YBL046W	0.916
YBL047C	0.978
YBL048W	0.998
YBL049W	0.976
YBL051C	0.930
YBL052C	0.968
YBL053W	0.981
YBL054W	0.958
YBL055C	0.956
YBL056W	0.974
YBL057C	0.994
YBL058W	NaN
YBL059W	1.003
YBL060W	0.982
YBL061C	0.950
YBL062W	0.973
YBL063W	0.984
YBL064C	0.995
YBL065W	0.987
YBL066C	0.968
YBL067C	0.913
YBL068W	0.973
YBL069W	1.001
YBL070C	1.004
YBL071C	0.951
YBL072C	0.819
YBL075C	0.995
YBL078C	0.955
YBL079W	0.789
YBL080C	NaN
YBL081W	0.955
YBL082C	0.986
YBL083C	0.950
YBL085W	0.983
YBL086C	1.000
YBL087C	1.038
YBL088C	0.986
YBL089W	0.972
YBL090W	NaN
YBL091C	0.978
YBL091C-A	0.999
YBL093C	NaN
YBL094C	0.984
YBL095W	0.987
YBL096C	0.987
YBL098W	0.997
YBL099W	NaN
YBL100C	NaN
YBL101C	0.978
YBL102W	0.975
YBL104C	0.953
YBL106C	0.999
YBL107C	0.993
YBR001C	0.979
YBR003W	NaN
YBR005W	0.975
YBR006W	0.938
YBR007C	0.978
YBR008C	0.987
YBR009C	0.906
YBR010W	1.001
YBR012C	1.012
YBR013C	0.999
YBR014C	0.992
YBR015C	0.924
YBR016W	0.997
YBR018C	0.999
YBR019C	1.005
YBR020W	NaN
YBR022W	0.994
YBR023C	0.964
YBR024W	1.000
YBR025C	0.974
YBR026C	0.870
YBR027C	0.971
YBR028C	1.001
YBR030W	1.024
YBR031W	1.006
YBR032W	1.007
YBR033W	0.994
YBR034C	1.020
YBR035C	0.951
YBR036C	0.979
YBR037C	NaN
YBR038W	1.008
YBR040W	0.998
YBR041W	0.995
YBR042C	1.012
YBR043C	0.979
YBR044C	1.004
YBR045C	1.001
YBR046C	1.000
YBR047W	0.999
YBR048W	0.887
YBR050C	1.015
YBR051W	1.008
YBR052C	1.011
YBR053C	1.004
YBR054W	0.999
YBR056W	1.003
YBR057C	0.993
YBR058C	1.000
YBR059C	1.016
YBR062C	1.010
YBR063C	1.012
YBR064W	1.000
YBR065C	1.017
YBR066C	1.012
YBR067C	1.012
YBR068C	1.017
YBR069C	1.009
YBR071W	0.992
YBR072W	1.007
YBR073W	1.012
YBR074W	NaN
YBR075W	0.994
YBR076W	1.010
YBR077C	0.906
YBR078W	0.928
YBR083W	1.026
YBR084C-A	0.994
YBR084W	0.991
YBR090C	1.023
YBR090C-A	1.005
YBR092C	0.997
YBR093C	1.012
YBR094W	0.994
YBR098W	0.894
YBR099C	0.929
YBR100W	0.954
YBR101C	0.968
YBR103W	1.003
YBR104W	1.001
YBR105C	0.970
YBR106W	0.834
YBR107C	0.960
YBR108W	0.974
YBR112C	NaN
YBR113W	0.994
YBR114W	1.035
YBR116C	1.007
YBR119W	0.979
YBR120C	0.974
YBR125C	0.996
YBR126C	0.854
YBR127C	0.826
YBR128C	1.006
YBR129C	1.010
YBR130C	1.015
YBR131W	0.999
YBR133C	0.954
YBR134W	NaN
YBR137W	0.996
YBR138C	1.028
YBR139W	1.025
YBR141C	1.016
YBR144C	1.012
YBR145W	0.997
YBR146W	0.998
YBR147W	1.007
YBR148W	1.012
YBR149W	1.017
YBR150C	1.011
YBR151W	1.035
YBR156C	0.964
YBR157C	1.007
YBR158W	1.004
YBR159W	0.997
YBR161W	1.019
YBR162C	1.066
YBR162W-A	1.034
YBR163W	0.548
YBR164C	1.009
YBR168W	0.721
YBR169C	1.016
YBR170C	1.007
YBR171W	0.748
YBR172C	1.013
YBR173C	0.814
YBR174C	0.907
YBR175W	0.897
YBR176W	0.989
YBR177C	0.977
YBR178W	0.979
YBR179C	0.619
YBR180W	1.007
YBR181C	0.884
YBR182C	1.002
YBR183W	0.990
