ORF	hap alpha | cell size | YPD [standard] | Cook~Ho, 2008
YIL134W	-5.437
YNR068C	-5.345
YHR177W	-5.334
YER111C	-5.089
YIL154C	-5.088
YDL021W	-4.941
YCR066W	-4.904
YDL074C	-4.872
YDR521W	-4.853
YGL033W	-4.795
YIL093C	-4.719
YGL012W	-4.493
YBL006C	-4.441
YHR191C	-4.407
YLL049W	-4.312
YML111W	-4.304
YNR052C	-4.226
YMR185W	-4.153
YDR477W	-4.110
YIL069C	-4.027
YKL048C	-4.002
YPL256C	-3.950
YBR278W	-3.948
YLR308W	-3.941
YIL066C	-3.909
YPL049C	-3.878
YJL023C	-3.846
YDR335W	-3.814
YJL080C	-3.811
YIL044C	-3.782
YDL117W	-3.772
YLR131C	-3.769
YCL005W	-3.754
YBR085W	-3.734
YBR279W	-3.675
YKL101W	-3.657
YIL012W	-3.606
YCR025C	-3.586
YDL073W	-3.556
YCR050C	-3.517
YKL023W	-3.502
YIL125W	-3.456
YKL053W	-3.447
YML014W	-3.438
YER016W	-3.432
YLR322W	-3.420
YDL160C	-3.405
YMR091C	-3.380
YCR045C	-3.370
YCR024C-A	-3.354
YCR094W	-3.348
YBR281C	-3.340
YOL115W	-3.338
YPR119W	-3.266
YBL016W	-3.242
YPR044C	-3.234
YMR036C	-3.230
YEL061C	-3.227
YEL072W	-3.219
YBR277C	-3.214
YBR286W	-3.213
YOR198C	-3.209
YLR182W	-3.188
YCL060C	-3.185
YDL067C	-3.160
YBR134W	-3.159
YCR087W	-3.128
YCR002C	-3.078
YLR407W	-3.015
YIL040W	-3.010
YPR159W	-2.965
YJR018W	-2.935
YPR135W	-2.911
YER116C	-2.857
YPR120C	-2.846
YBL007C	-2.830
YKL204W	-2.824
YCR068W	-2.807
YBR295W	-2.770
YCL001W-A	-2.759
YHR031C	-2.751
YLR181C	-2.745
YCR085W	-2.743
YDR173C	-2.738
YIL148W	-2.726
YPR139C	-2.695
YBR291C	-2.684
YCR026C	-2.636
YBR298C	-2.628
YPL241C	-2.619
YCR036W	-2.615
YHR005C	-2.565
YLR337C	-2.556
YOR237W	-2.537
YBR297W	-2.521
YHR013C	-2.506
YOR144C	-2.501
YOR258W	-2.495
YBR081C	-2.483
YAR014C	-2.410
YLR320W	-2.380
YJR055W	-2.362
YGR057C	-2.353
YNL201C	-2.351
YCL032W	-2.343
YPL268W	-2.340
YPR118W	-2.333
YCL061C	-2.310
YCL016C	-2.303
YLR386W	-2.287
YIR009W	-2.280
YKL212W	-2.259
YOR195W	-2.250
YOR061W	-2.247
YPL183W-A	-2.241
YLR200W	-2.232
YML032C	-2.231
YDL041W	-2.229
YNL246W	-2.226
YNL068C	-2.210
YDR121W	-2.209
YNL229C	-2.209
YML094W	-2.196
YJL204C	-2.190
YDR129C	-2.183
YAR003W	-2.178
YMR048W	-2.167
YJL136C	-2.123
YJR043C	-2.122
YDR206W	-2.109
YIL011W	-2.100
YPR087W	-2.092
YDL125C	-2.061
YNL255C	-2.053
YDR369C	-2.008
YLR032W	-2.004
YBR269C	-1.998
YDR462W	-1.993
YBL047C	-1.984
YNL299W	-1.974
YGR078C	-1.969
YML028W	-1.968
YLR338W	-1.965
YNL171C	-1.964
YLL030C	-1.955
YOR376W	-1.944
YDL042C	-1.924
YDR075W	-1.924
YLR102C	-1.924
YIL009W	-1.923
YJL029C	-1.898
YHR077C	-1.891
YBR174C	-1.883
YHR143W	-1.880
YLR399C	-1.875
YBR082C	-1.871
YDL020C	-1.868
YNL080C	-1.860
YNL273W	-1.854
YML017W	-1.849
YNL202W	-1.839
YNL148C	-1.834
YJR063W	-1.820
YHR041C	-1.811
YLR362W	-1.800
YNL250W	-1.792
YPR049C	-1.788
YJR014W	-1.786
YOR014W	-1.784
YJR054W	-1.780
YNL176C	-1.779
YOR080W	-1.772
YGL173C	-1.764
YJL006C	-1.763
YML073C	-1.762
YGR072W	-1.756
YCR027C	-1.755
YAL013W	-1.743
YLR384C	-1.742
YDR461W	-1.737
YDL225W	-1.719
YML010W-A	-1.717
YMR116C	-1.717
YNL327W	-1.711
YKR074W	-1.688
YCR084C	-1.684
YBR200W	-1.678
YIL097W	-1.675
YHR009C	-1.670
YDL076C	-1.669
YDR207C	-1.664
YIR002C	-1.662
YBR146W	-1.658
YPR023C	-1.654
YBR175W	-1.652
YDL159W	-1.650
YML095C-A	-1.643
YMR273C	-1.642
YDR465C	-1.639
YER139C	-1.635
YDR463W	-1.634
YJR117W	-1.632
YER037W	-1.629
YMR198W	-1.622
YDR103W	-1.621
YMR179W	-1.618
YBL094C	-1.617
