ORF	hap a | mutation frequency (CanR) | ultraviolet light [50 J/m2] | Lis ET~Romesberg FE, 2008	hap a | mutation frequency (CanR) | standard [standard] | Lis ET~Romesberg FE, 2008
YJR139C	0.000	0.044
YDR514C	0.000	0.176
YDR300C	0.001	3.907
YML009W-B	0.003	0.094
YGL033W	0.004	0.117
YCL005W	0.004	0.049
YIL084C	0.004	0.042
YIR009W	0.004	0.049
YPL144W	0.004	0.049
YIL125W	0.004	0.046
YPL042C	0.005	0.062
YOR198C	0.005	0.049
YCR002C	0.005	0.146
YER014C-A	0.005	0.110
YIL154C	0.005	0.024
YML014W	0.006	0.049
YBR081C	0.006	1.805
YBR085W	0.006	0.046
YIL159W	0.006	0.040
YMR125W	0.006	0.054
YNL264C	0.006	0.049
YLR358C	0.006	0.044
YGL135W	0.006	0.070
YOR295W	0.006	0.049
YGL136C	0.007	0.083
YPR159W	0.007	0.122
YDR200C	0.007	0.056
YNR010W	0.007	0.092
YLR368W	0.007	0.049
YGL072C	0.007	0.015
YIL097W	0.007	0.069
YGR064W	0.007	0.070
YEL044W	0.007	0.044
YGR056W	0.007	0.049
YMR032W	0.007	0.146
YNL197C	0.008	0.005
YNL059C	0.008	0.044
YGR255C	0.008	0.055
YML115C	0.009	0.034
YBL093C	0.009	0.078
YJR032W	0.009	0.054
YIL011W	0.009	0.069
YDL160C	0.009	0.146
YIL012W	0.009	0.059
YGR063C	0.009	0.024
YOR312C	0.009	0.146
YBL033C	0.009	0.020
YOL004W	0.009	0.035
YPL183W	0.009	0.046
YGR167W	0.009	0.088
YMR091C	0.010	0.060
YJR074W	0.010	0.061
YLR399C	0.010	0.056
YPL079W	0.011	0.052
YGL261C	0.011	0.081
YDR500C	0.011	0.056
YIL157C	0.011	0.052
YOR258W	0.011	0.029
YBL006C	0.011	0.061
YPR139C	0.012	0.205
YCR020W-B	0.012	0.224
YDL021W	0.013	0.053
YAL047C	0.013	0.270
YBR133C	0.014	0.050
YER017C	0.014	0.031
YGL214W	0.015	0.051
YDR138W	0.015	0.010
YJL179W	0.015	0.062
YIL009W	0.015	0.066
YPL178W	0.016	0.044
YIL121W	0.016	0.050
YNL133C	0.017	1.000
YER083C	0.017	0.044
YDR462W	0.017	0.088
YCL058C	0.017	0.066
YEL046C	0.017	1.220
YBR279W	0.018	0.192
YJR050W	0.018	0.067
YIL093C	0.018	0.049
YGL206C	0.018	1.561
YNL138W	0.019	0.048
YLR322W	0.020	0.015
YPR087W	0.020	0.078
YKL054C	0.020	0.127
YPL129W	0.022	0.063
YJL184W	0.023	1.302
YEL045C	0.023	0.585
YOR369C	0.023	0.054
YIL054W	0.023	0.659
YDL073W	0.024	0.051
YJL080C	0.026	0.044
YER014W	0.028	0.055
YPL167C	0.032	0.332
YEL009C	0.033	5.951
YDR495C	0.039	0.357
YDL225W	0.046	0.056
YOR346W	0.048	0.551
YCR066W	0.048	1.951
YIL139C	0.054	0.800
YER110C	0.056	0.052
YCR063W	0.056	0.595
YJR102C	0.085	0.361
YOR323C	0.097	NaN
YGL058W	0.111	0.527
YJR043C	0.120	4.746
YPL049C	0.147	0.059
YNL250W	0.148	5.756
YBR200W	0.173	1.317
YPL084W	0.173	0.034
YJL092W	0.177	0.893
YGR180C	0.268	18.390
YMR198W	0.379	0.966
YJR105W	0.333	1.054
YLR032W	0.333	7.805
YPL090C	0.355	0.844
YOR096W	0.360	0.780
YNL064C	0.368	0.440
YAL010C	0.377	0.683
YJL175W	0.404	1.088
YGL020C	0.404	0.654
YHR193C	0.427	0.045
YDR512C	0.431	0.566
YER037W	0.467	0.844
YMR116C	0.480	0.141
YPR131C	0.523	14.488
YLR436C	0.537	0.345
YLR448W	0.542	0.976
YKL011C	0.547	0.537
YHL025W	0.556	0.859
YOR147W	0.563	0.043
YNL241C	0.568	1.102
YBL094C	0.573	0.083
YJL127C	0.573	0.420
YJL124C	0.573	0.785
YCR037C	0.590	0.912
YPL097W	0.599	1.122
YDR123C	0.603	0.795
YPR126C	0.607	0.615
YNL136W	0.620	0.888
YLR027C	0.622	0.732
YJL180C	0.625	4.161
YHR060W	0.636	1.712
YGR155W	0.640	1.307
YKL139W	0.642	0.551
YDR350C	0.648	1.268
YOR065W	0.667	0.712
YBR191W	0.671	0.951
YKL176C	0.675	0.829
YKL166C	0.677	1.220
YCL074W	0.677	1.117
YHR183W	0.688	3.756
YLL002W	0.690	NaN
YLR451W	0.713	0.634
YJR075W	0.724	0.512
YGR271C-A	0.726	3.668
YNL107W	0.727	0.893
YPR141C	0.732	0.507
YDL156W	0.750	0.404
YER116C	0.756	2.195
YHL011C	0.756	1.010
YGL101W	0.762	1.688
YGR104C	0.763	2.395
YMR190C	0.772	1.610
YIL049W	0.773	0.868
YJL115W	0.777	2.127
YBR068C	0.780	0.727
YOR022C	0.782	0.488
YMR304W	0.793	0.634
YDR226W	0.797	4.927
YJR056C	0.797	0.820
YNL021W	0.798	0.951
YOR221C	0.809	0.341
YML081C-A	0.823	0.917
YGR224W	0.829	0.829
YLR343W	0.833	1.141
YHR191C	0.842	1.834
YEL050C	0.842	0.316
YMR088C	0.842	0.810
YGR055W	0.858	1.024
YIL155C	0.858	0.595
YKL130C	0.858	1.854
YCL023C	0.858	1.249
YLL030C	0.867	0.980
YBR098W	0.887	1.300
YAL054C	0.875	2.210
YOR026W	0.883	0.634
YOL159C	0.883	0.649
YDR004W	0.892	10.732
YBR026C	0.900	0.498
YDR028C	0.908	2.361
YNR052C	0.925	0.727
YBR077C	0.942	1.327
YGL105W	0.958	1.078
YLL044W	0.967	0.595
YML112W	0.967	1.083
YGL240W	0.975	2.020
YNL056W	0.983	1.029
YOL023W	0.983	1.571
YPR135W	0.983	1.932
YCR047C	1.000	1.220
YOL148C	1.000	4.571
YDR521W	1.017	1.712
YHR064C	1.033	1.859
YDL200C	1.042	0.937
YDR048C	1.042	1.229
YDL201W	1.042	0.917
YBR099C	1.050	0.820
YLR393W	1.067	1.517
YDR364C	1.067	7.707
YPR133W-A	1.067	1.893
YER070W	1.075	2.507
YDR386W	1.083	0.732
YGL087C	1.083	7.463
YFR001W	1.083	4.200
YKR077W	1.108	0.805
YPR148C	1.117	0.605
YNL225C	1.133	1.517
YIL047C	1.142	0.800
YDL116W	1.150	0.805
YGL217C	1.150	1.132
YGR130C	1.158	0.834
YJL047C	1.167	1.068
YHR167W	1.167	0.829
YEL051W	1.167	7.561
YJL188C	1.175	5.805
YEL007W	1.175	0.678
YOR163W	1.192	1.220
YER016W	1.200	0.766
YML035C	1.200	0.976
YJL189W	1.425	4.634
YBR094W	1.208	0.756
YAL035W	1.242	1.780
YAL056C-A	1.250	0.985
YLL049W	1.267	0.917
YIR023W	1.308	0.893
YKL113C	1.325	13.317
YOL076W	1.350	5.854
YEL027W	1.375	16.195
YDR369C	1.400	NaN
YOR178C	1.408	1.024
YDR092W	1.417	6.780
YMR062C	1.417	2.937
YKL143W	1.425	4.137
YIL132C	1.492	5.902
YPL059W	1.525	14.293
YLR369W	1.542	10.488
YER142C	1.583	1.263
YDR207C	1.600	1.512
YKL016C	1.600	7.024
YPL271W	1.650	11.122
YPL024W	1.667	1.566
YJL006C	1.783	0.946
YGL095C	1.783	6.293
YDL059C	1.800	0.980
YJL129C	1.808	3.741
YDL144C	1.883	0.873
YER095W	1.933	11.122
YDR470C	1.992	6.195
YDR532C	2.058	5.707
YGL246C	2.192	2.356
YCR028C	2.408	1.737
YGL163C	2.633	11.366
YGR262C	2.892	8.244
YML032C	5.983	NaN
