1	YJR139C	HOM6	7.25E-09	9.00E-09
2	YDR514C		2.26E-08	3.60E-08
3	YDR300C	PRO1	1.29E-07	8.01E-07
4	YML010W-A		4.18E-07	1.93E-08
5	YGL033W	HOP2	4.30E-07	2.40E-08
6	YCL005W		4.35E-07	1.00E-08
7	YIL084C	SDS3	4.76E-07	8.64E-09
8	YIR009W	MSL1	5.06E-07	1.00E-08
9	YPL144W		5.19E-07	1.00E-08
10	YIL125W	KGD1	5.26E-07	9.34E-09
11	YPL042C	SSN3	5.48E-07	1.28E-08
12	YOR198C	BFR1	6.15E-07	1.00E-08
13	YCR002C	CDC10	6.15E-07	3.00E-08
14	YER014C-A	BUD25	6.34E-07	2.26E-08
15	YIL154C	IMP2'	6.45E-07	5.00E-09
16	YML014W		6.67E-07	1.00E-08
17	YBR081C	SPT7	6.71E-07	3.70E-07
18	YBR085W	AAC3	6.78E-07	9.34E-09
19	YIL159W	BNR1	6.90E-07	8.22E-09
20	YMR125W	STO1	7.02E-07	1.10E-08
21	YNL264C	PDR17	7.27E-07	1.00E-08
22	YLR358C		7.41E-07	9.00E-09
23	YGL135W	RPL1B	7.55E-07	1.44E-08
24	YOR295W	UAF30	7.69E-07	1.00E-08
25	YGL136C	MRM2	7.84E-07	1.70E-08
26	YPR159W	KRE6	7.84E-07	2.50E-08
27	YDR200C	VPS64	8.00E-07	1.14E-08
28	YNR010W	CSE2	8.12E-07	1.89E-08
29	YLR368W	MDM30	8.33E-07	1.00E-08
30	YGL072C		8.51E-07	3.00E-09
31	YIL097W	FYV10	8.51E-07	1.42E-08
32	YGR064W		8.70E-07	1.44E-08
33	YEL044W		8.89E-07	9.08E-09
34	YGR056W	RSC1	8.89E-07	1.00E-08
35	YMR032W	HOF1	8.89E-07	3.00E-08
36	YNL197C	WHI3	9.09E-07	1.00E-09
37	YNL059C	ARP5	9.52E-07	9.00E-09
38	YGR255C	COQ6	9.52E-07	1.12E-08
39	YML115C	VAN1	1.03E-06	6.92E-09
40	YBL093C	ROX3	1.03E-06	1.60E-08
41	YJR032W	CPR7	1.05E-06	1.10E-08
42	YIL011W	TIR3	1.05E-06	1.41E-08
43	YDL160C	DHH1	1.05E-06	3.00E-08
44	YIL012W		1.07E-06	1.20E-08
45	YGR063C	SPT4	1.08E-06	5.00E-09
46	YOR312C	RPL20B	1.08E-06	3.00E-08
47	YBL033C	RIB1	1.11E-06	4.00E-09
48	YOL004W	SIN3	1.14E-06	7.20E-09
49	YPL183W		1.14E-06	9.40E-09
50	YGR167W	CLC1	1.14E-06	1.80E-08
51	YMR091C	NPL6	1.21E-06	1.24E-08
52	YJR074W	MOG1	1.21E-06	1.25E-08
53	YLR399C	BDF1	1.25E-06	1.15E-08
54	YPL079W	RPL21B	1.29E-06	1.07E-08
55	YGL261C		1.29E-06	1.67E-08
56	YDR500C	RPL37B	1.33E-06	1.14E-08
57	YIL157C		1.36E-06	1.06E-08
58	YOR258W	HNT3	1.38E-06	6.00E-09
59	YBL006C		1.38E-06	1.25E-08
60	YPR139C	VPS66	1.43E-06	4.20E-08
61	YCR020W-B	HTL1	1.48E-06	4.60E-08
62	YDL021W	GPM2	1.54E-06	1.09E-08
63	YAL047C	SPC72	1.54E-06	5.53E-08
64	YBR133C	HSL7	1.67E-06	1.03E-08
65	YER017C	AFG3	1.69E-06	6.40E-09
66	YGL214W		1.74E-06	1.04E-08
67	YDR138W	HPR1	1.82E-06	2.00E-09
68	YJL179W	PFD1	1.82E-06	1.28E-08
69	YIL009W	FAA3	1.82E-06	1.35E-08
70	YPL178W	CBC2	1.88E-06	9.00E-09
71	YIL121W		1.90E-06	1.02E-08
72	YNL133C	FYV6	2.00E-06	2.05E-07
73	YER083C		2.00E-06	9.00E-09
74	YDR462W	MRPL28	2.03E-06	1.80E-08
75	YCL058C	FYV5	2.06E-06	1.35E-08
76	YEL046C	GLY1	2.06E-06	2.50E-07
77	YBR279W	PAF1	2.11E-06	3.93E-08
78	YJR050W	ISY1	2.13E-06	1.38E-08
79	YIL093C	RSM25	2.17E-06	1.01E-08
80	YGL206C	CHC1	2.20E-06	3.20E-07
81	YNL138W	SRV2	2.31E-06	9.89E-09
82	YLR322W	VPS65	2.35E-06	3.00E-09
83	YPR087W	VPS69	2.35E-06	1.60E-08
84	YKL054C	DEF1	2.35E-06	2.60E-08
85	YPL129W	TAF14	2.67E-06	1.30E-08
86	YJL184W		2.72E-06	2.67E-07
87	YEL045C		2.73E-06	1.20E-07
88	YOR369C	RPS12	2.74E-06	1.10E-08
89	YIL054W		2.74E-06	1.35E-07
90	YDL073W		2.86E-06	1.04E-08
91	YJL080C	SCP160	3.08E-06	9.00E-09
92	YER014W	HEM14	3.33E-06	1.12E-08
93	YPL167C	REV3	3.86E-06	6.80E-08
94	YEL009C	GCN4	3.96E-06	1.22E-06
95	YDR495C	VPS3	4.71E-06	7.32E-08
96	YDL225W	SHS1	5.52E-06	1.14E-08
97	YOR346W	REV1	5.71E-06	1.13E-07
98	YCR066W	RAD18	5.71E-06	4.00E-07
99	YIL139C	REV7	6.45E-06	1.64E-07
100	YER110C	KAP123	6.67E-06	1.07E-08
101	YCR063W	BUD31	6.67E-06	1.22E-07
102	YJR102C	VPS25	1.02E-05	7.41E-08
103	YOR323C	PRO2	1.16E-05	NaN
104	YGL058W	RAD6	1.33E-05	1.08E-07
105	YJR043C	POL32	1.44E-05	9.73E-07
106	YPL049C	DIG1	1.76E-05	1.20E-08
107	YNL250W	RAD50	1.78E-05	1.18E-06
