ORF	hom | growth (culture turbidity) | vanillin [5 mM] | Endo A~Shima J, 2008
YML115C	0.250
YJR105W	0.150
YKL211C	0.140
YLR056W	0.200
YML008C	0.290
YMR202W	0.030
YNL280C	0.190
YMR307W	0.090
YPL188W	0.180
YBR249C	0.190
YDR028C	0.290
YEL053C	0.120
YML041C	0.150
YKR019C	0.290
YCR028C-A	0.050
YNL107W	0.120
YML124C	0.300
YAL011W	0.240
YLR085C	0.200
YOL012C	0.130
YBR231C	0.090
YCL029C	0.170
YDL225W	0.230
YDR004W	0.080
YDR150W	0.100
YDR439W	0.190
YDR485C	0.250
YGR063C	0.120
YDR334W	0.200
YJR063W	0.160
YAL021C	0.180
YNL248C	0.030
YNL025C	0.250
YDL213C	0.080
YBR191W	0.260
YLR448W	0.230
YKR057W	0.050
YLR185W	0.170
YDR418W	0.140
YGR165W	0.140
YOL141W	0.250
YNL119W	0.220
YKL048C	0.120
YDR162C	0.210
YDR283C	0.130
YOL158C	0.200
YJL129C	0.160
YKL212W	0.290
YKR001C	0.140
YKR020W	0.050
YLR130C	0.230
YNL084C	0.210
YNL041C	0.300
YOR070C	0.290
YOR106W	0.160
YBR164C	0.260
YDL226C	0.190
YER019C-A	0.250
YGL005C	0.220
YGL054C	0.280
YGR037C	0.270
YHL031C	0.260
YDR484W	0.280
YJR033C	0.290
YBR078W	0.300
YDR388W	0.110
YOL159C	0.200
YDR417C	0.280
YML009C-A	0.260
YLR062C	0.280
YLR261C	0.200
YPL205C	0.220
YDR024W	0.100
YDR049W	0.300
YDR136C	0.280
YGR064W	0.180
