orf	hap a | growth (colony size) | cadmium dichloride [100 uM] | Serero A~Boiteux S, 2008
YAL021C	-9.519814371700836
YBL058W	-9.519814371700836
YBL099W	-7.139860778775628
YBR081C	-9.519814371700836
YBR179C	-4.759907185850418
YCR009C	-2.379953592925209
YCR050C	-7.139860778775628
YCR068W	-4.759907185850418
YCR077C	-4.759907185850418
YCR081W	-7.139860778775628
YCR084C	-9.519814371700836
YDL020C	-9.519814371700836
YDR027C	-4.759907185850418
YDR069C	-9.519814371700836
YDR135C	-9.519814371700836
YDR176W	-9.519814371700836
YDR195W	-9.519814371700836
YDR264C	-2.379953592925209
YDR323C	-7.139860778775628
YDR432W	-7.139860778775628
YDR448W	-9.519814371700836
YDR495C	-7.139860778775628
YEL036C	-4.759907185850418
YEL044W	-9.519814371700836
YEL046C	-9.519814371700836
YGR155W	-7.139860778775628
YGR252W	-9.519814371700836
YHR008C	-9.519814371700836
YHR013C	-9.519814371700836
YHR030C	-7.139860778775628
YIR023W	-4.759907185850418
YJL095W	-7.139860778775628
YJL101C	-7.139860778775628
YJL136C	-7.139860778775628
YJL176C	-2.379953592925209
YJL212C	-4.759907185850418
YJR104C	-9.519814371700836
YJR139C	-9.519814371700836
YKL002W	-7.139860778775628
YKL041W	-7.139860778775628
YKL113C	-9.519814371700836
YKR055W	-2.379953592925209
YLL027W	-4.759907185850418
YLL043W	-9.519814371700836
YLR025W	-7.139860778775628
YLR034C	-9.519814371700836
YLR047C	-7.139860778775628
YLR138W	-2.379953592925209
YLR148W	-7.139860778775628
YLR226W	-9.519814371700836
YLR322W	-7.139860778775628
YLR386W	-7.139860778775628
YLR396C	-7.139860778775628
YLR447C	-7.139860778775628
YML007W	-9.519814371700836
YML008C	-9.519814371700836
YML097C	-7.139860778775628
YMR038C	-9.519814371700836
YMR231W	-7.139860778775628
YMR275C	-7.139860778775628
YNL059C	-9.519814371700836
YNL147W	-7.139860778775628
YNL229C	-9.519814371700836
YOL049W	-9.519814371700836
YOL115W	-4.759907185850418
YOL143C	-9.519814371700836
YOL148C	-9.519814371700836
YOR221C	-4.759907185850418
YOR241W	-4.759907185850418
YPL002C	-4.759907185850418
YPL031C	-7.139860778775628
YPL041C	-2.379953592925209
YPL045W	-7.139860778775628
YPL055C	-7.139860778775628
YPL084W	-7.139860778775628
YPL091W	-4.759907185850418
YPL271W	-2.379953592925209
YPR124W	-9.519814371700836
YPR135W	-4.759907185850418
YPR173C	-7.139860778775628
