orf	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YAL002W	0.69
YAL004W	1.011
YAL005C	0.992
YAL007C	1.003
YAL008W	1.009
YAL010C	1.002
YAL011W	0.882
YAL013W	0.949
YAL014C	1.03
YAL015C	1.005
YAL017W	1.001
YAL018C	1.001
YAL019W	0.992
YAL020C	0.924
YAL022C	0.997
YAL023C	1.006
YAL024C	1.0
YAL026C	0.848
YAL027W	0.947
YAL028W	0.971
YAL029C	0.999
YAL030W	1.005
YAL031C	1.0
YAL034C	1.003
YAL036C	1.024
YAL037W	1.007
YAL040C	0.962
YAL042C-A	0.995
YAL042W	0.997
YAL045C	1.004
YAL046C	0.992
YAL049C	0.957
YAL051W	1.023
YAL053W	0.994
YAL054C	0.99
YAL055W	0.897
YAL056C-A	0.997
YAL056W	1.034
YAL058W	0.993
YAL059W	0.997
YAL060W	1.017
YAL061W	0.974
YAL062W	0.999
YAL064C-A	1.005
YAL065C	1.001
YAL066W	1.0
YAL067C	1.026
YAL068C	0.967
YAR002C-A	0.986
YAR002W	0.89
YAR003W	0.962
YAR014C	0.892
YAR015W	0.971
YAR018C	0.927
YAR020C	0.997
YAR023C	0.997
YAR027W	1.001
YAR028W	1.006
YAR029W	0.917
YAR030C	1.004
YAR031W	0.978
YAR035W	0.968
YAR042W	1.0005
YAR047C	1.004
YAR050W	0.992
YBL001C	0.99
YBL003C	1.0
YBL005W	1.002
YBL007C	0.777
YBL008W	0.946
YBL009W	0.951
YBL010C	1.005
YBL011W	0.952
YBL013W	0.997
YBL015W	1.006
YBL017C	0.989
YBL019W	1.0
YBL021C	0.976
YBL024W	0.997
YBL025W	0.99
YBL027W	0.855
YBL028C	0.93
YBL029W	1.006
YBL031W	0.907
YBL032W	0.956
YBL036C	1.001
YBL037W	1.009
YBL039C	0.929
YBL042C	0.994
YBL043W	0.957
YBL046W	1.022
YBL047C	0.982
YBL048W	0.957
YBL049W	1.011
YBL051C	0.87
YBL052C	1.001
YBL053W	0.989
YBL054W	1.028
YBL055C	1.001
YBL056W	0.987
YBL057C	0.97
YBL059W	0.995
YBL060W	0.965
YBL061C	0.979
YBL062W	1.003
YBL063W	0.953
YBL064C	1.003
YBL065W	0.999
YBL066C	0.974
YBL067C	0.949
YBL068W	0.963
YBL069W	0.947
YBL070C	0.999
YBL071C	0.972
YBL072C	0.922
YBL075C	1.0
YBL078C	0.984
YBL079W	0.953
YBL081W	0.948
YBL082C	1.022
YBL083C	1.036
YBL085W	0.993
YBL086C	1.002
YBL087C	0.881
YBL088C	0.993
YBL089W	0.914
