orf	het | growth (pooled culture, microarray) | St. John's Wort extract | YPD | McCue PP~Phang JM, 2008
YAL054C	-7.644337606091022
YAL059W	-7.644337606091022
YBL019W	-7.644337606091022
YBL028C	-7.644337606091022
YBL042C	-7.644337606091022
YBR111C	-7.644337606091022
YBR115C	-7.644337606091022
YBR120C	-7.644337606091022
YBR152W	-7.644337606091022
YBR176W	-7.644337606091022
YBR229C	-7.644337606091022
YBR236C	-7.644337606091022
YBR274W	-7.644337606091022
YCL061C	-7.644337606091022
YCR011C	-7.644337606091022
YCR036W	-7.644337606091022
YDL056W	-7.644337606091022
YDL081C	-7.644337606091022
YDL181W	-7.644337606091022
YDL232W	-7.644337606091022
YDR137W	-7.644337606091022
YDR191W	-7.644337606091022
YDR192C	-7.644337606091022
YDR293C	-7.644337606091022
YDR298C	-7.644337606091022
YDR346C	-7.644337606091022
YDR397C	-7.644337606091022
YDR500C	-7.644337606091022
YDR507C	-7.644337606091022
YEL030W	-7.644337606091022
YEL061C	-7.644337606091022
YER044C	-7.644337606091022
YER167W	-7.644337606091022
YGL028C	-7.644337606091022
YGL049C	-7.644337606091022
YGL195W	-7.644337606091022
YGL212W	-7.644337606091022
YGL249W	-7.644337606091022
YGR006W	-7.644337606091022
YGR042W	-7.644337606091022
YGR078C	-7.644337606091022
YGR162W	-7.644337606091022
YIL002C	-7.644337606091022
YIL050W	-7.644337606091022
YIL160C	-7.644337606091022
YIR033W	-7.644337606091022
YJL109C	-7.644337606091022
YJL128C	-7.644337606091022
YKR059W	-7.644337606091022
YLL021W	-7.644337606091022
YLL054C	-7.644337606091022
YLR120C	-7.644337606091022
YLR180W	-7.644337606091022
YLR213C	-7.644337606091022
YLR372W	-7.644337606091022
YML061C	-7.644337606091022
YMR035W	-7.644337606091022
YMR129W	-7.644337606091022
YNL098C	-7.644337606091022
YNR034W	-7.644337606091022
YOL088C	-7.644337606091022
YOR009W	-7.644337606091022
YOR023C	-7.644337606091022
YOR036W	-7.644337606091022
YOR038C	-7.644337606091022
YOR109W	-7.644337606091022
YOR140W	-7.644337606091022
YOR198C	-7.644337606091022
YOR260W	-7.644337606091022
YOR292C	-7.644337606091022
YOR298C-A	-7.644337606091022
YOR339C	-7.644337606091022
YPL018W	-7.644337606091022
YPL254W	-7.644337606091022
YPR072W	-7.644337606091022
YPR093C	-7.644337606091022
YPR138C	-7.644337606091022
YPR189W	-7.644337606091022
