ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YAL001C	-0.069	2.841	NaN	NaN	NaN	NaN
YAL002W	NaN	NaN	0.841	0.747	NaN	NaN
YAL003W	0.904	0.589	NaN	NaN	NaN	NaN
YAL004W	NaN	NaN	1.352	0.825	NaN	NaN
YAL005C	NaN	NaN	1.029	0.115	NaN	NaN
YAL007C	NaN	NaN	0.991	-0.468	NaN	NaN
YAL008W	NaN	NaN	1.125	-0.213	NaN	NaN
YAL009W	NaN	NaN	1.631	0.275	1.405	NaN
YAL010C	NaN	NaN	NaN	NaN	NaN	NaN
YAL011W	NaN	NaN	1.143	1.916	NaN	NaN
YAL012W	NaN	NaN	0.366	-0.691	NaN	NaN
YAL013W	NaN	NaN	2.960	3.696	NaN	NaN
YAL014C	NaN	NaN	1.028	2.926	NaN	NaN
YAL015C	NaN	NaN	0.736	6.079	NaN	NaN
YAL016W	NaN	NaN	NaN	NaN	NaN	NaN
YAL017W	NaN	NaN	0.786	0.886	NaN	NaN
YAL018C	NaN	NaN	0.082	-0.252	NaN	NaN
YAL019W	NaN	NaN	0.975	0.288	NaN	NaN
YAL020C	NaN	NaN	-1.523	-2.166	NaN	NaN
YAL021C	NaN	NaN	NaN	NaN	NaN	NaN
YAL022C	NaN	NaN	-1.263	-1.602	NaN	NaN
YAL023C	NaN	NaN	-1.431	-1.063	NaN	NaN
