orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YAL002W	-0.841143	-0.74691				
YAL004W	-1.35205	-0.824693				
YAL005C	-1.02873	-0.114911			-0.0	-0.0
YAL007C	-0.990538	0.467629			-0.0	-0.0
YAL008W	-1.12459	0.213372			-0.0	-0.0
YAL009W	-1.63142	-0.275326				
YAL010C					-0.0	-0.0
YAL011W	-1.14335	-1.91595				
YAL012W	-0.365931	0.690519			-0.0	-0.0
YAL013W	-2.95997	-3.69641			-0.0	-0.0
YAL014C	-1.02829	-2.92632			-0.0	-0.0
YAL015C	-0.736111	-6.07906			-0.0	-0.0
YAL016W						
YAL017W	-0.786034	-0.886481			-0.0	-0.0
YAL018C	-0.0822898	0.25164			-0.0	-0.0
YAL019W	-0.97498	-0.287941			-0.0	-0.0
YAL020C	1.52326	2.16621			-0.0	-0.0
YAL021C					-0.0	-0.0
YAL022C	1.26295	1.60184			-0.0	-0.0
YAL023C	1.43111	1.06338			-0.0	-0.0
YAL024C	-3.36959	-3.02961			-0.0	-0.0
YAL026C	-2.77751	-3.98735				
YAL027W	0.751474	0.441449			-0.0	-0.0
YAL028W	0.52843	0.571693			-0.0	-0.0
YAL029C	-0.113246	1.78618			-0.0	-0.0
YAL030W	0.543708	1.25509			-0.0	-0.0
YAL031C	1.84378	0.680033			-0.0	-0.0
YAL034C	0.313911	0.381102			-0.0	-0.0
YAL035W					-0.0	-0.0
YAL036C	1.0	1.45474			-0.0	-0.0
YAL037W	-1.21443	-0.990613			-0.0	-0.0
YAL039C					-0.0	-0.0
YAL040C	-0.688261	-1.40679				
YAL042C-A	0.296951	0.614229				
YAL042W	0.634349	1.27618			-0.0	-0.0
YAL044C	-0.747989	-0.146113			-0.6919490151984921	-0.0
YAL045C	-1.08018	-0.697883				
YAL046C	0.0566166	0.145975			-0.0	-0.0
YAL047C					-0.0	-0.0
YAL048C	-1.03147	-0.0344149			-0.842527392138848	-0.0
YAL049C	0.881643	0.950483			-0.0	-0.0
YAL051W	-0.633351	0.00641368			-0.0	-0.0
YAL053W	-1.04191	-0.42046			-0.0	-0.0
YAL054C	0.890393	0.257589			-0.0	-0.0
YAL055W	-0.523689	0.845231			-0.0	-0.0
YAL056C-A	0.883327	0.948829				
YAL056W	-1.55478	-1.67174			-0.0	-0.0
YAL058W	-0.95614	-1.40891				
YAL059W	-0.708096	0.616306			-0.0	-0.0
YAL060W	0.242283	0.844715			-0.0	-0.0
YAL061W	-1.02358	-2.42767			-0.0	-0.0
YAL062W	1.04163	0.478751			-0.0	-0.0
YAL064C-A	0.273898	-0.466337			-0.0	-0.0
YAL065C	0.615275	0.537473			-0.0	-0.0
YAL066W	0.565956	0.344437				
YAL067C	-0.893251	-0.588224			-0.0	-0.0
YAL068C	0.344279	0.0507463			-0.0	-0.0
YAR002C-A	-0.869569	-0.0293728			-0.0	-0.0
YAR002W	-0.697939	-1.74803			-0.0	-0.0
YAR003W	-1.02027	-0.323818			-0.0	-0.0
YAR014C	-0.494613	-1.35064				
YAR015W	-0.665078	-0.750953			-0.0	-0.0
YAR018C	0.258024	-1.00413				
YAR020C	1.0321	1.16686			-0.0	-0.0
YAR023C	0.290616	0.47619			-0.0	-0.0
YAR027W	0.351316	-0.446711			-0.0	-0.0
YAR028W	-0.488671	-0.552115			-0.0	-0.0
YAR029W	-0.536738	-0.857217			-0.0	-0.0
YAR030C	1.61237	1.33532				
YAR031W	0.269682	-0.0904523			-0.0	-0.0
YAR035W	1.2416	-0.453081			-0.0	-0.0
YAR042W	0.232892	0.48673350000000004			-0.0	-0.0
YAR047C	1.14416	0.853727				
YAR050W	0.995621	0.957604			-0.0	-0.0
YBL001C	0.027479	0.497348			-0.0	-0.0
YBL002W	2.29384	1.66439			-1.39914682145493	-0.0
YBL003C	2.07932	1.98633			-0.0	-0.0
YBL005W	0.797478	1.51772			-0.0	-0.0
YBL006C	-2.0996	0.503875			-0.0	-0.0
YBL007C						
YBL008W	-0.415787	-0.644042			-0.0	-0.0
YBL009W	0.351664	-1.08085			-0.0	-0.0
YBL010C	-0.608658	-0.983231			-0.0	-0.0
YBL011W	-0.360035	-0.0354463			-0.0	-0.0
YBL012C	1.04572	1.80831				
YBL013W	-1.96175	0.248057			-0.553556325776407	-0.0
YBL015W	0.354421	-0.141885			-0.0	-0.0
YBL017C	0.218721	0.866056			-0.0	-0.0
YBL019W	-1.34628	-1.21341			-0.0	-0.0
YBL021C	-2.35166	-0.591501			-0.925378477640296	-0.0
YBL022C	-1.34564	0.521696				
YBL024W	-0.477347	-0.612083			-0.549577463073835	-0.0
YBL027W	-0.221049	-0.312372			-0.0	-0.0
YBL028C	-0.196484	-0.440249			-0.0	-0.0
YBL029W	0.478674	0.294153			-0.0	-0.0
YBL031W	-0.390529	-0.961005			-0.0	-0.0
YBL032W	0.100323	-0.0626709			-0.0	-0.0
YBL033C					-0.0	-0.0
YBL036C	1.64987	0.201482			-0.0	-0.0
YBL037W	1.0239	0.364471			-0.0	-0.0
YBL038W					-2.08661167881082	-0.0
YBL039C	1.09732	1.29003				
YBL042C					-0.5574614985713104	-0.0
YBL043W	0.350934	0.0693712			-0.0	-0.0
YBL044W	0.878329	0.597893			-1.781252634394025	-0.0
YBL045C					-1.2601992579167185	-0.0
YBL046W	-0.235955	-1.17487			-0.0	-0.0
YBL047C	-0.184772	-3.36853			-0.0	-0.0
YBL048W	0.744929	-0.187332				
YBL049W	0.651569	0.605641			-0.0	-0.0
YBL051C	0.647305	1.39373			-0.0	-0.0
YBL052C	-0.07662	-0.491681			-0.0	-0.0
YBL053W	0.567844	0.369951				
YBL054W	-0.0554997	0.327222			-0.0	-0.0
YBL055C	-0.0361119	-0.52738				
YBL056W	0.88581	0.774722			-0.0	-0.0
YBL057C	0.586369	-0.31921			-0.0	-0.0
YBL058W					-0.0	-0.0
YBL059W	-0.304361	-1.46111			-0.0	-0.0
YBL060W	2.18401	0.264405			-0.0	-0.0
YBL061C	0.311472	-2.5226			-0.0	-0.0
YBL062W	-0.730661	-1.62047				
YBL063W	-0.21924	-0.791007			-0.762850295921072	-0.0
YBL064C	0.265594	0.644146			-0.0	-0.0
YBL065W	-0.274149	0.849525				
YBL066C	-0.0660569	-0.0515539			-0.0	-0.0
YBL067C	-0.523834	1.35339			-0.0	-0.0
YBL068W	-0.445791	-0.255557			-0.0	-0.0
YBL069W	0.628142	0.884362			-0.0	-0.0
YBL070C	1.5011	0.544068				
YBL071C	0.549605	1.68803				
YBL072C	3.57647	2.90521			-0.0	-0.0
YBL075C	0.56772	-0.539503			-0.0	-0.0
YBL078C	0.235004	0.11133			-0.0	-0.0
YBL079W	-1.7229	2.06153			-0.0	-0.0
YBL080C	-2.29898	-0.292979			-1.699090271636865	-0.0
YBL081W	-0.38609	-1.07706				
YBL082C	-0.0481686	-0.407724			-0.0	-0.0
