orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YAL002W	-0.7041427639729783	-0.7660429246338836				
YAL004W	-1.0219936021363014	-0.8246434228473651				
YAL005C	-0.8208463620417917	-0.28990474186358506			0.0	0.0
YAL007C	-0.797085953178469	0.1489718022306456			0.0	0.0
YAL008W	-0.8804837937981312	-0.042581453291321666			0.0	0.0
YAL009W	-1.1957982058267727	-0.4107588992105072				
YAL010C					0.0	0.0
YAL011W	-0.8921549623746902	-1.6467794150172383				
YAL012W	-0.40849887476169494	0.31689364950836574			0.0	0.0
YAL013W	-2.0223297096853674	-2.988150190754551			0.0	0.0
YAL014C	-0.8205726246124908	-2.4079764038188447			0.0	0.0
YAL015C	-0.6387991510767561	-4.7832015139016635			0.0	0.0
YAL016W						
YAL017W	-0.6698577730835549	-0.8711935377004126			0.0	0.0
YAL018C	-0.2320370271893368	-0.01375093935339808			0.0	0.0
YAL019W	-0.7874068465305957	-0.42026284332378483			0.0	0.0
YAL020C	0.7668245065985265	1.4286562172821828			0.0	0.0
YAL021C					0.0	0.0
YAL022C	0.6048777106409556	1.0034686676023994			0.0	0.0
YAL023C	0.7094951790756109	0.5978013075361731			0.0	0.0
YAL024C	-2.277166813754132	-2.4857934777356454			0.0	0.0
YAL026C	-1.908815774798431	-3.2073398459520917				
YAL027W	0.2866728802111046	0.12924819883107308			0.0	0.0
YAL028W	0.1479104002542822	0.22737199566735727			0.0	0.0
YAL029C	-0.2512958240278054	1.1423475465434687			0.0	0.0
YAL030W	0.15741531035623668	0.7422326294510717			0.0	0.0
YAL031C	0.9662297812338482	0.3089936607670396			0.0	0.0
YAL034C	0.014451582990165832	0.08378371088783394			0.0	0.0
YAL035W					0.0	0.0
YAL036C	0.44128849010757903	0.8926458234436098			0.0	0.0
YAL037W	-0.9363759998172168	-0.9496449612758245			0.0	0.0
YAL039C					0.0	0.0
YAL040C	-0.6090302056402774	-1.263186217655652				
YAL042C-A	0.003900249351656373	0.25941795419311037				
YAL042W	0.21380584292275429	0.7581215062920565			0.0	0.0
YAL044C	-0.6461888174068396	-0.31341184168304503			-1.772266117639149	0.0
YAL045C	-0.8528549773543691	-0.7291067480154405				
YAL046C	-0.14561911616785966	-0.09335730120274212			0.0	0.0
YAL047C					0.0	0.0
YAL048C	-0.8225509996697115	-0.2292602364544053			-2.1579375322070797	0.0
YAL049C	0.36765498801718594	0.5127464697591855			0.0	0.0
YAL051W	-0.5748690187245608	-0.1985006215083504			0.0	0.0
YAL053W	-0.8290460423103976	-0.5201005896533474			0.0	0.0
YAL054C	0.3730986300771481	-0.009269055601524226			0.0	0.0
YAL055W	-0.5066449415154672	0.43345125566400583			0.0	0.0
YAL056C-A	0.36870265581478323	0.5115003719737428				
YAL056W	-1.1481181226867156	-1.4627954124882239			0.0	0.0
YAL058W	-0.7756859075123458	-1.2647833925680698				
YAL059W	-0.6213701645270602	0.2609827335766441			0.0	0.0
YAL060W	-0.03011038197794482	0.43306250931739854			0.0	0.0
YAL061W	-0.8176423898579283	-2.032301276424008			0.0	0.0
YAL062W	0.4671877837025761	0.15735094344569697			0.0	0.0
YAL064C-A	-0.010441725552150198	-0.5546636054349435			0.0	0.0
YAL065C	0.20193932536255793	0.20159118175088014			0.0	0.0
YAL066W	0.17125647019052673	0.056160872131328005				
YAL067C	-0.7365607411684648	-0.646491368901853			0.0	0.0
YAL068C	0.03334444265610073	-0.16510111751507478			0.0	0.0
YAR002C-A	-0.7218274461668621	-0.22546159700822557			0.0	0.0
YAR002W	-0.6150511848238561	-1.5202711078034792			0.0	0.0
YAR003W	-0.8155831378329598	-0.4472920151788826			0.0	0.0
YAR014C	-0.4885558744828433	-1.2208836840083641				
YAR015W	-0.5946073537687229	-0.7690888577333669			0.0	0.0
YAR018C	-0.02031742544470323	-0.9598284581112723				
YAR020C	0.46125887983612585	0.6757615244875773			0.0	0.0
YAR023C	-4.0947499756239057e-05	0.15542152601612078			0.0	0.0
YAR027W	0.037722375133352574	-0.539877683344798			0.0	0.0
YAR028W	-0.4848591749262382	-0.6192874118676605			0.0	0.0
YAR029W	-0.5147631226858039	-0.8491464968339081			0.0	0.0
YAR030C	0.8222625573371809	0.8026766592733674				
YAR031W	-0.01306462782927024	-0.27147793901908074			0.0	0.0
YAR035W	0.591595224014648	-0.5446767419259774			0.0	0.0
YAR042W	-0.035952809701956766	0.16336483436002427			0.0	0.0
YAR047C	0.5309748260349096	0.4398520094639588				
YAR050W	0.4385641805555134	0.518111320019245			0.0	0.0
YBL001C	-0.16374650644058572	0.17136163299580584			0.0	0.0
YBL002W	1.2462258435774551	1.0505928613626463			-3.5835884592678706	0.0
YBL003C	1.1127664041828176	1.2931374327323317			0.0	0.0
YBL005W	0.31529337270556157	0.9400939724926959			0.0	0.0
