ORF	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YDR161W	-52.634
YCR017C	29.423
YDR162C	32.488
YCR019W	33.535
YDR163W	-42.350
YCR020C	-1.913
YDR165W	52.066
YCR020C-A	33.866
YDR169C	52.649
YCR021C	40.106
YDR171W	17.636
YCR022C	-2.509
YDR173C	75.306
YCR023C	23.500
YDR175C	0.000
YDR049W	30.741
YDR176W	36.892
YDR051C	35.760
YDR178W	4.854
YDR055W	29.149
YDR179C	-21.118
YDR056C	-25.363
YDR179W-A	-63.726
YDR057W	-6.943
YBR219C	7.149
YBL022C	-3.757
YBR220C	-7.464
YBL024W	20.611
YBR221C	-31.431
YBL025W	-0.309
YBR222C	-31.813
YBL027W	25.757
YBR223C	-12.941
YBL028C	4.985
YBR224W	2.990
YBL029W	-5.064
YBR225W	39.067
YBL031W	16.750
YBR226C	-10.842
YBL032W	8.223
YBR227C	8.596
YBL036C	-15.447
YBR228W	-21.567
YBL037W	-2.582
YBR229C	-10.446
YBL038W	-4.503
YBR230C	-6.031
YBL039C	0.892
YDR148C	0.025
YCR003W	8.643
YDR149C	41.974
YCR004C	0.000
YDR150W	4.591
YCR005C	4.996
YDR151C	28.142
YCR006C	-12.400
YDR152W	14.999
YCR007C	48.401
YDR153C	-13.841
YCR008W	17.800
YDR154C	-27.835
YCR009C	29.886
YDR155C	1.981
YCR010C	8.680
YDR156W	-8.745
YCR011C	21.144
YDR157W	20.260
YCR014C	14.231
YDR158W	10.688
YCR015C	-15.700
YDR159W	54.012
YCR016W	-43.538
YBR206W	23.697
YBL007C	17.708
YBR207W	-0.198
YBL008W	12.147
YBR208C	-1.504
YBL009W	-16.885
YBR209W	17.010
YBL010C	23.192
YBR210W	-8.131
YBL011W	-0.687
YBR212W	-17.226
YBL012C	0.000
YBR213W	-18.561
YBL013W	-18.339
YBR214W	-6.602
YBL015W	-7.261
YBR215W	-5.030
YBL016W	19.569
YBR216C	5.731
YBL017C	-8.745
YBR217W	9.283
YBL019W	-3.877
YBR218C	22.263
YBL021C	12.433
YDR133C	12.228
YCL051W	-0.280
YDR134C	-20.388
YCL055W	10.438
YDR135C	-26.565
YCL056C	-29.410
YDR136C	17.878
YCL057W	1.395
YDR137W	38.206
YCL060C	-5.195
YDR139C	-22.971
YCL061C	15.809
YDR140W	32.581
YCL062W	-56.682
YDR142C	-25.689
YCL063W	-17.123
YDR143C	-23.304
YCL064C	-15.476
YDR144C	-7.902
YCL069W	10.384
YDR146C	4.969
YCR001W	-33.640
YDR147W	-8.752
YCR002C	-34.797
YBR186W	12.962
YAR035W	0.664
YBR187W	19.474
YAR037W	-14.481
YBR188C	6.525
YAR040C	-14.402
YBR194W	-13.921
YAR042W	4.265
YBR195C	17.607
YAR043C	-5.824
YBR197C	-32.358
YAR044W	-24.560
YBR199W	-13.296
YAR047C	-12.143
YBR200W	-9.353
YBL001C	-38.522
YBR201W	10.791
YBL002W	-13.827
YBR203W	-16.684
YBL003C	-10.504
YBR204C	-20.251
YBL005W	-18.313
YBR205W	27.068
YBL006C	56.568
YDR121W	13.544
YCL036W	42.477
YDR122W	-32.880
YCL037C	5.057
YDR123C	2.810
YCL039W	-24.379
YDR124W	-44.044
YCL040W	-8.995
YDR125C	-13.593
YCL042W	-38.688
YDR126W	-6.885
YCL044C	-16.312
YDR127W	12.830
YCL045C	13.688
YDR128W	-20.814
YCL046W	-13.377
YDR129C	41.358
YCL047C	-17.929
YDR130C	-9.245
YCL048W	-19.938
YDR131C	-23.123
YCL049C	-21.090
YDR132C	-47.424
YCL050C	3.254
YBR174C	37.572
YAR002W	-0.483
YBR175W	19.599
YAR003W	3.917
YBR176W	9.053
YAR014C	-6.027
YBR177C	-13.403
YAR015W	-14.775
YBR178W	13.396
YAR018C	9.309
YBR179C	-6.214
YAR020C	37.639
YBR180W	-11.883
YAR023C	-4.963
YBR181C	35.020
YAR027W	30.632
YBR182C	5.874
YAR028W	18.875
YBR183W	-8.402
YAR029W	42.842
YBR184W	-2.204
YAR031W	1.746
YBR185C	1.937
YAR030C	7.173
YDR107C	7.940
YCL014W	-1.727
YDR108W	-11.619
YCL016C	-0.594
YDR109C	11.362
YCL024W	-8.424
YDR110W	12.711
YCL025C	-2.626
YDR111C	-32.847
YCL026C	17.167
YDR112W	6.223
YCL027W	-11.880
YDR114C	0.000
YCL028W	-1.199
YDR115W	0.000
YCL029C	-15.730
YDR116C	8.424
YCL030C	9.133
YDR117C	9.802
YCL032W	-24.448
YDR119W	-3.719
YCL033C	10.330
YDR120C	-10.811
YCL034W	30.205
YBL083C	2.751
YAL017W	-11.351
YBL085W	15.204
YAL015C	-33.827
YBL086C	-31.450
YAL014C	-32.098
YBL087C	-21.905
YAL013W	-0.201
YBL088C	-6.356
YAL011W	-21.991
YBL089W	11.849
YAL010C	58.165
YBL090W	0.000
YAL009W	0.000
YBL091C	-28.175
YAL008W	48.255
YBL093C	29.693
YAL007C	-0.099
YBL094C	52.338
YAL004W	24.197
YBR093C	1.295
YAL005C	-12.791
YBR173C	0.784
YAL002W	20.887
YDR094W	9.763
YBR267W	44.708
YDR095C	1.062
YBR268W	0.850
YDR096W	7.547
YCL001W	-10.320
YDR097C	3.067
YCL002C	-21.979
YDR098C	-33.549
YCL005W	18.294
YDR099W	-47.597
YCL007C	0.000
YDR100W	-20.535
YCL008C	10.008
YDR101C	2.853
YCL009C	-6.963
YDR102C	-20.651
YCL010C	-80.633
YDR103W	-26.767
YCL011C	-18.263
YDR104C	-15.423
YCL012W	4.963
YDR105C	-10.648
YCL013W	25.614
YBL067C	31.748
YAL031C	10.746
YBL068W	-12.602
YAL030W	16.921
YBL069W	-25.468
YAL029C	-16.428
YBL070C	-1.139
YAL028W	20.745
YBL071C	21.907
YAL027W	3.907
YBL072C	-27.813
YAL026C	-13.581
YBL075C	16.023
YAL023C	1.297
YBL078C	-60.840
YAL022C	15.964
YBL079W	10.528
YAL021C	45.530
YBL080C	0.000
YAL020C	2.418
YBL081W	4.749
YAL019W	12.722
YBL082C	21.983
YAL018C	15.558
YDR076W	41.813
YBR249C	-14.215
YDR077W	22.588
YBR250W	-4.053
YDR078C	0.000
YBR251W	0.000
YDR079W	0.000
YBR255W	7.571
YDR080W	0.282
YBR258C	-20.669
YDR083W	3.891
YBR259W	-4.075
YDR084C	36.404
YBR260C	-14.084
YDR085C	12.317
YBR261C	-21.492
YDR089W	-15.411
YBR262C	-7.372
YDR090C	5.419
