orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YAL002W	20.88745
YAL004W	24.197
YAL005C	-12.791
YAL007C	-0.099496
YAL008W	48.255
YAL009W	0.0
YAL010C	58.165
YAL011W	-21.991
YAL012W	22.734333333333336
YAL013W	-0.20149
YAL014C	-32.098
YAL015C	-33.827
YAL016W	0.0
YAL017W	-11.351
YAL018C	15.558
YAL019W	12.722
YAL020C	2.4183
YAL021C	45.53
YAL022C	15.964
YAL023C	1.2967
YAL024C	25.1505
YAL026C	-13.581
YAL027W	3.9068
YAL028W	20.745
YAL029C	-16.428
YAL030W	16.921
YAL031C	10.746
YAL034C	-3.599500000000001
YAL035W	-15.99
YAL036C	-9.4837
YAL037W	-4.5114
YAL039C	10.3
YAL040C	11.481
YAL042C-A	-25.609
YAL042W	-4.1891
YAL044C	19.992
YAL045C	-12.028
YAL047C	25.54075
YAL049C	17.181
YAL051W	-1.0439
YAL053W	5.786733333333333
YAL054C	-8.20175
YAL055W	47.597
YAL056C-A	9.132000000000001
YAL056W	37.323
YAL058W	10.275
YAL059W	11.231
YAL060W	5.6401
YAL061W	4.5588
YAL062W	19.092
YAL064C-A	-17.138
YAL065C	64.18
YAL066W	8.05
YAL067C	51.807
YAL068C	2.0001
YAR002C-A	-28.562
YAR002W	-0.48277
YAR003W	3.9172
YAR014C	-6.0274
YAR015W	-14.775
YAR018C	9.3093
YAR020C	37.639
YAR023C	-4.9631
YAR027W	30.632
YAR028W	18.875
YAR029W	42.842
YAR030C	7.173150000000001
YAR031W	1.7462
YAR035W	0.6641
YAR042W	-10.147599999999999
YAR047C	-12.143
YAR050W	-16.356275
YBL001C	-38.522
YBL002W	-13.827
YBL003C	-10.504
YBL005W	-18.313
YBL006C	56.568
YBL007C	17.708
YBL008W	12.147
YBL009W	-16.885
YBL010C	23.192
YBL011W	-0.68675
YBL012C	0.0
YBL013W	-18.339
YBL015W	-7.2614
YBL016W	19.569
YBL017C	-8.7454
YBL019W	-3.8773
YBL021C	12.433
YBL022C	-3.75685
YBL024W	20.611
YBL025W	-0.30937
YBL027W	25.757
YBL028C	4.9852
YBL029W	-5.0644
YBL031W	16.75
YBL032W	8.2234
YBL036C	-15.447
YBL037W	-2.5823
YBL038W	-4.50295
YBL039C	0.8924999999999983
YBL042C	-1.4269000000000003
YBL043W	29.974
YBL044W	0.0
YBL045C	0.0
YBL046W	-13.71
YBL047C	9.0086
YBL048W	23.746
YBL049W	-46.94
YBL051C	-4.7972
YBL052C	58.848
YBL053W	65.022
YBL054W	-36.495
YBL055C	18.831666666666667
YBL056W	18.39
YBL057C	20.586
YBL058W	0.8538
YBL059W	-9.9429
YBL060W	-16.381
YBL061C	9.8049
YBL062W	-31.508
YBL063W	-4.1713
YBL064C	0.24062
YBL065W	-10.374
YBL066C	9.6405
YBL067C	31.748333333333335
YBL068W	-12.602
YBL069W	-25.468
YBL070C	-1.1385
YBL071C	21.907
YBL072C	-27.813
YBL075C	16.023
YBL078C	-60.84
YBL079W	10.528
YBL080C	0.0
YBL081W	4.7493
YBL082C	21.983
YBL083C	2.7510000000000012
YBL085W	15.204
YBL086C	-31.45
YBL087C	-21.905
YBL088C	-6.3564
YBL089W	11.849
YBL090W	0.0
YBL091C	-28.175
YBL091C-A	-30.013
YBL093C	29.693
YBL094C	52.338
YBL095W	-9.0555
YBL096C	-34.924
YBL098W	-2.3307
YBL099W	0.0
YBL100C	-13.605
YBL101C	24.636
YBL102W	10.462
YBL103C	1.5241
YBL104C	-5.4301
YBL106C	-3.2165
YBL107C	-0.45025
YBR001C	37.732
YBR003W	0.0
YBR005W	-27.51
YBR006W	-39.059
YBR007C	18.176
YBR008C	-21.845
YBR009C	8.3225
YBR010W	6.2421
YBR012C	18.32
YBR013C	16.418
YBR014C	8.7286
YBR015C	23.486
YBR016W	-6.121135000000001
YBR018C	7.2206
YBR019C	9.7308
YBR020W	1.0342
YBR021W	11.033
YBR022W	-34.892
YBR023C	3.1781
YBR024W	6.6181
YBR025C	36.701
YBR026C	-8.2728
YBR027C	11.028
YBR028C	23.358
YBR030W	36.705
YBR031W	-0.59449
YBR032W	-14.684
YBR033W	8.7824
YBR034C	-1.8157
YBR035C	-3.1151
YBR036C	14.921
YBR037C	0.0
YBR040W	-8.5486
YBR041W	-17.476
YBR042C	-0.58058
YBR043C	-12.286
YBR044C	33.447500000000005
YBR045C	25.402
YBR046C	-18.004
YBR047W	-24.566
YBR048W	24.268
YBR050C	-25.444
YBR051W	-24.238
YBR052C	2.9492
YBR053C	-1.6825
YBR054W	-9.8243
YBR056W	-24.007
YBR057C	16.519
YBR058C	11.01375
YBR059C	35.467
YBR061C	7.2855
YBR062C	-3.8683
YBR063C	17.198
YBR064W	-30.617
YBR065C	-8.3876
YBR066C	-36.818
YBR067C	2.7772
YBR068C	-27.651
YBR069C	-10.441
YBR071W	25.358
YBR072W	16.8935
YBR073W	-0.83203
YBR074W	-12.235876666666664
YBR076W	-7.1773
YBR077C	39.73
YBR081C	0.0
YBR082C	33.3575
YBR083W	23.308175
YBR084C-A	-1.4859999999999995
YBR084W	2.86325
YBR085W	22.679
YBR089C-A	-12.97
YBR090C	-22.387
YBR092C	-27.011
YBR093C	1.295
YBR094W	-11.386
YBR095C	-22.344
YBR097W	0.0
YBR098W	-6.444466666666666
YBR099C	1.5919
YBR101C	22.264
YBR103W	7.0028
YBR104W	35.281666666666666
YBR105C	-6.8014
YBR106W	5.7624
YBR107C	-13.281
YBR108W	-14.927
YBR111C	17.753
YBR112C	0.0
YBR113W	-17.503
YBR114W	-9.8677
YBR115C	4.9045
YBR116C	-14.864
YBR119W	0.61862
