orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YAL002W	0.8539522935448545
YAL004W	0.998652588854022
YAL005C	-0.61853842590493
YAL007C	-0.06363991199292345
YAL008W	2.050517556764449
YAL009W	-0.05928974336513993
YAL010C	2.4838030265454916
YAL011W	-1.0207812434614985
YAL012W	0.9347018104685793
YAL013W	-0.06809929829008264
YAL014C	-1.4626799561836983
YAL015C	-1.5382753726571012
YAL016W	-0.05928974336513993
YAL017W	-0.5555786805482498
YAL018C	0.6209378387593267
YAL019W	0.49694211804297583
YAL020C	0.04644327899323504
YAL021C	1.9313749830860087
YAL022C	0.6386889891862797
YAL023C	-0.0025953671123570576
YAL024C	1.0403415591301295
YAL026C	-0.6530788417603309
YAL027W	0.11152354355116464
YAL028W	0.8477240881795356
YAL029C	-0.7775555049759344
YAL030W	0.6805309866212401
YAL031C	0.4105473563590868
YAL034C	-0.21666724573414742
YAL035W	-0.7584052490966108
YAL036C	-0.4739365051978823
YAL037W	-0.25653737892217293
YAL039C	0.39104732411667054
YAL040C	0.4426830597182257
YAL042C-A	-1.178967603670158
YAL042W	-0.24244576369407703
YAL044C	0.8148013880034383
YAL045C	-0.5851785052749667
YAL047C	1.0574040873422437
YAL049C	0.6918987184217519
YAL051W	-0.10493118654419448
YAL053W	0.19371807407491592
YAL054C	-0.4178870291145515
YAL055W	2.021748450900077
YAL056C-A	0.339979975105141
YAL056W	1.5725481565983175
YAL058W	0.38995427298200597
YAL059W	0.4317525483715798
YAL060W	0.18730696481972992
YAL061W	0.1400303171432171
YAL062W	0.7754515471555129
YAL064C-A	-0.8085981572004087
YAL065C	2.746791129545792
YAL066W	0.29267272199685757
YAL067C	2.2058182619775937
YAL068C	0.028158719612565816
YAR002C-A	-1.308078803696739
YAR002W	-0.08039743521642086
YAR003W	0.1119782528231851
YAR014C	-0.32281999972823355
YAR015W	-0.7052829639519117
YAR018C	0.3477318937521822
YAR020C	1.586364322940478
YAR023C	-0.2762866268232927
YAR027W	1.2800039509166872
YAR028W	0.7659638633066244
YAR029W	1.813850125086872
YAR030C	0.2543350464996318
YAR031W	0.017057692288912244
YAR035W	-0.0302539330239098
YAR042W	-0.502963571130035
YAR047C	-0.5902065404944239
YAR050W	-0.7744195412705817
YBL001C	-1.743550375747111
YBL002W	-0.6638344649254305
YBL003C	-0.5185461081058134
YBL005W	-0.8599715605296442
YBL006C	2.4139789200631174
YBL007C	0.7149402363404813
YBL008W	0.4718019419456903
YBL009W	-0.7975364797176031
YBL010C	0.9547119332405055
YBL011W	-0.08931585803437618
YBL012C	-0.05928974336513993
YBL013W	-0.8611083337096954
YBL015W	-0.37677300373527767
YBL016W	0.7963069628049133
YBL017C	-0.44165651908896764
YBL019W	-0.22881322994254027
YBL021C	0.4843064469262532
YBL022C	-0.22354690957572632
YBL024W	0.8418653340977335
YBL025W	-0.07281603254638727
YBL027W	1.0668589796570924
YBL028C	0.1586733972960563
YBL029W	-0.2807156700209536
YBL031W	0.6730545168601344
YBL032W	0.30025412466689116
YBL036C	-0.7346641784516958
YBL037W	-0.1721931811669146
YBL038W	-0.2561679276386563
YBL039C	-0.020267817857614195
YBL042C	-0.12167672992725599
YBL043W	1.2512348450523152
YBL044W	-0.05928974336513993
YBL045C	-0.05928974336513993
YBL046W	-0.6587189856152003
YBL047C	0.33458467470443654
YBL048W	0.9789339463846728
YBL049W	-2.111602553811371
YBL051C	-0.2690331394936585
YBL052C	2.513665183544528
YBL053W	2.783605091761295
YBL054W	-1.6549257897485061
YBL055C	0.7640692413398724
YBL056W	0.7447586712941314
YBL057C	0.8407722829630687
YBL058W	-0.021959861014074905
YBL059W	-0.4940136684394014
YBL060W	-0.7755005688427649
YBL061C	0.369400539445773
YBL062W	-1.4368839494056138
YBL063W	-0.24166751128619582
YBL064C	-0.0487693448042202
YBL065W	-0.5128622422055575
YBL066C	0.36221263518421865
YBL067C	1.3288123275832433
YBL068W	-0.6102749593268657
YBL069W	-1.1728027952706495
YBL070C	-0.1090672920377653
YBL071C	0.8985291049187457
YBL072C	-1.2753309917021878
YBL075C	0.6412685898640881
YBL078C	-2.7193389846848826
YBL079W	0.4010159504648116
YBL080C	-0.05928974336513993
YBL081W	0.14835936678936126
YBL082C	0.9018519803681261
YBL083C	0.06098960349335144
YBL085W	0.6054602346924762
YBL086C	-1.4343480707731924
YBL087C	-1.0170211475582525
YBL088C	-0.33720455266041954
YBL089W	0.4587727724204884
YBL090W	-0.05928974336513993
YBL091C	-1.2911583721321311
YBL091C-A	-1.3715194915526718
YBL093C	1.2389489502986852
YBL094C	2.2290346680778694
