orf	hom | protein transport to the MCC (HUP1-GFP) | standard | SD + His + Leu | Grossmann G~Tanner W, 2008
YCR009C	-10.20140046408195
YCR044C	-10.20140046408195
YDR027C	-15.302100696122924
YDR245W	-10.20140046408195
YDR320C	-10.20140046408195
YDR323C	-15.302100696122924
YDR484W	-15.302100696122924
YER001W	-5.100700232040975
YGL038C	-15.302100696122924
YGL223C	-10.20140046408195
YGR036C	-15.302100696122924
YGR086C	-15.302100696122924
YHL031C	-10.20140046408195
YIL038C	-5.100700232040975
YIL105C	-10.20140046408195
YJR073C	-10.20140046408195
YLR372W	-15.302100696122924
YML008C	-15.302100696122924
YMR015C	-15.302100696122924
YMR142C	-10.20140046408195
YMR202W	-15.302100696122924
YMR312W	-5.100700232040975
YNL133C	-15.302100696122924
YNL280C	-15.302100696122924
YOR036W	-15.302100696122924
YOR154W	-15.302100696122924
YPL129W	-5.100700232040975
YPR149W	-15.302100696122924
