orf	hap a/hap alpha | transport to/from vacuoles (proteolytic maturation of ALP in the vacuole) | standard [standard] | Anand VC~Payne GS, 2009
YAL002W	5.0819191631683704
YAL026C	7.070496227016863
YBR011C	4.41906014188554
YBR097W	11.047650354713848
YBR127C	3.7562011206027086
YBR131W	9.721932312148187
YBR288C	5.0819191631683704
YCL063W	10.605744340525295
YDL077C	14.361945461128004
YDL185W	8.83812028377108
YDL192W	5.0819191631683704
YDR080W	13.920039446939448
YDR495C	8.396214269582524
YEL013W	7.512402241205417
YEL027W	8.175261262488249
YEL051W	3.5352481135084317
YEL060C	11.71050937599668
YER123W	7.070496227016863
YFR019W	8.83812028377108
YGL095C	8.396214269582524
YGL124C	9.721932312148187
YGL212W	13.699086439845173
YGR020C	7.070496227016863
YGR261C	6.8495432199225865
YHR012W	5.302872170262647
YHR039C-A	3.7562011206027086
YHR060W	8.396214269582524
YHR181W	9.280026297959633
YJL024C	6.8495432199225865
YJL053W	3.7562011206027086
YJL154C	5.0819191631683704
YKL080W	3.0933420993198775
YKL119C	11.71050937599668
YKR001C	5.965731191545479
YLR148W	16.350522524976498
YLR240W	13.699086439845173
YLR360W	7.070496227016863
YLR386W	6.407637205734032
YLR447C	11.931462383090958
YML001W	12.37336839727951
YML097C	7.954308255393971
YMR231W	15.908616510787942
YOR036W	10.163838326336741
YOR069W	3.5352481135084317
YOR089C	3.9771541276969855
YOR106W	13.699086439845173
YOR132W	3.0933420993198775
YOR270C	7.291449234111139
YPL045W	16.571475532070775
YPL120W	6.407637205734032
YPL154C	15.908616510787942
YPL195W	6.8495432199225865
YPL234C	6.407637205734032
