orf	hap a | growth (colony size) | imatinib mesylate [1.6-1.9 g/l] | MM4 + his + leu + lys + met + trp + ura | Dos Santos SC~Sa Correia I, 2009
YCL005W-A	-9.449556478854381
YCR002C	-9.449556478854381
YCR094W	-9.449556478854381
YDL077C	-9.449556478854381
YDL080C	-9.449556478854381
YDR027C	-9.449556478854381
YDR080W	-9.449556478854381
YDR136C	-9.449556478854381
YDR173C	-9.449556478854381
YDR176W	-9.449556478854381
YDR448W	-9.449556478854381
YDR484W	-9.449556478854381
YEL027W	-9.449556478854381
YEL051W	-9.449556478854381
YGL019W	-9.449556478854381
YGL084C	-9.449556478854381
YGL173C	-9.449556478854381
YGL211W	-9.449556478854381
YGL244W	-9.449556478854381
YGR020C	-9.449556478854381
YGR056W	-9.449556478854381
YGR105W	-9.449556478854381
YGR180C	-9.449556478854381
YHL025W	-9.449556478854381
YHR010W	-9.449556478854381
YHR026W	-9.449556478854381
YHR060W	-9.449556478854381
YHR064C	-9.449556478854381
YHR090C	-9.449556478854381
YJL129C	-9.449556478854381
YJL204C	-9.449556478854381
YJR073C	-9.449556478854381
YJR118C	-9.449556478854381
YKL080W	-9.449556478854381
YKL081W	-9.449556478854381
YKL119C	-9.449556478854381
YKR001C	-9.449556478854381
YLR087C	-9.449556478854381
YMR123W	-9.449556478854381
YNL280C	-9.449556478854381
YNR052C	-9.449556478854381
YOL052C	-9.449556478854381
YOR039W	-9.449556478854381
YOR068C	-9.449556478854381
YOR069W	-9.449556478854381
YOR106W	-9.449556478854381
YPL234C	-9.449556478854381
YPR036W	-9.449556478854381
YPR049C	-9.449556478854381
YPR139C	-9.449556478854381
YPR163C	-9.449556478854381
