orf	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [12 gen] | SC | Holbein S~Dichtl B, 2009	hap a | growth (pooled culture, microarray) | cordycepin [20 ug/ml], time [18 gen] | SC | Holbein S~Dichtl B, 2009
YAL004W	0.014116549586183497	-0.11116687607050815
YAL005C	0.1352746429850516	-0.11361506107166745
YAL007C	0.1273199754625424	0.15709622508417215
YAL008W	0.18864815942677182	0.20697366701636274
YAL010C	-0.2513	0.123746696201831
YAL011W	-1.57595508326213	-3.26481456516349
YAL012W	-0.18409912517394456	-0.5355373568180211
YAL013W	-0.3270647286323515	-0.8684
YAL014C	-0.2307857123646665	-0.442228903363304
YAL015C	0.0909757165635354	0.07043555517079131
YAL016W	-0.140113418038741	0.0122535162626497
YAL017W	0.0409128008798475	-0.01234187171051445
YAL018C	-0.10296518437916471	-0.16340887786398872
YAL019W	0.18334802439642	-0.018172963195445008
YAL020C	0.4170083123488245	0.6896509668496045
YAL022C	-0.053606873953447	-0.08354103744069599
YAL023C	-0.0544709875707987	0.09355877923057201
YAL024C	0.20934475028335628	0.4894152706711875
YAL026C	-1.44524666544514	-1.517461912358855
YAL027W	-0.04041165794678139	0.017370113475358606
YAL028W	0.007205482423827014	-0.18461233299573493
YAL029C	-0.0002061595174941977	0.07947729675185135
YAL030W	-0.1850063492392235	-0.1340812300296021
YAL031C	0.052620781842336345	-0.19814857439586805
YAL034C	-0.0325130219422977	-0.0919446977350246
YAL036C	-0.011472241141833706	-0.18392383948669583
YAL037W	0.0850597449764748	0.10133182171440824
YAL039C	-1.0683041015787875	-2.0590104415892
YAL040C	-0.250350488783924	-0.013309548550283018
YAL042C-A	-0.5446044167389905	-0.7578286810642085
YAL042W	-0.1293493147988275	-0.1202406959890145
YAL044C	-0.482125656756727	-1.9055107867928802
YAL045C	-0.16888151660253448	-0.02166038987517685
YAL046C	-0.238634052121953	0.01674295708647375
YAL047C	0.40431560470329697	0.5476218225330315
YAL049C	-0.1408501914093925	-0.09771223824316827
YAL051W	0.016475879545013	-0.005528755204136981
YAL053W	-0.018172803655925204	0.08767884941161046
YAL054C	-0.05864581946217675	-0.051239287462925664
YAL055W	-2.70609254758635	-5.367518807652225
YAL056C-A	0.14971671197903202	0.407798986391368
YAL056W	-0.189848469179863	-0.47950659010419605
YAL058W		0.954707527279431
YAL059W	0.07284164530532171	0.14699590541179147
YAL060W	0.12781211097533934	0.07568727734258801
YAL061W	-0.12712119490244383	-0.1607536816447995
YAL062W	-0.24377722008150998	-0.07561622167092147
YAL064C-A	0.08240567387312185	-0.08759140090269205
YAL065C	-0.2296573825715665	0.0704765262097345
YAL066W	0.03320002772588701	-0.11727504935241936
YAL067C	0.1120493800364743	0.16954313584858186
YAL068C	0.0442110192650749	0.25125175094593216
YAR002C-A	0.0743998616452799	0.0005041725459535504
YAR003W	-0.759018337902037	
YAR014C		-1.789778804313055
YAR020C	0.13252815013516495	-0.009738909468997595
YAR023C	0.04880815161746075	0.14471823635573
