orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YAL002W	0.3785102
YAL004W	-0.2554849
YAL005C	-0.3040265
YAL007C	0.3916887
YAL008W	0.01398867
YAL009W	0.06703678
YAL010C	-0.6295669
YAL011W	0.3218499
YAL012W	1.055298
YAL013W	-0.4325686
YAL014C	-0.04726669
YAL015C	-0.07792556
YAL017W	0.03039021
YAL018C	0.03086734
YAL019W	0.5455741
YAL020C	-0.2282546
YAL021C	1.190288
YAL022C	-0.02630683
YAL023C	2.983503
YAL024C	0.08267119
YAL026C	0.4340215
YAL027W	-0.0813731
YAL028W	0.01069922
YAL029C	0.1351427
YAL030W	-0.0623543
YAL031C	0.01291088
YAL034C	0.1388871
YAL035W	-0.09389591
YAL036C	-0.03244998
YAL037W	-0.006879961
YAL039C	-0.1558072
YAL040C	0.1605764
YAL042C-A	-0.1889951
YAL042W	-0.21168
YAL044C	-0.4575968
YAL045C	-0.01564359
YAL046C	0.04165096
YAL048C	-0.2413226
YAL049C	0.06954042
YAL051W	-0.05879665
YAL053W	0.1961247
YAL054C	0.03224295
YAL055W	-0.08239901
YAL056C-A	1.205298
YAL056W	-0.02348371
YAL058W	1.400788
YAL059W	-0.5070161
YAL060W	-0.03089773
YAL061W	0.005136606
YAL062W	0.0132144
YAL064C-A	0.007496866
YAL065C	-0.01321835
YAL066W	0.02344457
YAL067C	0.01769749
YAL068C	-0.0752476
YAR002C-A	1.326652
YAR002W	-0.3878323
YAR003W	-0.3986851
YAR014C	0.9144375
YAR015W	-0.7097736
YAR018C	0.9116239
YAR020C	-0.006634715
YAR023C	-0.01879747
YAR027W	0.03724098
YAR028W	-0.002653235
YAR029W	0.01343076
YAR030C	-0.05290488
YAR031W	0.1061221
YAR035W	0.04522291
YAR042W	0.052302195
YAR047C	-0.05404106
YAR050W	-0.03660542
YBL001C	0.1171567
YBL002W	0.459614
YBL003C	0.2579757
YBL005W	0.03179408
YBL006C	-0.5689975
YBL007C	0.8641913
YBL008W	0.2495126
YBL009W	-0.008174682
YBL010C	0.02102478
YBL011W	0.1416945
YBL012C	0.08418328
YBL013W	-0.02540679
YBL015W	0.005007011
YBL016W	-0.3826532
YBL017C	0.01648354
YBL019W	0.06893412
YBL021C	-0.1844201
YBL022C	1.669096
YBL024W	-0.1876841
YBL025W	0.01548041
YBL027W	-0.8986534
YBL028C	-0.06420867
YBL029W	-0.04848272
YBL031W	-0.06044957
YBL032W	0.7177109
YBL036C	-0.003665561
YBL037W	0.1659312
YBL038W	-0.1382409
YBL039C	-0.9992992
YBL042C	-0.09565908
YBL043W	-0.004347712
YBL044W	-0.193911
YBL045C	-0.2372394
YBL046W	0.05329247
YBL047C	0.3968447
YBL048W	-0.03089263
YBL049W	0.1358082
YBL051C	0.2653549
YBL052C	0.01128613
YBL053W	0.1803273
YBL054W	0.1283395
YBL055C	-0.03101606
YBL056W	-0.008442918
YBL057C	-0.08870208
YBL059W	0.05259444
YBL060W	-0.03927758
YBL061C	0.1184358
YBL062W	0.121414
YBL063W	-0.1046747
YBL064C	-0.121198
YBL065W	0.02199927
YBL066C	-0.05251625
YBL067C	0.1274079
YBL068W	-0.04152517
YBL069W	-0.02761583
YBL070C	-0.1159055
YBL071C	-0.1716143
YBL072C	0.1656259
YBL075C	-0.01485294
YBL078C	-0.05613646
