orf	hap alpha | transport to/from ER (Kar2) | standard [standard] | Copic A~Miller EA, 2009
YAL007C	5.945161192885402
YAL009W	2.951675573357242
YAL011W	5.068031573037139
YAL051W	3.4271112817754905
YAR002C-A	11.464255828053922
YBL038W	4.280270831057291
YBL051C	5.683109674690871
YBL082C	7.340770524079742
YBL083C	6.2087472925631255
YBR041W	4.7316613833796195
YBR050C	3.230003977546821
YBR076W	3.039673447039177
YBR103W	3.018060295522385
YBR106W	7.105448889156241
YBR168W	3.0172654592895647
YBR276C	7.227719606632615
YCR020C-A	3.4077490711439906
YCR092C	3.288865097866581
YDL005C	3.3306601727747007
YDL096C	3.73690665187949
YDL100C	8.955375889572974
YDL117W	3.56032329092021
YDL224C	3.0811444867252824
YDR107C	3.0253454111718665
YDR108W	4.741805383654337
YDR202C	3.4389222302607054
YDR203W	3.349662439249491
YDR227W	4.444789072567128
YDR245W	4.724766638298617
YDR300C	5.348396488959423
YDR310C	6.665729288163987
YDR334W	4.450383076984633
YDR372C	4.843069745257081
YDR414C	17.353716593393916
YDR469W	4.239406216090773
YDR482C	6.00725342846974
YDR485C	5.098654246242031
YDR517W	4.300114659456798
YEL053C	3.429241124944956
YER005W	3.5285692654845504
YER083C	7.842618834807906
YER140W	5.7360998343235545
YFL025C	17.008184167513427
YFR013W	4.520301694029977
YGL020C	9.591024723855668
YGL024W	3.4402313785252425
YGL049C	3.2036713710879807
YGL084C	12.927114045028752
YGL200C	17.33562052155524
YGL226C-A	3.68075624104814
YGL228W	7.429961217327783
YHR004C	4.049606353578214
YHR178W	3.5121113864477755
YHR181W	7.16401793365498
YIL039W	10.773969103301852
YIL119C	3.5188881601688
YIR033W	5.883003339154287
YJL004C	3.58200896682749
YJL062W	4.31528243097257
YJL077C	9.165143557274332
YJL121C	3.8160980933623248
YJL123C	4.236459457904242
YJL175W	3.088429796668066
YJL183W	7.2087446402137445
YJL186W	3.357600945608406
YJR033C	3.0938876368073767
YJR073C	3.720144438880682
YJR075W	5.804593627937945
YJR117W	5.738184742751325
YJR118C	4.8342292940672165
YKL073W	13.213898535269033
YKL121W	3.4160748217155357
YKR029C	2.926210892738587
YLL009C	3.3976807216156106
YLL024C	3.142341012527342
YLR065C	6.623037768610872
YLR085C	6.164422525855784
YLR087C	7.147368940661781
YLR110C	6.173640859853758
YLR111W	5.233348889906371
YLR242C	10.783354614321524
YLR268W	6.854416185657296
YLR418C	3.5239223349329905
YML012C-A	5.889121546898852
YML012W	16.281788544932134
YML013W	5.958526699737794
YML041C	6.094235766391542
YML102W	2.901763390541613
YML115C	4.759436970861576
YMR036C	4.125479124169668
YMR214W	8.270769788724763
YMR274C	4.467830103218613
YNL004W	2.950413656027962
YNL080C	7.069812161986692
YNL087W	5.410963383078975
YNL107W	5.762697862750379
YNL128W	3.044707621803367
YNL197C	3.0298097413462064
YNL219C	3.7847063366185565
YNR030W	3.7829435664844357
YNR031C	2.992229884258468
YOL012C	6.160283018755256
YOL111C	6.355213460835532
YOR085W	5.00763518237612
YOR154W	9.596492455290319
YOR164C	7.984007553899003
YOR216C	3.518694538062485
YOR355W	4.160062183714263
YPL226W	3.6004030669274156
YPL227C	3.5584714361321206
YPL244C	3.5064963453646403
YPL245W	2.939570818074322
YPR130C	3.369411894093621
