ORF	endocytosis (MatA);	endocytosis (MatAlpha);
YCR009C	0.109	0.038
YDR207C	0.048	0.100
YOR035C	0.142	0.075
YLR337C	0.141	0.124
YAL013W	0.132	NaN
YPL045W	0.133	NaN
YNL069C	0.030	0.236
YDR388W	0.134	NaN
YMR198W	0.137	NaN
YDL146W	NaN	0.141
YKR094C	0.064	0.223
YBL007C	0.137	0.153
YCR044C	0.095	0.201
YIL049W	0.156	NaN
YKL002W	0.159	NaN
YIL154C	0.185	NaN
YDR276C	0.069	0.348
YLR370C	0.183	0.236
YLR056W	0.210	0.219
YIL128W	0.321	0.133
YHR026W	0.230	NaN
YER056C-A	0.229	0.239
YLR338W	0.283	0.195
YLR399C	0.099	0.402
YMR311C	0.141	0.363
YGR240C	NaN	0.257
YDR442W	0.257	NaN
YOL004W	0.258	NaN
YHR161C	0.063	0.453
YEL031W	0.153	0.380
YBL047C	0.208	0.329
YJL080C	NaN	0.271
YNL215W	0.148	0.417
YMR091C	0.290	NaN
YIL090W	0.292	NaN
YDR364C	0.294	NaN
YPL031C	0.317	0.288
YLR119W	0.308	NaN
YDL081C	0.298	0.334
YNR006W	0.427	0.211
YIL076W	0.320	NaN
YGR241C	0.352	0.291
YLR025W	NaN	0.327
YPR029C	0.234	0.435
YKL007W	0.258	0.418
YIL093C	0.343	NaN
YGL058W	0.245	0.458
YJL176C	0.705	0.000
YER074W	0.387	0.331
YBR127C	0.365	NaN
YAL047C	0.367	NaN
YNL079C	0.501	0.241
YJR121W	0.371	NaN
YCR088W	0.320	0.424
YKL119C	NaN	0.380
YGR242W	0.432	0.328
YPL178W	0.380	NaN
YHL002W	0.300	0.470
YHL025W	0.386	NaN
YMR116C	0.170	0.607
YMR109W	0.347	0.435
YLR425W	0.396	0.391
YNL105W	0.247	0.544
YBL027W	0.422	0.376
YDL002C	0.264	0.562
YNR010W	0.263	0.567
YIL084C	0.426	NaN
YNL106C	0.291	0.563
YFL025C	0.347	0.512
YNR023W	0.652	0.210
YNR052C	0.864	0.000
YGL168W	0.357	0.509
YJL062W	0.495	0.376
YIR034C	0.570	0.314
YMR263W	0.562	0.322
YGL084C	0.380	0.508
YEL013W	0.381	0.514
YIR003W	0.514	0.386
YKR035C	0.500	0.400
YLR171W	0.264	0.637
YPL002C	NaN	0.454
YCR028C-A	0.455	NaN
YGR101W	0.245	0.675
YLR200W	0.460	NaN
YGL027C	0.323	0.605
YDL243C	NaN	0.471
YLR170C	0.272	0.672
YDL160C	NaN	0.472
YOR209C	0.339	0.613
YER092W	0.355	0.598
YAL068C	0.352	0.611
YGL219C	0.530	0.434
YGR204W	0.325	0.641
YLR169W	0.332	0.633
YGL066W	0.427	0.538
YKR001C	0.416	0.551
YOR275C	0.394	0.593
YPL100W	0.371	0.618
YPR067W	0.495	NaN
YKL204W	0.331	0.660
YNL219C	0.546	0.449
YBL083C	0.498	NaN
YPL042C	0.499	NaN
YJL175W	0.842	0.161
YNL197C	0.972	0.041
YDR226W	NaN	0.507
YOR126C	0.189	0.829
YBL058W	NaN	0.512
YOL129W	0.387	0.643
YGR206W	0.515	0.526
YML019W	0.440	0.603
YDL194W	0.540	0.507
YNR005C	0.656	0.391
YBL006C	0.525	NaN
YKL041W	0.527	NaN
YNL111C	0.478	0.575
YFR031C-A	0.272	0.796
YBR095C	0.436	0.637
YBR156C	0.842	0.234
YGR100W	0.518	0.559
YBL082C	0.522	0.562
YLL030C	0.059	1.032
YLR417W	NaN	0.547
YIL020C	0.199	0.900
YNR030W	0.531	0.569
YKR100C	0.579	0.522
YIL034C	0.464	0.643
YLR139C	0.554	NaN
YIL163C	0.118	0.997
YPL256C	0.621	0.495
YPR030W	0.392	0.726
YHL019C	0.590	0.530
YML014W	0.560	NaN
YJL153C	0.240	0.881
YHR030C	0.643	0.479
YPR164W	0.359	0.763
YPL179W	0.629	0.496
YDR006C	0.529	0.600
YJR073C	NaN	0.565
YML008C	1.036	0.095
YER120W	0.495	0.636
YKL073W	0.668	0.468
YGL076C	0.520	0.624
YPR070W	0.734	0.412
YNL248C	0.574	NaN
YPR024W	0.798	0.349
YKR099W	0.535	0.616
YCL005W	0.131	1.023
YDR074W	0.639	0.517
YLR428C	0.643	0.516
YNL016W	0.500	0.660
YIR023W	0.141	1.021
YNL252C	0.583	NaN
YML048W	0.494	0.675
YGR080W	0.431	0.739
YNL269W	0.134	1.039
YPL158C	0.587	0.587
YNL238W	0.587	NaN
YER130C	0.601	0.574
YKL074C	0.473	0.709
YBR289W	0.592	NaN
YMR272C	0.366	0.820
YCR063W	0.570	0.616
YHL027W	0.451	0.739
YPL057C	0.465	0.726
YLR403W	0.392	0.799
YPL118W	0.596	NaN
YGR256W	0.472	0.723
YLL033W	0.692	0.504
YNL097C	0.610	0.587
YGR061C	0.629	0.575
YCL007C	0.603	NaN
YJL183W	0.882	0.326
YHR081W	0.293	0.917
YDR448W	0.575	0.638
YIL027C	0.705	0.508
YGR157W	0.646	0.570
YOL108C	0.608	NaN
YOR030W	0.767	0.453
YOR008C	0.733	0.488
YPR101W	0.470	0.752
YGR056W	0.560	0.667
YCR002C	0.614	NaN
YDL176W	0.008	1.225
YEL036C	NaN	0.617
YFR001W	0.620	NaN
YJL060W	0.807	0.434
YBR229C	NaN	0.621
YLL038C	0.661	0.582
YLL039C	0.558	0.684
YOR026W	0.700	0.543
YLR087C	0.665	0.581
YOL036W	0.135	1.111
YGR122W	0.421	0.825
YBR097W	NaN	0.625
YOR274W	0.645	0.606
YJR075W	0.661	0.591
YNL284C	0.628	NaN
YPL027W	0.545	0.713
YNL220W	0.521	0.737
YHR082C	0.593	0.668
YJR034W	0.631	NaN
YNL280C	1.090	0.176
YDL075W	0.612	0.655
YCR028C	0.634	NaN
YLR069C	0.638	NaN
YDL073W	0.222	1.054
YLR358C	NaN	0.638
YDR129C	1.107	0.170
YPR052C	0.731	0.549
YIR026C	0.908	0.377
YMR023C	0.264	1.023
YGL127C	0.406	0.881
YLR382C	0.644	NaN
YGL167C	0.560	0.731
YCR030C	0.507	0.784
YML017W	0.689	0.605
YMR063W	0.342	0.955
YBR255W	0.669	0.631
YOR141C	1.026	0.277
YLR150W	0.630	0.675
YGL200C	NaN	0.653
YGL014W	0.647	0.658
YGL072C	0.338	0.967
YEL063C	0.329	0.977
YAL055W	0.723	0.584
YDR532C	1.222	0.087
YNL153C	0.657	NaN
YJL124C	0.678	0.638
YDR346C	0.614	0.702
YJL020C	0.746	0.571
YEL060C	0.638	0.679
YJL128C	0.588	0.735
YEL067C	0.530	0.796
YBR150C	0.544	0.785
YKL081W	0.431	0.899
YPL034W	0.656	0.675
YDL005C	NaN	0.667
YPR006C	0.748	0.585
YGL016W	0.501	0.833
YIR009W	0.430	0.905
YJR116W	0.799	0.536
YLR412W	0.700	0.636
YPL129W	0.670	NaN
YPL066W	0.930	0.413
YNR031C	0.659	0.687
YJL067W	0.467	0.878
YBR144C	0.763	0.583
YJL068C	0.378	0.969
YFL013W-A	0.566	0.782
YMR031W-A	0.555	0.794
YLR149C	0.562	0.788
YIL116W	0.253	1.098
YLR113W	0.749	0.604
YLR422W	0.653	0.700
YMR024W	0.344	1.011
YNL199C	0.663	0.693
YHR092C	0.853	0.507
YFL034W	0.698	0.663
YKL065C	0.722	0.639
YMR038C	0.682	NaN
YGR160W	0.400	0.966
YOR067C	0.649	0.718
YJL056C	0.514	0.855
YKL063C	0.678	0.691
YGR126W	0.918	0.451
YDR225W	0.811	0.561
YBR106W	0.750	0.625
YGR259C	0.579	0.797
YPL212C	0.553	0.825
YDR233C	0.538	0.840
YGL045W	0.554	0.826
YIL130W	0.657	0.724
YOL009C	0.532	0.849
YKR035W-A	0.656	0.726
YLR120C	0.584	0.798
YJR055W	0.422	0.961
YCR048W	0.632	0.752
YGL149W	0.520	0.865
YJL120W	0.659	0.726
YDL161W	0.658	0.728
YFL013C	0.792	0.594
YPR173C	0.722	0.668
YML012W	0.731	0.661
YIR005W	0.708	0.685
YHR079C	0.791	0.602
YCL046W	0.662	0.734
YLR136C	0.834	0.562
YPL036W	0.570	0.828
YDR072C	0.779	0.619
YCL008C	1.028	0.371
YDR335W	NaN	0.700
YNL264C	0.508	0.893
YOR189W	0.521	0.881
YPL227C	0.726	0.677
YDR455C	0.435	0.969
YMR032W	0.703	NaN
YNL266W	0.703	NaN
YMR316C-A	0.468	0.939
YPL049C	0.460	0.948
YLR262C	0.535	0.874
YMR139W	0.667	0.743
YCR060W	0.474	0.936
YOR255W	0.214	1.204
YDR414C	0.754	0.667
YPL145C	0.731	0.691
YOR211C	0.438	0.985
YOL007C	0.509	0.915
YAL010C	0.712	NaN
YOR127W	0.518	0.908
YGR078C	0.607	0.819
YPL079W	0.144	1.282
YBL016W	0.634	0.794
YER155C	0.948	0.480
YNL084C	1.201	0.229
YDL023C	0.701	0.729
YMR126C	0.715	0.715
YGR036C	0.951	0.479
YPL101W	0.709	0.721
YOR036W	0.716	NaN
YGL012W	NaN	0.717
YDR368W	0.465	0.970
YOR016C	0.695	0.741
YNL004W	0.625	0.812
YPL239W	0.645	0.792
YER154W	0.753	0.686
YJR088C	0.639	0.801
YDR221W	0.787	0.653
YMR307W	0.736	0.705
YNR050C	0.722	NaN
YDR424C	0.305	1.139
YDL231C	0.863	0.582
YAL053W	0.559	0.888
YDL096C	0.685	0.761
YBR266C	0.480	0.966
YKL001C	0.618	0.829
YJR106W	0.585	0.863
YFR024C-A	0.729	0.720
YGL198W	0.659	0.793
YBR248C	0.414	1.039
YNL294C	0.620	0.834
YGR143W	0.638	0.818
YKL072W	0.727	0.729
YEL045C	NaN	0.729
YKL071W	0.723	0.735
YOL072W	1.009	0.449
YLR006C	0.796	0.664
YJR082C	0.715	0.747
YBR019C	0.643	0.820
YLR371W	0.732	NaN
YJR118C	0.239	1.226
YPL193W	0.256	1.209
YDR234W	0.733	NaN
YER117W	1.039	0.427
YER087W	0.734	NaN
YJR010C-A	0.527	0.942
YPR131C	0.892	0.578
YFL016C	0.736	NaN
YGR058W	0.690	0.781
YKL139W	0.736	NaN
YNL198C	0.735	0.738
YLR262C-A	0.585	0.890
