orf	hap a | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009	hap alpha | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009
YAL004W	0.859942289	1.006971932
YAL005C	0.764880244	0.919395035
YAL007C	0.923195423	0.978048513
YAL010C	0.711927882	
YAL013W	0.132370862	
YAL014C	1.056763086	0.942590947
YAL016W	0.832483759	
YAL017W	0.885211129	1.022330808
YAL018C	1.101006287	0.85426772
YAL020C	0.754698511	0.997373458
YAL021C	0.943902105	
YAL023C	0.983070072	0.970439986
YAL024C	0.975895627	1.016122862
YAL028W	1.043776749	0.904685625
YAL034C	0.949609198	1.0268416
YAL035W	0.597288333	0.922595011
YAL036C	0.868148548	0.995792271
YAL046C	0.904397217	1.06481904
YAL047C	0.367022283	
YAL051W	0.919400828	0.960910426
YAL053W	0.558629216	0.887667156
YAL055W	0.722511786	0.583636966
YAL056W	1.018280429	0.869490499
YAL058W	0.901936995	0.838394289
YAL059W	0.945609218	0.893404197
YAL060W	0.94815112	0.81837507
YAL061W	0.845631809	0.845202473
YAL062W	0.848358792	0.817018846
YAL065C	0.843118155	0.914070896
YAL066W	0.803725078	1.086078958
YAL067C	0.780952377	0.960628973
YAL068C	0.352084932	0.610916479
YAR003W	0.757239816	1.125410691
YAR015W	1.037488212	0.960455469
YAR029W	0.803607655	1.061921466
YAR031W	0.847843135	0.9639534
YBL003C	0.883327537	0.995484822
YBL006C	0.525292507	
YBL007C	0.137356155	0.152868318
YBL009W	0.994665592	0.830687752
YBL010C	0.904386852	0.899799303
YBL016W	0.633587655	0.79402004
YBL019W	0.938713551	0.971846637
YBL025W	0.862650177	0.66722286
YBL027W	0.421669683	0.376164883
YBL033C	0.485840334	1.164133116
YBL043W	0.804809559	0.980290679
YBL044W	0.939237476	0.651193181
YBL046W	0.96987024	0.955468096
YBL047C	0.207633204	0.329334448
YBL051C	0.948502406	1.001321209
YBL054W	1.029491077	0.927177828
YBL056W	0.998489937	0.697454659
YBL058W		0.512428209
YBL060W	1.123027414	0.833436804
YBL061C	1.045094139	0.873730022
YBL062W	1.00967628	0.807786546
YBL063W	0.963458863	0.823602904
YBL064C	1.030111845	0.890654848
YBL065W	1.039949052	0.85772303
YBL066C	0.996145104	
YBL068W	0.913663696	0.949518856
YBL075C	1.015839412	0.962677422
YBL078C	0.897003119	0.90235645
YBL082C	0.522416979	0.562002304
YBL083C	0.498386875	
YBL091C	0.881520721	0.889528998
YBL094C	0.955864043	0.916398521
YBL095W	0.871549977	0.906250221
YBL096C	1.041388625	0.879678855
YBL100C		0.897642618
YBL101C	1.008323831	0.661480112
YBL104C	0.960959074	0.85352152
YBL107C	0.784847749	0.922074744
YBR001C	0.927860178	0.763287949
YBR005W	1.049195067	0.739028491
YBR014C	0.680166172	0.961315675
YBR015C	0.74547209	1.108803833
YBR016W	1.006712291	0.991759683
YBR018C	0.873878125	1.057863592
YBR019C	0.642507478	0.820099201
YBR021W	0.881951286	1.119817085
YBR022W	0.660633872	1.027657376
YBR023C	0.664206742	0.941493664
YBR024W	0.807481371	1.138205108
YBR025C	0.929960151	0.845683141
YBR030W	0.913324019	1.053931137
YBR035C	0.924718748	
YBR036C	0.908725953	0.594088501
YBR039W	0.975556311	
YBR041W	1.011477747	0.987955028
YBR043C	0.869121586	1.002676744
YBR046C	1.006945715	0.821483243
YBR047W	0.985515578	0.933643891
YBR052C	0.99477333	0.950605991
YBR054W	0.933526296	0.904782677
YBR056W	0.985918396	1.019193062
YBR059C	0.719060849	0.807921522
YBR065C	0.864974164	0.873479572
YBR068C	0.959510458	1.011580423
YBR071W	1.034508531	0.890101894
YBR073W	0.997739472	0.959264155
YBR074W	0.970632977	0.870499548
YBR076W	0.937002194	1.022179268
YBR077C	1.095003489	0.855316744
YBR078W	0.952538075	0.874529951
YBR082C	0.901029526	0.730327542
YBR084W	0.757490773	1.003215446
YBR085W	0.868856838	0.983479048
YBR093C	1.190887238	0.813668103
YBR095C	0.43616453	0.637079788
YBR097W		0.624923892
YBR099C	1.013840326	0.976252017
YBR101C		0.997229933
YBR105C	0.935654623	0.888128442
YBR106W	0.749781469	0.624928714
YBR107C	1.061771562	0.77879965
YBR108W	0.854555167	1.056837064
YBR114W	1.023917055	0.479381456
YBR115C	0.819808664	1.063008305
YBR125C	1.001491467	0.637713818
YBR127C	0.364753303	
YBR128C	0.878751457	0.791297831
YBR130C	1.110771173	0.751290315
YBR131W	0.905045616	0.911136972
YBR133C		0.993454991
YBR134W	1.063811189	0.908347474
YBR137W	0.999963578	0.888091888
YBR138C	0.950757576	0.835050944
YBR139W	0.821654041	0.749039763
YBR141C	0.8372669	0.7322882
YBR144C	0.763233295	0.582530623
YBR145W	1.026150933	0.863061131
YBR147W	0.928418804	0.886953797
YBR150C	0.544314948	0.785224259
YBR156C	0.842463092	0.23402707
YBR157C	0.918026418	0.997603394
YBR162C	1.015540016	0.829881677
YBR165W	0.958236208	1.025199273
YBR168W	0.789420169	0.980185623
YBR169C	0.801999302	1.02936188
YBR173C	0.984401117	0.985946348
YBR176W	0.634587623	1.108360909
YBR177C	1.06834951	0.912601454
YBR178W	1.146287648	0.857983603
YBR187W	0.944546146	1.060307295
YBR188C	0.984623949	0.974273389
YBR195C	1.02493911	0.973501102
YBR197C	0.922115807	0.882237023
YBR199W	1.049879477	0.942470965
YBR200W	0.927240983	0.927148841
YBR201W	0.799846245	0.808947585
YBR203W	0.909841145	1.029835516
YBR204C	0.99402279	0.798160369
YBR205W	0.997868584	1.006323641
YBR209W	0.814808124	1.068898251
YBR210W	1.022477781	0.983367878
YBR218C	1.005267982	0.987251574
YBR219C	0.85384828	0.845391458
YBR220C	0.794874134	0.711848324
YBR222C	0.868555628	0.948790391
YBR224W	0.982897283	0.712199737
YBR225W	0.924017374	0.920458312
YBR226C	0.910936962	0.824710453
YBR227C	0.963497308	0.853367723
YBR228W	1.002326916	0.66872691
YBR229C		0.621124539
YBR230C	1.063885042	0.677508186
YBR233W	1.006404901	0.675810094
YBR235W	0.852687949	0.63457251
YBR238C	0.770168416	0.920802715
YBR239C	0.998942266	0.985379802
YBR241C	0.97609501	0.944934987
YBR242W	0.916320962	1.047725623
YBR244W	0.972345394	0.966026772
YBR245C	0.942976314	0.845870275
YBR248C	0.413740567	1.039295507
YBR250W	0.982025896	0.971361462
YBR255W	0.669444624	0.630928613
YBR260C	1.002298572	0.898417174
YBR261C	0.964277179	0.961653611
YBR262C	0.883462921	0.848054328
YBR263W	0.980994502	0.862556234
YBR264C	1.003249103	0.861427207
YBR266C	0.480209894	0.966426898
YBR269C	1.019745351	0.96417776
YBR270C	0.936337359	1.02592058
YBR275C	0.914089539	0.882397949
YBR276C	0.940050405	0.87721505
YBR278W	0.930380534	0.978295064
YBR280C	0.980138539	0.966308402
YBR286W	0.902012802	0.749777706
YBR287W	0.87930356	0.910344048
YBR288C	0.906324038	1.085068095
YBR289W	0.591957633	
YBR291C	0.886185089	0.963729023
YBR294W	0.409236597	1.102849505
YBR295W	0.891399978	0.996161992
YBR296C	0.862664747	1.025298966
YBR297W	1.023467855	0.984236508
YBR298C	1.050378089	0.908702263
YBR299W	0.811769785	1.067220719
YBR300C	0.859156984	1.092580885
YBR301W	0.519230769	1.011523297
YCL005W	0.130558734	1.0228939
YCL007C	0.603109653	
YCL008C	1.02756255	0.370932404
YCL010C	0.815020626	0.986799807
YCL014W	1.095456493	0.807368006
YCL016C	0.89791923	1.062009411
YCL025C	0.650942973	1.009624683
YCL026C-A	0.643648019	1.036788635
YCL034W	0.944192114	1.004243582
YCL035C	0.980793512	0.764852287
YCL036W	0.767910597	0.913865421
YCL040W	0.970034212	0.882669935
YCL042W	0.970422438	0.861675764
YCL045C	0.808203486	0.725707241
YCL046W	0.661568743	0.734382724
YCL047C	0.812279102	0.986737133
YCL048W	0.952408993	0.963638511
YCL050C	0.971046609	0.98999035
YCL051W	0.721959744	0.937241133
YCL055W	1.034673171	0.90970566
YCL058C	0.640513603	0.887349334
YCL064C	0.844785421	1.050440234
YCL069W	0.898046369	1.086086604
YCR002C	0.614422766	
YCR007C	0.964475994	0.903487975
YCR009C	0.109149721	0.037817664
YCR011C	0.734316333	0.796079404
YCR017C	0.755924167	0.741406421
YCR020C	0.906274227	1.031158763
YCR024C-A	0.778112814	0.946804601
YCR025C	0.907834562	1.050594145
YCR027C	0.936444893	1.072656004
YCR028C	0.634139428	
YCR028C-A	0.454545455	
YCR030C	0.506555944	0.784297784
YCR036W	0.892979917	1.016608177
YCR043C	0.931824254	0.909894638
YCR044C	0.095169691	0.200748848
YCR045C	0.973376228	0.742036825
YCR048W	0.631555944	0.751828189
YCR053W	0.607978827	0.982603443
YCR060W	0.473630536	0.936369577
YCR063W	0.569726786	0.616462302
YCR068W	0.865185596	0.817285516
YCR076C	0.864657847	0.736814158
YCR077C	1.011604478	0.780252363
YCR079W	0.966091369	0.963825789
YCR083W	0.95503108	0.969355044
YCR085W	1.01176649	0.965010111
YCR088W	0.319808664	0.42417233
YCR089W	0.795551671	0.942052724
YCR090C	0.908129808	1.064301432
YCR098C	0.865095416	1.121625277
YCR105W	1.063997356	0.740788487
YCR106W	0.910698919	0.857993029
YCR107W	1.032170599	0.959118982
YDL002C	0.26371892	0.561615083
YDL005C		0.666616101
YDL012C	0.869245338	0.891240356
YDL018C	0.913995727	0.785595301
YDL019C	1.00762432	0.986171536
YDL020C	0.973460567	0.867135414
YDL021W	0.794896076	1.149544507
YDL022W	0.907828283	0.955255627
YDL023C	0.700903264	0.728662545
YDL027C	1.128277972	0.869639078
YDL039C	0.932668027	0.880173671
YDL040C	0.977522211	1.01389587
YDL047W	0.70351418	0.789473684
YDL049C	1.013925311	0.975337871
YDL052C	0.967997281	1.003769031
YDL054C	0.935848873	0.936654923
YDL057W	1.009627525	0.949293778
YDL065C	1.083199786	0.906241935
YDL066W	1.061188811	0.895210363
YDL072C	0.886528895	0.805721846
YDL073W	0.222076535	1.054244676
YDL074C	1.003502757	0.991876853
YDL075W	0.611763266	0.655445565
YDL076C	0.430045649	1.110491931
YDL079C	1.018890831	0.96784179
YDL081C	0.298076923	0.334162029
YDL083C	0.928054584	1.017197334
YDL085W	0.975257382	0.91726042
YDL086W	0.837922495	0.987699906
YDL088C	0.940328768	1.01513576
YDL089W	0.927144037	1.068486673
YDL091C	0.872474747	0.895862928
YDL094C	0.880536131	1.11258468
YDL095W	0.722392191	1.126533906
YDL096C	0.684897382	0.761463535
YDL106C	0.939934969	0.903007793
YDL114W	0.952039062	
YDL115C	1.083333333	0.921679255
YDL117W	0.889369034	1.002231782
YDL123W	0.985248447	0.993997921
YDL124W	0.997710635	0.992041342
YDL125C	0.988719491	1.00464482
YDL127W	0.916937271	0.863059959
YDL128W	0.876591819	0.780869605
YDL130W	0.945862358	0.880765585
YDL130W-A	0.938771153	0.974104692
YDL131W	1.04880273	0.880436419
YDL133C-A	0.912195035	1.064885887
YDL135C	0.914158336	0.983867623
YDL136W	0.587839621	1.073692517
YDL144C	0.949477505	0.943098057
YDL146W		0.140765323
YDL149W	0.932813455	0.821360484
YDL160C		0.472114652
YDL161W	0.658401237	0.727640588
YDL162C	0.868771156	0.771035181
YDL167C	0.920279571	0.848509308
YDL168W	1.002238749	0.851814718
YDL171C	0.846082477	1.025480435
YDL176W	0.008052539	1.224857659
YDL184C	0.532262332	0.974380663
YDL186W	0.696594896	1.130549864
YDL188C	0.989774396	0.966815213
YDL189W	0.648857577	1.041720044
YDL190C	0.706026964	1.159856407
YDL194W	0.540330849	0.506689928
YDL197C	1.01130079	0.635651359
YDL203C	0.922192283	1.059094672
YDL204W	0.814310205	0.957988328
YDL206W		0.914921267
YDL210W	1.016193503	0.906240124
YDL214C	0.983795849	0.839056777
YDL231C	0.86326655	0.581985652
YDL232W	0.96422406	
YDL238C	0.853500371	0.858670738
YDL239C	0.902288303	0.802443879
YDL240W	1.04190528	0.949612821
YDL241W	1.033483965	0.851354528
YDL242W	1.045523148	0.769403514
YDL243C		0.470609215
YDR003W	1.021640057	0.807542787
YDR005C	0.831175772	0.756842229
YDR006C	0.528548041	0.600031827
YDR007W	0.97537553	0.85177595
YDR009W	0.936852249	0.802379444
YDR010C	0.860470096	0.694246725
YDR011W	0.970090958	0.568902478
YDR014W	1.249297156	0.664244285
YDR015C	1.012726718	0.693386662
YDR017C	1.044404893	0.652422427
YDR024W	0.468807513	1.251306173
YDR026C	0.902908614	0.993568923
YDR028C	0.8175642	0.686491936
YDR031W	1.067800486	0.816106415
YDR033W	0.988378871	0.970834224
YDR034C	0.927816206	
YDR035W	1.004177856	0.9223015
YDR042C	0.831113122	0.8355829
YDR043C	0.864741591	0.842574882
YDR046C	1.015033757	0.994270041
YDR048C	0.58519888	1.130630105
YDR050C	0.748666704	
YDR055W	1.097552383	0.903513037
YDR056C	0.99153799	0.987500715
YDR057W	0.781999449	0.866459233
YDR058C	0.964388535	0.846751042
YDR061W	0.912455404	1.049484495
