orf	hap a | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009	hap alpha | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009
YAL004W	1.4098421306043818	1.631858810977308
YAL005C	1.2539915836819129	1.48993516199967
YAL007C	1.5135431979279408	1.5849866642581893
YAL010C	1.1671782337425491	
YAL013W	0.21701690973825175	
YAL014C	1.7325222166278431	1.5275255378313712
YAL016W	1.3648249324346284	
YAL017W	1.451269416689973	1.6567487968158687
YAL018C	1.8050572338731665	1.3843924160296217
YAL020C	1.2372990261352228	1.616303904359676
YAL021C	1.5474910023818595	
YAL023C	1.611705369733111	1.5726565868956073
YAL024C	1.5999431445767391	1.6466884455228088
YAL028W	1.711231619271459	1.4660976750251298
YAL034C	1.556847560673735	1.6640588075875353
YAL035W	0.9792311260341556	1.4951209163038086
YAL036C	1.4232959749156147	1.6137414953632028
YAL046C	1.4827242660791546	1.7256035419668467
YAL047C	0.601718840976786	
YAL051W	1.5073221061546755	1.557213359575606
YAL053W	0.9158509985817146	1.438518218533393
YAL055W	1.1845301350926085	0.9458189400448589
YAL056W	1.6694313885220544	1.4090618484629285
YAL058W	1.4786908272419121	1.358668562747691
YAL059W	1.5502897481347881	1.4478154398434182
YAL060W	1.5544570981736319	1.326226209712935
YAL061W	1.3863806520014015	1.3697016359586678
YAL062W	1.390851435183041	1.3240283668399333
YAL065C	1.3822596134662652	1.4813070733092915
YAL066W	1.3176761869745575	1.7600565226373697
YAL067C	1.2803412242588714	1.5567572479965934
YAL068C	0.5772296316091263	0.990027037841392
YAR003W	1.2414653974156513	1.8237959705876
YAR015W	1.7009218060248348	1.5564760742894201
YAR029W	1.3174836765065647	1.7209078483610007
YAR031W	1.3900060354709436	1.5621446826598673
YBL003C	1.4481813404406267	1.6132432556967014
YBL006C	0.8611967532386315	
YBL007C	0.22519010484065832	0.24773233862846242
YBL009W	1.6307157763980469	1.346179654262829
YBL010C	1.482707273062448	1.4581790952161222
YBL016W	1.0387424608325477	1.2867574131813584
YBL019W	1.5389845687296404	1.574936149766601
YBL025W	1.414281608271886	1.0812749277071994
YBL027W	0.6913111401734939	0.6095979035727465
YBL033C	0.7965164411400454	1.8865479981373192
YBL043W	1.319454151639393	1.5886202296302714
YBL044W	1.5398435235080312	1.0552978651079135
YBL046W	1.590064755579642	1.548393735234035
YBL047C	0.34040660920627686	0.5337063563030356
YBL051C	1.5550330179871201	1.622701473197667
YBL054W	1.687810812425204	1.5025476479364304
YBL056W	1.6369856421459403	1.1302673832087744
YBL058W		0.8304208501513343
YBL060W	1.8411600200776834	1.3506346590007712
YBL061C	1.7133914292356793	1.4159322514424337
YBL062W	1.6553252189414147	1.3090668672967805
YBL063W	1.5795535509029899	1.3346982303364718
YBL064C	1.6888285375573737	1.4433599537990451
YBL065W	1.7049562580491806	1.3899919544963584
YBL066C	1.633141379112341	
YBL068W	1.4979163000838467	1.5387526326331544
YBL075C	1.665429435539694	1.5600768832746574
YBL078C	1.470601928322815	1.4623231063154447
YBL082C	0.8564824362734235	0.9107586640974493
YBL083C	0.8170860099604424	
YBL091C	1.4452191354745094	1.4415354459017
YBL094C	1.56710213718916	1.485079130150396
YBL095W	1.4288724862348057	1.4686331973044335
YBL096C	1.707316382317334	1.4255726944752416
YBL100C		1.4546840569653912
YBL101C	1.6531079311023538	1.071968457859118
YBL104C	1.5754552434992224	1.3831831538783594
YBL107C	1.286727536026796	1.4942777922195807
YBR001C	1.5211908833738967	1.236954204289031
YBR005W	1.7201147421171736	1.1976402879535417
YBR014C	1.1151061383579732	1.5578700900467088
YBR015C	1.2221726656725698	1.7968835545720672
YBR016W	1.6504658735873126	1.6072064430447421
YBR018C	1.4326893948560797	1.7143318185529168
YBR019C	1.0533661657297189	1.3290202680915444
YBR021W	1.4459250301429405	1.8147311943548543
YBR022W	1.0830836877821022	1.6653808218473964
YBR023C	1.08894126999152	1.5257473244822373
YBR024W	1.3238344840998826	1.8445300957893815
YBR025C	1.524633707905732	1.370480587472636
YBR030W	1.4973594127769623	1.7079590378064107
YBR035C	1.5160406303615757	
YBR036C	1.489821061367779	0.9627562835159057
YBR039W	1.5993868491153953	
YBR041W	1.6582786544288668	1.6010407699140647
YBR043C	1.4248912330912236	1.6248981995045704
YBR046C	1.6508485632092837	1.3312631917130369
YBR047W	1.6157146822573911	1.5130262934116097
YBR052C	1.6308924086830385	1.5405144005356106
YBR054W	1.5304802647376918	1.466254953650571
YBR056W	1.6163750867922422	1.6516638899838194
YBR059C	1.1788724573217908	1.3092856040538547
YBR065C	1.4180916950945575	1.415526382096704
YBR068C	1.573080293582243	1.6393271488769783
YBR071W	1.6960367342435103	1.442463858457864
YBR073W	1.6357552837973883	1.5545454780277352
YBR074W	1.5913152333976608	1.410697073288001
YBR076W	1.5361788651028188	1.6565032170967553
YBR077C	1.7952158786680994	1.386092422755655
YBR078W	1.5616493412615462	1.417228584682044
YBR082C	1.477203066906384	1.183539874785805
YBR084W	1.241876831713157	1.6257711986192978
YBR085W	1.4244571889824877	1.5937871740901464
YBR093C	1.9524135775249534	1.3185982855098508
YBR095C	0.7150748813438791	1.0324262596659501
YBR097W		1.0127268962948928
YBR099C	1.6621520113432644	1.5820753340280975
YBR101C		1.6160713134319622
YBR105C	1.5339695745561357	1.4392657603461871
YBR106W	1.2292377259081895	1.0127347106370175
YBR107C	1.7407334193623105	1.2620918522667857
YBR108W	1.4010101523943814	1.7126682679530627
YBR114W	1.6786724188922448	0.7768665917420335
YBR115C	1.3440446043021517	1.7226691365775864
YBR125C	1.6419065345179085	1.0334537435600335
YBR127C	0.5979989360036061	
YBR128C	1.4406790342282896	1.282345909145542
YBR130C	1.8210663868819787	1.2175113140439224
YBR131W	1.4837872911673902	1.4765524723338415
YBR133C		1.6099537920116849
YBR134W	1.744077308960602	1.4720319224110026
YBR137W	1.639401619582754	1.4392065223822672
YBR138C	1.5587302819993043	1.353250470323257
YBR139W	1.3470700285366939	1.2138641586525418
YBR141C	1.3726667071498397	1.1867172394480536
YBR144C	1.2512914744805654	0.9440260444187342
YBR145W	1.6823347754937472	1.3986426694506822
YBR147W	1.5221067290999708	1.4373621772053808
YBR150C	0.8923833096992084	1.272503319032211
YBR156C	1.3811856630077128	0.37925499614293445
YBR157C	1.5050688141053017	1.6166765295298886
YBR162C	1.6649385873747256	1.3448733610591588
YBR165W	1.5709912099798866	1.6613973175297805
YBR168W	1.294223841810658	1.5884499800395946
YBR169C	1.314846843954789	1.6681430734875404
YBR173C	1.6138875665418209	1.597785582701524
YBR176W	1.0403818697018286	1.7961657694888644
YBR177C	1.7515177107525028	1.4789257538318383
YBR178W	1.879294274294964	1.3904142287747567
YBR187W	1.54854688269761	1.7182919868011437
YBR188C	1.6142528909893628	1.5788688478959239
YBR195C	1.6803480385439664	1.5776173101861781
YBR197C	1.5117732092424851	1.4297183601667063
YBR199W	1.7212368058474374	1.5273310997565483
YBR200W	1.5201757371144022	1.502500672752862
YBR201W	1.3113169902576036	1.310948401093135
YBR203W	1.491649375529583	1.6689106292209568
YBR204C	1.6296619273748867	1.2934670662951007
YBR205W	1.6359669579288911	1.630808216271728
YBR209W	1.3358464123328155	1.732214149671636
YBR210W	1.6763127848230295	1.5936070163933413
YBR218C	1.6480979848302901	1.5999007802365597
YBR219C	1.3998512384917572	1.3700078975609948
YBR220C	1.3031654065344758	1.1535931863479483
YBR222C	1.423963366834663	1.5375721111201293
YBR224W	1.6114220888490087	1.1541626723307434
YBR225W	1.514890754809275	1.4916582665727172
YBR226C	1.4934459251280787	1.3364930803584079
YBR227C	1.5796165799939001	1.3829339165544814
YBR228W	1.6432762208483027	1.0837123315380843
YBR229C		1.0065698153753193
YBR230C	1.7441983880983576	1.0979429194590031
YBR233W	1.6499619195684558	1.0951910588519789
YBR235W	1.397948920684886	1.028363064291931
YBR238C	1.2626613371931075	1.4922163924272889
YBR239C	1.6377272180508022	1.596867460703736
YBR241C	1.6002700252955058	1.5313241961710191
YBR242W	1.5022727849398003	1.697902627716181
YBR244W	1.5941226748534947	1.5655047071641388
YBR245C	1.5459732038358058	1.3707838494177103
YBR248C	0.6783116610942074	1.6842411157762824
YBR250W	1.6099934835572633	1.574149894387026
YBR255W	1.0975285749923263	1.0224579092058965
YBR260C	1.6432297519563073	1.4559392717266257
YBR261C	1.580895148342382	1.55841773573734
YBR262C	1.448403297273604	1.3743232391647637
YBR263W	1.6083025529761619	1.3978244533794064
YBR264C	1.6447881107757159	1.3959947969617523
