orf	hap a | mitophagy (Su9-GFP) | standard | SGlyCA | Okamoto K~Ohsumi Y, 2009
YAL016W	-10.224146089786968
YBL078C	-10.224146089786968
YBR026C	-10.224146089786968
YBR097W	-10.224146089786968
YBR128C	-10.224146089786968
YBR131W	-10.224146089786968
YBR217W	-10.224146089786968
YCL010C	-6.816097393191312
YCL038C	0.0
YCR068W	0.0
YDL077C	-10.224146089786968
YDL113C	-6.816097393191312
YDL149W	-10.224146089786968
YDR022C	0.0
YDR080W	-10.224146089786968
YDR108W	-10.224146089786968
YDR148C	-10.224146089786968
YDR276C	-6.816097393191312
YFL018C	-6.816097393191312
YFR021W	-10.224146089786968
YGL124C	-10.224146089786968
YGL180W	-10.224146089786968
YGL212W	-10.224146089786968
YGL223C	-6.816097393191312
YGR167W	-10.224146089786968
YGR262C	-6.816097393191312
YHL038C	-10.224146089786968
YHR013C	-6.816097393191312
YHR171W	-10.224146089786968
YIL017C	-6.816097393191312
YJL036W	-6.816097393191312
YJL046W	-10.224146089786968
YJL178C	-3.408048696595656
YJR073C	-6.816097393191312
YKL002W	-6.816097393191312
YKL041W	-6.816097393191312
YLL042C	-10.224146089786968
YLR025W	-6.816097393191312
YLR148W	-10.224146089786968
YLR189C	0.0
YLR240W	-10.224146089786968
YLR396C	-10.224146089786968
YLR423C	-3.408048696595656
YLR431C	-3.408048696595656
YML001W	-10.224146089786968
YMR008C	-6.816097393191312
YMR159C	-10.224146089786968
YNL223W	-10.224146089786968
YNL242W	-10.224146089786968
YNR007C	-10.224146089786968
YOL082W	0.0
YOR106W	-10.224146089786968
YOR306C	-10.224146089786968
YPL037C	-6.816097393191312
YPL045W	-10.224146089786968
YPL100W	0.0
YPL120W	-10.224146089786968
YPL149W	-10.224146089786968
YPL166W	0.0
YPR049C	-10.224146089786968
YPR173C	-6.816097393191312
YPR185W	-3.408048696595656
YPR194C	-10.224146089786968
