orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YAL005C			-0.0722940378939187
YAL019W			-2.0
YAL023C			-0.13989811959010331
YAL036C	-0.1004137697656015		-2.0
YAL044C	-2.0	-2.0	-2.0
YAR002W		-0.2387724080423	-0.31485765706110885
YAR018C		-2.0	-2.0
YBL001C	-2.0	-2.0	-2.0
YBL003C	-0.08502946963830353	-0.08079127787615353	-0.05660583779293985
YBL005W	-2.0	-2.0	-2.0
YBL006C			-0.10396325625866974
YBL007C		0.054607176536659696	0.0740345256916332
YBL011W		-2.0	
YBL018C	-0.14984035562771209	-0.16529612006746194	
YBL022C	-2.0	-2.0	-2.0
YBL044W	-2.0	-2.0	-2.0
YBL047C	-0.04727798051209359	-0.051988452824840554	
YBL052C	-0.10539820417185705	-2.0	-2.0
YBL067C	-0.1873144794152417	-2.0	-2.0
YBL069W	-0.0835495185841695	-0.07554715845915955	-0.07635985351116335
YBL086C		-2.0	-2.0
YBL093C			-0.07980803003467143
YBL099W	-0.30509116149335064	-0.3723192175341797	-2.0
YBR009C	-2.0	-2.0	-2.0
YBR010W	-2.0	-2.0	-2.0
YBR014C	-2.0	-2.0	-2.0
YBR020W			-0.08751083522090317
YBR040W			0.131010604892629
YBR057C	-2.0	-2.0	-2.0
YBR061C	-0.14324929758949195	-0.112036036591215	-2.0
YBR072W	-0.26800672923798596	-2.0	-2.0
YBR085W		-0.07695542587941363	-0.07405879012446151
YBR095C			-0.09509348922486018
YBR101C	-2.0	-2.0	-2.0
YBR115C		-0.11729656827859	-0.11662021094813094
YBR118W			-0.08160457915766202
YBR119W			0.0295127060476869
YBR123C	-0.35110269936806227	-0.3744554943010753	-0.37645627778350294
YBR126C	-2.0	-2.0	-2.0
YBR148W			-0.06613263299564211
YBR149W	-2.0	-2.0	-2.0
YBR152W	-2.0	-2.0	-2.0
YBR156C			0.0535076141234478
YBR159W			-0.0482704129914335
YBR166C			-0.1789575144326701
YBR181C	-2.0	-2.0	-2.0
YBR185C	-0.4052820389231966	-0.4230546962491858	-0.4959132863567328
YBR192W			-0.2505787167650676
YBR193C	-2.0	-2.0	-2.0
YBR198C		-0.06505079233021571	-0.10932927750431364
YBR207W			-0.07679036773457706
YBR221C	-2.0	-2.0	-2.0
YBR225W			-0.1499472038096477
YBR231C			-0.1534323246983798
YBR245C			0.0552015715783864
YBR248C			0.0872600699885283
YBR278W			-0.25620396775648746
YBR281C			-0.12886711078878965
YBR282W			-0.03451888212646721
YBR283C			-0.07395482293132803
YBR284W		-0.08988920186797072	
YBR293W			-0.05695937709775207
YBR295W		-0.18473414969027538	-0.2430123166897007
YBR297W			-0.07989189244829406
YBR298C			-0.06755089228005086
YCL001W-A			-0.12481401341335933
YCL004W			0.0447395477774491
YCL034W	-2.0	-2.0	-2.0
YCL050C	-2.0	-2.0	-2.0
YCL069W			0.0383814103237899
YCR015C	-2.0	-2.0	-2.0
YCR024C		-0.10930394404430804	-0.19477560242679956
YCR024C-A			-2.0
YCR026C			-0.18207093234010707
YCR028C		-0.11431918152348301	-0.1797103469701505
YCR031C		-0.08227087791011041	-0.1675339267225581
YCR034W			-0.6037624571665255
YCR035C			-0.055450288841017444
YCR036W		-0.035713551535965046	-0.03485207942082235
YCR037C			-0.061746879607955045
YCR045C			-0.05554224609927012
YCR050C			-0.13529291432879675
YCR051W		-0.08293380915739192	-0.1675256874539938
YCR059C		-0.11936588507037862	-0.2905326913833318
YCR063W			-0.1094640070528714
YCR065W			-0.35459494132854824
YCR066W			-0.12383628037431425
YCR068W			-0.19960229256298936
YCR071C			-0.17248346991717808
YCR073W-A			-2.0
YCR076C		-0.08762117416899104	-0.16712166235251433
YCR077C			-0.09003632064349579
YCR079W			-0.05022721472186278
YCR082W			-0.16930863074359923
YCR084C			-0.21521731692344398
YCR086W		-0.07400730303377155	-2.0
YCR088W			0.0843299385791624
YDL003W	-2.0	-2.0	-2.0
YDL027C	-2.0	-2.0	-2.0
YDL028C			0.042672275695196
YDL039C	-2.0	-2.0	-2.0
YDL052C	-2.0	-2.0	-2.0
YDL078C			0.0411385390903997
YDL080C	-2.0	-2.0	-2.0
YDL085W			0.0827202341379359
YDL102W			-0.04243251222872745
YDL106C			-0.1821210767585725
YDL168W		-2.0	
YDL175C			-0.17605710310425507
YDL192W			-0.09126672651488418
YDL193W	-2.0	-2.0	
YDL200C			0.103227292910136
YDL209C			0.0436967395702597
YDL211C			0.0462237781301876
YDL215C	-0.05113653968095922		
YDL216C	-2.0	-2.0	-2.0
YDR002W	-2.0	-2.0	-2.0
YDR022C			0.0883754694289735
YDR026C			0.0559020681580464
YDR028C			0.0518813617005592
YDR030C	-2.0	-2.0	-2.0
YDR033W	-2.0	-2.0	-2.0
YDR049W	-0.16556670431627177	-2.0	-2.0
YDR052C			0.0414228718637842
YDR054C			-0.09102223406723203
YDR057W	-2.0	-2.0	-2.0
YDR064W	-0.08466565802365023		
YDR066C	-2.0	-2.0	-2.0
YDR071C	-2.0	-2.0	-2.0
YDR076W			0.0318035381729045
YDR082W	-2.0	-2.0	-2.0
YDR084C			0.0796231689279801
YDR165W	-2.0	-2.0	-2.0
YDR166C			-2.0
YDR176W			-0.35337005376818453
YDR204W	-2.0	-2.0	-2.0
YDR213W			-0.20528542751396542
YDR214W			-0.12337768031832479
YDR254W			-0.3149041784826127
YDR272W			0.0611279196834007
YDR283C	-2.0	-2.0	-2.0
YDR293C		-2.0	-2.0
YDR311W			-0.07517376397777194
YDR319C			-0.1602291105876786
YDR335W			-0.07937610373969733
YDR339C			-0.03218155256051756
YDR351W			-0.0660367828243397
YDR364C	-2.0	-2.0	-2.0
YDR384C	-2.0	-2.0	-2.0
YDR398W	-2.0	-2.0	-2.0
YDR402C			-0.06669771475417981
YDR416W			0.0673755358005295
YDR450W	-2.0	-2.0	-2.0
YDR454C	-2.0	-2.0	-2.0
YDR469W	-0.09878141764200872	-2.0	-2.0
YDR475C	-0.5588406365299746	-2.0	-2.0
YDR481C	-0.22727891960981575	-2.0	-2.0
YDR487C	-1.067063245316667	-1.0711437412800913	-2.0
YDR531W	-2.0	-2.0	-2.0
YEL005C	-2.0	-2.0	-2.0
YEL007W			0.133929128821745
YEL019C			0.0349765925338121
YEL042W		-2.0	-2.0
YER002W			-0.09762844854390013
YER004W	-2.0	-2.0	-2.0
YER016W	-2.0	-2.0	-2.0
YER037W			0.0300132227249725
YER038C			0.0586309731130489
YER047C	-2.0		
YER050C		-0.15380360440978041	
YER056C	-2.0	-2.0	-2.0
YER070W			0.12772936542862
YER080W		-0.0830608108666615	
YER082C			0.0595998812458157
YER088C		-0.13327806411503176	-0.18943773721127918
YER091C			-0.2988540734627153
YER093C		-0.1734349512027523	-0.26880913729316525
YER107C			-0.1229424302475078
YER116C	-2.0	-2.0	-2.0
YER117W			0.0759287311855864
YER120W		-0.06254117041559885	-0.08720621194355319
YER125W			-0.056456836042823616
YER130C		-0.08715308493451118	
YER133W		-0.10529137649605122	
YER136W		-0.0805335252712615	
YER143W		-0.11922564969231828	-0.17716172004421196
YER148W		-0.12751848596319093	
YER151C		-0.11912167511018659	-0.14270073469676048
YER157W		-2.0	
YER172C	-0.17545659774969474	-0.19021816008967993	-2.0
YER175C		-0.041608548951400724	-0.06346948887674597
YER177W	-0.09580242509038808	-2.0	-2.0
YER179W		-0.050946767118113995	
YER183C		-0.1313430275253067	-0.11781821582884192
YER184C		-0.05971049122375765	
YER186C	-2.0	-2.0	
YFL001W			-0.0956278316836289
YFL002C	-2.0	-2.0	-2.0
YFL010C	-2.0	-2.0	-2.0
YFL021W		0.040521138185944536	
YFL028C			-2.0
YFL029C	-2.0	-2.0	-2.0
YFL031W			0.0355768414900551
YFL036W	-2.0	-2.0	-2.0
YFL042C	-2.0	-2.0	-2.0
YFL060C			-0.10064892013871614
YFR029W	-2.0	-2.0	-2.0
YFR037C			-0.06746353745253662
YGL002W	-2.0	-2.0	-2.0
YGL003C			-2.0
YGL030W	-2.0	-2.0	-2.0
YGL032C	-2.0	-2.0	-2.0
YGL036W			-2.0
YGL038C			0.0405616768945193
YGL058W			0.287633421186816
YGL079W			0.0604066208424334
YGL087C			-2.0
YGL092W	-2.0	-2.0	-2.0
YGL093W			-0.07672931563337057
YGL110C	-2.0	-2.0	-2.0
YGL111W	-2.0	-2.0	-2.0
YGL116W			0.102441104778594
YGL138C	-2.0	-2.0	-2.0
YGL150C	-0.06921165704480098	-0.08394740386875327	-2.0
YGL168W			0.0668071959546861
YGL198W			-0.10135375187458505
YGL201C			-0.0651891336362106
YGL207W			-0.2811551734918346
YGL210W			-2.0
YGL225W		-2.0	-2.0
YGL228W			-0.3069844558359979
YGL244W			-0.24044238309829566
YGL248W			-0.1195041026591426
YGL251C	-2.0		
YGL252C			-0.15401342872540477
YGL253W	-0.23810273719558653	-0.21877875818697798	-0.23441933976931395
YGR037C	-2.0	-2.0	-2.0
YGR061C			0.0484847199119364
YGR068C		-2.0	-2.0
YGR075C			0.0694681480585991
YGR086C	-2.0	-2.0	-2.0
YGR091W	-2.0	-2.0	-2.0
YGR112W			-2.0
YGR132C	-2.0	-2.0	-2.0
YGR133W			-0.11237323480034031
YGR147C	-2.0	-2.0	-2.0
YGR148C			0.0755188270862117
YGR152C			-2.0
YGR184C			0.14137786541211
YGR201C		-2.0	-2.0
YGR207C	-2.0	-2.0	-2.0
YGR216C	-0.14266309840659272	-2.0	-2.0
YGR222W			0.0728861936609197
YGR232W			0.0343959934448976
YGR257C		-2.0	-2.0
