ORF	hap alpha | mitophagy (Om45-GFP) | YPL [standard] | Kanki T~Klionsky DJ, 2009
YAL002W	1.000
YAL004W	1.000
YAL005C	1.000
YAL007C	1.000
YAL008W	-1.000
YAL009W	-1.000
YAL010C	-1.000
YAL011W	1.000
YAL012W	1.000
YAL013W	1.000
YAL014C	1.000
YAL015C	1.000
YAL017W	1.000
YAL018C	1.000
YAL019W	1.000
YAL020C	1.000
YAL021C	1.000
YAL022C	1.000
YAL023C	1.000
YAL024C	1.000
YAL026C	NaN
YAL028W	1.000
YAL029C	1.000
YAL030W	1.000
YAL031C	1.000
YAL034C	1.000
YAL035W	1.000
YAL036C	1.000
YAL037W	1.000
YAL040C	1.000
YAL042C-A	1.000
YAL042W	1.000
YAL044C	-1.000
YAL045C	-1.000
YAL046C	1.000
YAL047C	1.000
YAL048C	1.000
YAL049C	1.000
YAL051W	1.000
YAL053W	1.000
YAL054C	1.000
YAL055W	1.000
YAL056C-A	1.000
YAL056W	1.000
YAL058W	1.000
YAL059W	1.000
YAL060W	1.000
YAL061W	1.000
YAL062W	1.000
YAL064C-A	1.000
YAL065C	1.000
YAL066W	1.000
YAL067C	1.000
YAL068C	1.000
YAR002C-A	1.000
YAR002W	1.000
YAR003W	1.000
YAR014C	1.000
YAR015W	1.000
YAR018C	1.000
YAR020C	1.000
YAR023C	1.000
YAR027W	1.000
YAR028W	1.000
YAR029W	1.000
YAR030C	1.000
YAR031W	1.000
YAR035W	1.000
YAR037W	1.000
YAR040C	1.000
YAR042W	1.000
YAR043C-A	1.000
YAR047C	1.000
YAR050W	1.000
YBL001C	1.000
YBL002W	1.000
YBL003C	1.000
YBL005W	1.000
YBL006C	1.000
YBL007C	1.000
YBL008W	1.000
YBL009W	1.000
YBL010C	1.000
YBL011W	1.000
YBL012C	1.000
YBL013W	1.000
YBL015W	1.000
YBL016W	1.000
YBL017C	1.000
YBL019W	-1.000
YBL021C	-1.000
YBL022C	1.000
YBL024W	1.000
YBL025W	NaN
YBL027W	-1.000
YBL028C	1.000
YBL029W	1.000
YBL031W	-1.000
YBL032W	-1.000
YBL036C	-1.000
YBL037W	1.000
YBL038W	-1.000
YBL039C	1.000
YBL042C	1.000
YBL043W	1.000
YBL044W	1.000
YBL045C	-1.000
YBL046W	-1.000
YBL047C	1.000
YBL048W	1.000
YBL049W	1.000
YBL051C	1.000
YBL052C	1.000
YBL053W	-1.000
YBL054W	1.000
YBL055C	1.000
YBL056W	1.000
YBL057C	-1.000
YBL058W	NaN
YBL059W	1.000
YBL060W	1.000
YBL061C	1.000
YBL062W	-1.000
YBL063W	1.000
YBL064C	1.000
YBL065W	1.000
YBL066C	1.000
YBL067C	1.000
YBL068W	1.000
YBL069W	1.000
YBL070C	1.000
YBL071C	1.000
YBL072C	1.000
YBL075C	1.000
YBL078C	-1.000
YBL079W	1.000
YBL080C	-1.000
YBL081W	1.000
YBL082C	-1.000
YBL083C	1.000
YBL085W	1.000
YBL086C	1.000
YBL087C	1.000
YBL088C	1.000
YBL089W	1.000
YBL090W	-1.000
YBL091C	1.000
YBL091C-A	1.000
YBL094C	1.000
YBL095W	1.000
YBL096C	1.000
YBL098W	1.000
YBL099W	-1.000
