orf	hap alpha | growth (area of killing zone) | secreted K28 toxin | MBA | Carroll SY~Drubin DG, 2009
YAL020C	-2.725481818604178
YAL021C	2.837872821433216
YAL023C	2.837872821433216
YAL026C	5.619550141451913
YAL047C	-5.5071591386228755
YAL056C-A	5.619550141451913
YAR028W	-2.725481818604178
YBL007C	5.619550141451913
YBL037W	5.619550141451913
YBL047C	5.619550141451913
YBL058W	2.837872821433216
YBL071C	-5.5071591386228755
YBL072C	-5.5071591386228755
YBL079W	-5.5071591386228755
YBL093C	-2.725481818604178
YBR015C	5.619550141451913
YBR048W	-2.725481818604178
YBR077C	2.837872821433216
YBR097W	-2.725481818604178
YBR106W	5.619550141451913
YBR112C	5.619550141451913
YBR133C	2.837872821433216
YBR164C	-2.725481818604178
YBR174C	-2.725481818604178
YBR181C	-2.725481818604178
YBR229C	5.619550141451913
YBR231C	-2.725481818604178
YBR266C	-2.725481818604178
YBR279W	-5.5071591386228755
YBR289W	2.837872821433216
YBR294W	2.837872821433216
YCL007C	-5.5071591386228755
YCL058C	-5.5071591386228755
YCR002C	-2.725481818604178
YCR009C	5.619550141451913
YCR028C	2.837872821433216
YCR028C-A	2.837872821433216
YCR034W	5.619550141451913
YCR044C	5.619550141451913
YCR047C	-2.725481818604178
YCR081W	2.837872821433216
YCR084C	5.619550141451913
YCR088W	2.837872821433216
YDL005C	-5.5071591386228755
YDL041W	5.619550141451913
YDL042C	2.837872821433216
YDL047W	-5.5071591386228755
YDL115C	-2.725481818604178
YDL146W	2.837872821433216
YDR024W	-2.725481818604178
YDR025W	-2.725481818604178
YDR080W	-2.725481818604178
YDR083W	-2.725481818604178
YDR129C	5.619550141451913
YDR138W	-2.725481818604178
YDR159W	-5.5071591386228755
YDR195W	-5.5071591386228755
YDR226W	-2.725481818604178
YDR227W	5.619550141451913
YDR245W	5.619550141451913
YDR334W	-2.725481818604178
YDR349C	2.837872821433216
YDR364C	-2.725481818604178
YDR372C	5.619550141451913
YDR378C	-2.725481818604178
YDR388W	5.619550141451913
YDR389W	2.837872821433216
YDR414C	5.619550141451913
YDR417C	-5.5071591386228755
YDR418W	-2.725481818604178
YDR432W	-5.5071591386228755
YDR442W	5.619550141451913
YDR443C	5.619550141451913
YDR483W	5.619550141451913
YDR484W	-2.725481818604178
YDR485C	-2.725481818604178
YDR507C	2.837872821433216
YEL031W	5.619550141451913
YEL036C	5.619550141451913
YEL042W	5.619550141451913
YER001W	5.619550141451913
YER074W	-5.5071591386228755
YER077C	5.619550141451913
YER122C	2.837872821433216
YER140W	5.619550141451913
YER151C	-5.5071591386228755
YFL001W	-5.5071591386228755
YFL023W	-5.5071591386228755
YFL025C	5.619550141451913
YFR010W	2.837872821433216
YFR036W	2.837872821433216
YFR043C	5.619550141451913
YGL005C	-5.5071591386228755
YGL007W	-2.725481818604178
YGL024W	-5.5071591386228755
YGL027C	2.837872821433216
YGL076C	-2.725481818604178
YGL105W	-2.725481818604178
YGL127C	-2.725481818604178
YGL147C	-2.725481818604178
YGL167C	5.619550141451913
YGL211W	-2.725481818604178
YGL212W	-5.5071591386228755
YGL244W	-2.725481818604178
YGR036C	5.619550141451913
YGR064W	-2.725481818604178
YGR081C	-2.725481818604178
YGR104C	-2.725481818604178
YGR159C	-2.725481818604178
YGR200C	-2.725481818604178
YGR220C	2.837872821433216
YHL011C	-5.5071591386228755
YHR010W	-2.725481818604178
YHR021C	-2.725481818604178
YHR077C	2.837872821433216
YHR111W	-2.725481818604178
YHR183W	2.837872821433216
YHR204W	2.837872821433216
YIL039W	5.619550141451913
YIL040W	-5.5071591386228755
YIL052C	-2.725481818604178
YIL110W	-2.725481818604178
YJL056C	5.619550141451913
YJL077C	5.619550141451913
