orf	hap a | growth (spot assay) | nickel sulfate [0.75-1.25 mM] | Arita A~Costa M, 2009
YAL002W	4.189728428937524
YAR015W	-4.105933860358775
YAR031W	-4.105933860358775
YBL039C	-4.105933860358775
YBL051C	-4.105933860358775
YBL053W	-4.105933860358775
YBL083C	4.189728428937524
YBR019C	-4.105933860358775
YBR030W	-4.105933860358775
YBR076W	-4.105933860358775
YBR107C	4.189728428937524
YBR122C	-4.105933860358775
YBR126C	4.189728428937524
YBR127C	-4.105933860358775
YBR169C	-4.105933860358775
YBR171W	4.189728428937524
YBR188C	-4.105933860358775
YBR189W	4.189728428937524
YBR191W	4.189728428937524
YBR200W	-4.105933860358775
YBR207W	-4.105933860358775
YBR209W	-4.105933860358775
YBR288C	-4.105933860358775
YBR290W	4.189728428937524
YCL001W-A	4.189728428937524
YCL008C	4.189728428937524
YCL033C	-4.105933860358775
YCL036W	4.189728428937524
YCR009C	-4.105933860358775
YCR095C	4.189728428937524
YDL081C	4.189728428937524
YDL122W	4.189728428937524
YDL136W	-4.105933860358775
YDL170W	-4.105933860358775
YDR007W	-4.105933860358775
YDR017C	4.189728428937524
YDR028C	4.189728428937524
YDR043C	-4.105933860358775
YDR049W	4.189728428937524
YDR065W	-4.105933860358775
YDR069C	4.189728428937524
YDR089W	4.189728428937524
YDR110W	-4.105933860358775
YDR138W	-4.105933860358775
YDR162C	-4.105933860358775
YDR176W	4.189728428937524
YDR200C	4.189728428937524
YDR225W	4.189728428937524
YDR254W	4.189728428937524
YDR260C	-4.105933860358775
YDR295C	-4.105933860358775
YDR318W	4.189728428937524
YDR322W	4.189728428937524
YDR323C	4.189728428937524
YDR338C	-4.105933860358775
YDR354W	-4.105933860358775
YDR358W	-4.105933860358775
YDR359C	-4.105933860358775
YDR443C	4.189728428937524
YDR455C	4.189728428937524
YDR463W	4.189728428937524
YDR495C	4.189728428937524
YEL027W	-4.105933860358775
YEL043W	4.189728428937524
YEL057C	4.189728428937524
YEL059W	4.189728428937524
YER072W	4.189728428937524
YER123W	-4.105933860358775
YFL001W	-4.105933860358775
YFL054C	-4.105933860358775
YFR008W	-4.105933860358775
YFR012W	4.189728428937524
YFR019W	-4.105933860358775
YFR031C-A	-4.105933860358775
YFR045W	-4.105933860358775
YFR048W	4.189728428937524
YGL025C	4.189728428937524
YGL045W	4.189728428937524
YGL071W	-4.105933860358775
YGL072C	4.189728428937524
YGL076C	-4.105933860358775
YGL101W	-4.105933860358775
YGL109W	-4.105933860358775
YGL143C	-4.105933860358775
YGL148W	-4.105933860358775
YGL162W	-4.105933860358775
YGL167C	4.189728428937524
YGL194C	4.189728428937524
YGL252C	4.189728428937524
YGL256W	-4.105933860358775
YGR007W	4.189728428937524
YGR010W	-4.105933860358775
YGR027C	-4.105933860358775
YGR054W	-4.105933860358775
YGR089W	4.189728428937524
YGR105W	-4.105933860358775
YGR122W	4.189728428937524
YGR129W	-4.105933860358775
YGR150C	-4.105933860358775
YGR206W	4.189728428937524
YGR261C	-4.105933860358775
YHL027W	4.189728428937524
YHL031C	4.189728428937524
YHR011W	4.189728428937524
YHR012W	4.189728428937524
YHR033W	-4.105933860358775
YHR120W	4.189728428937524
YHR132C	4.189728428937524
YIL039W	-4.105933860358775
YIL092W	-4.105933860358775
YIR023W	4.189728428937524
YJL030W	-4.105933860358775
YJL052W	4.189728428937524
YJL053W	4.189728428937524
YJL080C	-4.105933860358775
YJL093C	-4.105933860358775
YJL095W	-4.105933860358775
YJL117W	-4.105933860358775
YJL124C	-4.105933860358775
YJL154C	4.189728428937524
YJL172W	-4.105933860358775
YJL200C	-4.105933860358775
YJR032W	-4.105933860358775
YJR033C	-4.105933860358775
YJR097W	-4.105933860358775
YJR102C	4.189728428937524
YJR108W	-4.105933860358775
YJR117W	-4.105933860358775
YJR124C	-4.105933860358775
YJR139C	4.189728428937524
YKL001C	-4.105933860358775
YKL006W	-4.105933860358775
YKL041W	-4.105933860358775
YKL053W	4.189728428937524
YKL054C	-4.105933860358775
YKL056C	-4.105933860358775
YKL064W	-4.105933860358775
YKL066W	-4.105933860358775
YKL087C	-4.105933860358775
YKL094W	-4.105933860358775
YKL098W	-4.105933860358775
YKL121W	-4.105933860358775
YKL126W	-4.105933860358775
YKL139W	-4.105933860358775
YKL143W	-4.105933860358775
YKL164C	4.189728428937524
YKL177W	-4.105933860358775
YKL179C	-4.105933860358775
YKL191W	-4.105933860358775
YKR009C	-4.105933860358775
YKR028W	4.189728428937524
YKR089C	-4.105933860358775
YKR095W	-4.105933860358775
YKR099W	-4.105933860358775
YLL039C	4.189728428937524
YLL048C	-4.105933860358775
YLR025W	4.189728428937524
YLR044C	-4.105933860358775
YLR056W	-4.105933860358775
YLR068W	-4.105933860358775
YLR110C	-4.105933860358775
YLR139C	4.189728428937524
YLR148W	-4.105933860358775
YLR152C	-4.105933860358775
YLR181C	4.189728428937524
YLR238W	-4.105933860358775
YLR242C	4.189728428937524
YLR260W	-4.105933860358775
YLR329W	-4.105933860358775
YLR357W	4.189728428937524
YLR360W	4.189728428937524
YLR407W	-4.105933860358775
YLR410W	4.189728428937524
YLR417W	4.189728428937524
YLR428C	-4.105933860358775
YLR429W	-4.105933860358775
YLR436C	-4.105933860358775
YLR447C	-4.105933860358775
YML012C-A	-4.105933860358775
YML013W	-4.105933860358775
YML028W	-4.105933860358775
YML062C	-4.105933860358775
YML081W	-4.105933860358775
YML094C-A	4.189728428937524
YML122C	4.189728428937524
YMR021C	-4.105933860358775
YMR052C-A	-4.105933860358775
YMR054W	-4.105933860358775
YMR058W	-4.105933860358775
YMR077C	4.189728428937524
YMR160W	4.189728428937524
YMR166C	4.189728428937524
YMR275C	4.189728428937524
YNL032W	4.189728428937524
YNL056W	4.189728428937524
YNL083W	-4.105933860358775
YNL099C	4.189728428937524
YNL229C	4.189728428937524
YNL235C	4.189728428937524
YNL246W	4.189728428937524
YNL255C	-4.105933860358775
YNL288W	4.189728428937524
YNL294C	4.189728428937524
YNL298W	-4.105933860358775
YNL324W	4.189728428937524
YNL325C	4.189728428937524
YNR005C	4.189728428937524
YNR006W	4.189728428937524
YNR052C	-4.105933860358775
YOL001W	-4.105933860358775
YOL012C	4.189728428937524
YOL013C	-4.105933860358775
YOL018C	4.189728428937524
YOL060C	4.189728428937524
YOL067C	4.189728428937524
YOL117W	4.189728428937524
YOR008C	-4.105933860358775
YOR011W	-4.105933860358775
YOR030W	4.189728428937524
YOR043W	-4.105933860358775
YOR051C	4.189728428937524
YOR068C	4.189728428937524
YOR069W	4.189728428937524
YOR113W	4.189728428937524
YOR120W	-4.105933860358775
YOR125C	-4.105933860358775
YOR132W	4.189728428937524
YOR140W	4.189728428937524
YOR187W	4.189728428937524
YOR198C	-4.105933860358775
YOR199W	4.189728428937524
YOR200W	4.189728428937524
YOR241W	-4.105933860358775
YOR270C	-4.105933860358775
YOR296W	-4.105933860358775
YOR306C	-4.105933860358775
YOR312C	4.189728428937524
YOR328W	4.189728428937524
YOR332W	4.189728428937524
YOR357C	4.189728428937524
YOR359W	4.189728428937524
YOR360C	-4.105933860358775
YOR374W	4.189728428937524
YPL002C	4.189728428937524
YPL018W	4.189728428937524
YPL022W	-4.105933860358775
YPL065W	4.189728428937524
YPL084W	4.189728428937524
YPL090C	-4.105933860358775
YPL103C	-4.105933860358775
YPL120W	4.189728428937524
YPL152W	-4.105933860358775
YPL161C	-4.105933860358775
YPL176C	4.189728428937524
YPL179W	-4.105933860358775
YPL186C	-4.105933860358775
YPL192C	-4.105933860358775
YPL195W	4.189728428937524
YPL244C	-4.105933860358775
YPL261C	-4.105933860358775
YPR030W	-4.105933860358775
YPR050C	4.189728428937524
YPR078C	-4.105933860358775
YPR096C	-4.105933860358775
YPR097W	-4.105933860358775
YPR146C	4.189728428937524
