ORF	Msb2p secretion
YCL005W	2.387
YCL002C	2.761
YGR214W	3.087
YOR008C-A	4.510
YGR244C	4.241
YDR159W	3.958
YCR002C	4.493
YDR078C	7.604
YJR018W	5.215
YDL224C	6.488
YER144C	5.372
YKL110C	7.562
YJR011C	6.822
YGR221C	7.186
YGL033W	5.397
YGR223C	7.845
YDR273W	6.484
YGR224W	8.258
YGR056W	8.688
YDR103W	14.190
YDR320C	7.248
YBR300C	9.436
YFR044C	9.094
YAL002W	7.221
YOR312C	9.870
YOR107W	10.963
YCR009C	10.670
YPL101W	15.921
YKL098W	12.779
YPL105C	16.112
YAL016W	15.183
YDL226C	13.647
YKL150W	13.331
YDL234C	14.662
YDL021W	9.433
YCL056C	12.589
YMR070W	16.081
YCL032W	12.964
YLR384C	9.071
YPL065W	19.288
YLR322W	12.326
YGR011W	26.325
YCL037C	13.864
YIL008W	15.340
YJL187C	15.488
YPL086C	21.334
YPR114W	21.710
YLR417W	10.709
YOL081W	19.855
YDR120C	25.197
YOR293W	15.160
YPR111W	23.130
YKL079W	19.334
YKL169C	19.610
YML014W	10.986
YOR198C	15.436
YHR005C	14.264
YIL009W	18.895
YIL079C	18.972
YHL032C	18.908
YBR133C	13.466
YPL174C	25.735
YGR058W	18.138
YGR200C	19.279
YIL023C	14.242
YBR085W	14.723
YKL137W	21.073
YNR028W	11.612
YJL153C	18.888
YDR462W	14.090
YKL097C	22.384
YGR055W	19.856
YCR024C	20.307
YOR100C	20.159
YIL084C	21.613
YPR087W	18.441
YCR019W	19.750
YJL155C	20.800
YPR051W	18.868
YGR076C	20.921
YHL045W	22.597
YDR074W	15.282
YDL225W	26.236
YHR087W	18.163
YBR106W	18.145
YHR111W	18.419
YIR007W	19.650
YJR070C	19.510
YOR162C	19.848
YOR371C	21.027
YFL033C	23.462
YNL106C	20.038
YGL035C	16.448
YGR054W	23.317
YLL049W	19.310
YNL138W	16.235
YER166W	18.148
YCL033C	22.780
YDR149C	20.505
YOR118W	23.595
YLR435W	20.384
YHL023C	16.088
YOR358W	21.892
YOR302W	25.520
YBR173C	21.523
YCR020C-A	23.505
YGL045W	17.306
YHR195W	23.681
YHR081W	20.104
YDL133W	17.065
YIL011W	19.574
YOR088W	23.112
YMR158C-B	21.726
YIL034C	19.914
YLR453C	22.027
YHR051W	20.951
YDR150W	22.462
YJR032W	34.395
YOR163W	22.694
YER177W	23.317
YJL013C	34.909
YLR358C	18.233
YBR120C	21.323
YER111C	20.520
YER089C	23.628
YER074W	19.623
YMR157C	26.705
YER059W	19.694
YER174C	20.660
YLR036C	22.170
YGL159W	20.838
YGR040W	20.267
YER141W	20.950
YER056C-A	19.997
YHR001W-A	28.899
YPR049C	24.792
YJR004C	36.401
YBR279W	36.771
