ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YAL002W	0.287	NaN
YAL004W	1.217	NaN
YAL005C	1.455	NaN
YAL007C	0.970	NaN
YAL008W	1.460	NaN
YAL010C	1.351	NaN
YAL011W	0.819	NaN
YAL013W	1.301	NaN
YAL014C	1.414	NaN
YAL015C	1.185	NaN
YAL017W	1.416	NaN
YAL018C	0.975	NaN
YAL019W	0.849	NaN
YAL020C	0.666	NaN
YAL022C	0.828	NaN
YAL023C	0.700	NaN
YAL024C	0.731	NaN
YAL026C	0.920	NaN
YAL027W	0.825	NaN
YAL028W	1.374	NaN
YAL029C	0.642	NaN
YAL030W	0.773	NaN
YAL031C	0.939	NaN
YAL034C	1.307	NaN
YAL035W	NaN	-3.000
YAL036C	1.092	NaN
YAL037W	0.948	NaN
YAL040C	1.344	NaN
YAL042C-A	0.655	NaN
YAL042W	1.233	NaN
YAL045C	0.770	NaN
YAL046C	0.875	NaN
YAL049C	0.792	NaN
YAL051W	0.731	NaN
YAL053W	1.917	NaN
YAL054C	0.591	NaN
YAL055W	0.566	NaN
YAL056C-A	1.506	NaN
YAL056W	1.080	NaN
YAL058W	0.624	NaN
YAL059W	0.973	NaN
YAL060W	0.835	NaN
YAL061W	0.945	NaN
YAL062W	0.895	NaN
YAL064C-A	1.750	NaN
YAL065C	1.701	NaN
YAL066W	0.944	NaN
YAL067C	1.114	NaN
YAL068C	0.897	NaN
YAR002C-A	1.080	NaN
YAR002W	0.557	NaN
YAR003W	0.714	NaN
YAR014C	0.798	NaN
YAR015W	1.402	NaN
YAR018C	1.097	NaN
YAR020C	0.737	NaN
YAR023C	1.319	NaN
YAR027W	1.538	NaN
YAR028W	0.863	NaN
YAR029W	0.906	NaN
YAR030C	0.964	NaN
YAR031W	2.063	NaN
YAR035W	0.813	NaN
YAR037W	0.859	NaN
YAR040C	0.999	NaN
YAR042W	1.322	NaN
YAR043C	1.188	NaN
YAR047C	1.282	NaN
YAR050W	0.949	NaN
YBL001C	0.822	NaN
YBL003C	1.051	NaN
YBL005W	1.344	NaN
YBL007C	0.700	NaN
YBL008W	1.568	NaN
YBL009W	1.537	NaN
YBL010C	1.076	NaN
YBL011W	1.824	NaN
YBL013W	0.773	NaN
YBL015W	1.040	NaN
YBL016W	1.165	NaN
YBL017C	1.476	NaN
YBL019W	1.245	NaN
YBL021C	1.464	NaN
YBL024W	0.848	NaN
YBL027W	1.382	NaN
YBL028C	1.392	NaN
YBL029W	1.722	NaN
YBL031W	1.415	NaN
YBL032W	1.365	NaN
YBL036C	1.052	-3.000
YBL037W	0.691	NaN
YBL039C	0.603	NaN
YBL042C	0.693	NaN
YBL043W	1.084	NaN
YBL046W	1.154	NaN
YBL047C	0.595	NaN
YBL048W	0.976	NaN
YBL049W	0.835	NaN
YBL051C	1.836	NaN
YBL052C	1.882	NaN
YBL053W	1.132	NaN
YBL054W	1.216	NaN
YBL055C	0.938	NaN
YBL056W	0.937	NaN
YBL057C	2.072	NaN
YBL059W	0.702	NaN
YBL060W	1.169	NaN
YBL061C	0.900	NaN
YBL062W	0.773	NaN
YBL063W	1.371	NaN
YBL064C	1.491	NaN
YBL065W	0.896	NaN
YBL066C	1.137	NaN
YBL067C	0.771	NaN
YBL068W	1.789	NaN
YBL069W	1.351	NaN
YBL070C	1.383	NaN
YBL071C	0.947	NaN
YBL072C	0.751	NaN
YBL075C	0.821	NaN
YBL078C	0.688	NaN
YBL079W	1.165	NaN
YBL081W	1.251	NaN
YBL082C	1.051	NaN
YBL083C	1.129	NaN
YBL085W	0.580	NaN
YBL086C	0.644	NaN
YBL087C	1.178	NaN
YBL088C	1.097	NaN
YBL089W	1.452	NaN
YBL091C	1.406	NaN
YBL091C-A	0.817	NaN
YBL094C	0.753	NaN
YBL095W	0.592	NaN
YBL096C	1.406	NaN
YBL098W	1.071	NaN
YBL100C	1.058	NaN
YBL101C	1.018	NaN
YBL102W	1.883	NaN
YBL103C	1.034	NaN
YBL104C	1.052	NaN
YBL106C	1.412	NaN
YBL107C	1.021	NaN
YBR001C	1.590	NaN
YBR005W	1.140	NaN
YBR006W	1.229	NaN
YBR007C	1.294	NaN
YBR008C	0.867	NaN
YBR009C	1.281	NaN
YBR010W	1.351	NaN
YBR012C	1.175	NaN
YBR013C	1.162	NaN
YBR014C	1.250	NaN
YBR015C	0.856	NaN
YBR016W	0.793	NaN
YBR022W	1.421	NaN
YBR023C	1.112	NaN
YBR024W	0.968	NaN
YBR025C	1.245	NaN
YBR026C	0.822	NaN
YBR027C	1.258	NaN
YBR028C	1.340	NaN
YBR030W	1.155	NaN
YBR031W	0.572	NaN
YBR032W	0.850	NaN
YBR033W	0.604	NaN
YBR034C	0.765	NaN
YBR036C	0.517	NaN
YBR041W	0.637	NaN
YBR042C	0.767	NaN
YBR043C	0.937	NaN
YBR044C	0.696	NaN
YBR045C	0.708	NaN
YBR046C	1.135	NaN
YBR047W	1.124	NaN
YBR048W	1.106	NaN
YBR050C	1.182	NaN
YBR051W	1.033	NaN
YBR052C	0.798	NaN
YBR053C	1.565	NaN
YBR054W	0.767	NaN
YBR056W	0.940	NaN
YBR057C	1.465	NaN
YBR058C	1.042	NaN
YBR059C	1.164	NaN
YBR061C	0.996	NaN
YBR062C	1.321	NaN
YBR063C	0.988	NaN
YBR064W	0.560	NaN
YBR065C	0.816	NaN
YBR066C	0.643	NaN
YBR067C	0.955	NaN
YBR068C	1.166	NaN
YBR069C	0.947	NaN
YBR071W	1.033	NaN
YBR072W	1.099	NaN
YBR073W	1.060	NaN
YBR074W	0.869	NaN
YBR076W	1.297	-1.000
YBR077C	1.638	NaN
YBR078W	0.889	NaN
YBR082C	0.713	NaN
YBR083W	0.829	NaN
YBR084C-A	1.175	NaN
YBR084W	0.816	NaN
YBR085W	1.548	NaN
YBR086C	0.868	NaN
YBR089C-A	1.442	NaN
YBR090C	1.148	NaN
YBR092C	1.085	NaN
YBR093C	1.297	NaN
YBR094W	0.798	NaN
YBR095C	1.318	NaN
YBR098W	0.989	NaN
YBR099C	0.833	NaN
YBR101C	0.853	NaN
YBR103W	0.947	NaN
YBR104W	1.415	NaN
YBR105C	0.848	NaN
YBR106W	0.727	NaN
YBR107C	0.739	NaN
YBR108W	0.879	NaN
YBR111C	0.966	NaN
YBR113W	0.801	NaN
YBR114W	0.651	NaN
YBR116C	1.038	NaN
YBR118W	0.887	NaN
YBR119W	0.952	NaN
YBR121C	1.383	NaN
YBR122C	1.074	NaN
YBR125C	1.404	NaN
YBR126C	1.600	-3.000
YBR128C	0.749	NaN
YBR129C	1.347	NaN
YBR130C	0.937	NaN
YBR131W	0.360	NaN
YBR132C	0.946	NaN
YBR134W	1.161	NaN
YBR137W	1.164	NaN
