orf	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YAL002W	0.28721984394431	
YAL004W	1.21720710629328	
YAL005C	1.45484939436103	
YAL007C	0.970050321779024	
YAL008W	1.46047700441063	
YAL010C	1.35099509710259	
YAL011W	0.818602583646555	
YAL013W	1.30073503180821	
YAL014C	1.4138823627581	
YAL015C	1.18521976720705	
YAL017W	1.41557749203825	
YAL018C	0.97480882897368	
YAL019W	0.849103886784691	
YAL020C	0.665655200813834	
YAL022C	0.828330938325482	
YAL023C	0.700116102808972	
YAL024C	0.7312231483705	
YAL026C	0.919865496559643	
YAL027W	0.825394650821428	
YAL028W	1.37406329434205	
YAL029C	0.642259854503086	
YAL030W	0.773212877419732	
YAL031C	0.93872578295073	
YAL034C	1.30729754198485	
YAL035W		-3.0
YAL036C	1.09171182404654	
YAL037W	0.948031507878483	
YAL040C	1.34352267337162	
YAL042C-A	0.655272841443352	
YAL042W	1.23267976573156	
YAL045C	0.769815680948517	
YAL046C	0.875165500490854	
YAL049C	0.792159740776983	
YAL051W	0.730626929960551	
YAL053W	1.91694353176544	
YAL054C	0.590597814896758	
YAL055W	0.565790210632297	
YAL056C-A	1.50578127850887	
YAL056W	1.07965788936615	
YAL058W	0.623887986096803	
YAL059W	0.972686454624694	
YAL060W	0.835060106019972	
YAL061W	0.944790978337715	
YAL062W	0.8951174364469	
YAL064C-A	1.74952297569203	
YAL065C	1.70145749322553	
YAL066W	0.943668441510327	
YAL067C	1.11449788651575	
YAL068C	0.897172111631822	
YAR002C-A	1.07969674004726	
YAR002W	0.556562180146682	
YAR003W	0.714072727400794	
YAR014C	0.798132083493433	
YAR015W	1.40224392355386	
YAR018C	1.09737410251432	
YAR020C	0.737125098256856	
YAR023C	1.3187517920767	
YAR027W	1.53807217642036	
YAR028W	0.862939602800661	
YAR029W	0.906172096294812	
YAR030C	0.964013275410153	
YAR031W	2.0628733822002	
YAR035W	0.812871282911449	
YAR042W	1.322272843637993	
YAR047C	1.28229515181723	
YAR050W	0.948647220853626	
YBL001C	0.82241694484836	
YBL003C	1.05132582028908	
YBL005W	1.34427736883905	
YBL007C	0.699792103107942	
YBL008W	1.56812159337369	
YBL009W	1.53731044768328	
YBL010C	1.07582970398017	
YBL011W	1.82444349847538	
YBL013W	0.773155772463563	
YBL015W	1.03995143189998	
YBL016W	1.16502513021219	
YBL017C	1.47647225996374	
YBL019W	1.24524064845998	
YBL021C	1.46414561181534	
YBL024W	0.847764363765455	
YBL027W	1.3818332948422	
YBL028C	1.39216305322023	
YBL029W	1.72213378858094	
YBL031W	1.41452126474094	
YBL032W	1.36484104368617	
YBL036C	1.05239834162968	-3.0
YBL037W	0.690828893989073	
YBL039C	0.60346611213418	
YBL042C	0.693490679603188	
YBL043W	1.08425105521801	
YBL046W	1.15398913321386	
YBL047C	0.594866809144954	
YBL048W	0.976325669805492	
YBL049W	0.835273789297467	
YBL051C	1.83588899174021	
YBL052C	1.88155668210081	
YBL053W	1.13198644977109	
YBL054W	1.21641770132658	
YBL055C	0.938265854915971	
YBL056W	0.936864537599402	
YBL057C	2.07213578371086	
YBL059W	0.702438831439296	
YBL060W	1.16946531898805	
YBL061C	0.900023380376045	
YBL062W	0.772785273016408	
YBL063W	1.37105934943866	
YBL064C	1.49053910922765	
YBL065W	0.895660015061632	
YBL066C	1.13704503458184	
YBL067C	0.771348430090218	
YBL068W	1.7885129461005	
YBL069W	1.35059010018835	
YBL070C	1.38319558227034	
YBL071C	0.946988769505428	
