orf	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YAL002W	-2.3740255759203928	0.0
YAL004W	1.0669538685285107	0.0
YAL005C	1.9462371248470134	0.0
YAL007C	0.15246670348762675	0.0
YAL008W	1.9670594428356893	0.0
YAL010C	1.561973257424406	0.0
YAL011W	-0.407894255119306	0.0
YAL013W	1.376009579687791	0.0
YAL014C	1.7946579373109226	0.0
YAL015C	0.9485997998928556	0.0
YAL017W	1.8009299640846514	0.0
YAL018C	0.1700733160789825	0.0
YAL019W	-0.29503856195407285	0.0
YAL020C	-0.9738039419685056	0.0
YAL022C	-0.37189906482611385	0.0
YAL023C	-0.8462976198895028	0.0
YAL024C	-0.7312006624490385	0.0
YAL026C	-0.03321858382155809	0.0
YAL027W	-0.38276341249354506	0.0
YAL028W	1.6473262463685598	0.0
YAL029C	-1.060367391824488	0.0
YAL030W	-0.575837465138741	0.0
YAL031C	0.036565014745405064	0.0
YAL034C	1.4002910548606535	0.0
YAL035W		-6.526231339887524
YAL036C	0.6026177382726678	0.0
YAL037W	0.07099646288289416	0.0
YAL040C	1.5343250761003575	0.0
YAL042C-A	-1.012218968308194	0.0
YAL042W	1.1242031505709364	0.0
YAL045C	-0.5884071891548303	0.0
YAL046C	-0.19860984654826552	0.0
YAL049C	-0.5057335293230923	0.0
YAL051W	-0.7334066876023878	0.0
YAL053W	3.655998637271112	0.0
YAL054C	-1.25151841457578	0.0
YAL055W	-1.3433072592148176	0.0
YAL056C-A	2.134686551538201	0.0
YAL056W	0.5580178355221849	0.0
YAL058W	-1.1283438298914628	0.0
YAL059W	0.1622204703423212	0.0
YAL060W	-0.34700095207508	0.0
YAL061W	0.05900641098611013	0.0
YAL062W	-0.12478711339780489	0.0
YAL064C-A	3.0365377958702164	0.0
YAL065C	2.858694137305478	0.0
YAL066W	0.054852992649043295	0.0
YAL067C	0.6869268205050855	0.0
YAL068C	-0.11718475650263835	0.0
YAR002C-A	0.5581615841524238	0.0
YAR002W	-1.3774512356963293	0.0
YAR003W	-0.7946577100986428	0.0
YAR014C	-0.4836356906165693	0.0
YAR015W	1.751595379694697	0.0
YAR018C	0.6235683303992356	0.0
YAR020C	-0.7093632792252904	0.0
YAR023C	1.4426721074979563	0.0
YAR027W	2.254163796501306	0.0
