orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YAL004W		1.355684854		0.703684992	1.172069302	1.508307114	0.901307159	1.28437988	1.808553966	0.453895677	1.361483185	1.204610444	0.6774626215	0.734968361	0.902132164	0.890399698
YAL005C		0.532775562	0.318278914	0.133497993	0.545810329	0.653070401	0.590081108	0.428282646	0.823910451	0.263513336	0.719861239	0.515424324	0.354860487	0.05893186	0.306537642	0.368547924
YAL007C		0.655951527	0.262740311	1.056912232	0.857829378	0.962162076	1.031007864	0.546406338	1.110575716	1.177856942	0.855911687	0.844395929	0.369063203	0.110177515	0.403306144	0.745529013
YAL008W		0.700830298	0.258468111	0.393737519	0.977302888	0.944960094	0.905943493	0.916037124	0.996157942	0.439390356	1.123170212	0.882361228	0.49026812399999997	0.544035655	0.487900544	0.911222656
YAL009W	0.0	1.633923076	0.267012511	0.39779913	1.095166357	1.033210064	1.084407421	0.891140189	0.876589027	0.431066214	1.186385661	0.98846733	5.397267553	1.178646728	1.310747556	1.658008574
YAL010C	0.0	1.05	0.487030821		0.838864419	0.412472522	0.74497992	1.53254103		1.896521535	1.275809109	1.104336804	1.6094218535	0.359449694	0.188220023	2.924888078
YAL011W		2.579104478			0.833247569	0.786002271	0.404340767	1.053763441	0.398377663		1.019351596	0.515512333	0.046117994499999995	0.855054574		0.430221633
YAL012W		0.839452883	0.555175238	0.383919629	1.066922408	1.494586208	1.172612814		1.468128123	0.546786754	0.822860854	1.194575899	0.632611342	0.625708104	3.445364241	4.399323284
YAL013W		0.634328358	0.982606042	1.572801183	1.134603811	0.907643743	0.716568401	1.604980192	1.052214412	0.412547244	1.051073692	2.247075203	0.8360132985	0.319650485		0.572597137
YAL014C		0.331727798	0.69636863	0.241432541	0.994273497	0.852811739	0.608067555	0.546228156	0.645846147	0.262908948	1.064265084	0.804715762	0.4016309025	0.034562471	0.420786906	1.154756031
YAL015C		0.748699922		0.127817228	1.021512399	1.02397339	0.898677738	0.842045824	0.890718889	0.34812771	1.109040564	0.783541986	0.4285261685	0.670108014	0.564378877	0.572064113
YAL016W		2.083276092	1.211538462	0.658003401	1.157850939	0.633657063	0.461854736		0.567835097	0.412192903	0.413047522	0.225054379	2.8889622565		0.697318699	0.850809233
YAL017W		0.522159718	0.390906317	0.453041062	0.946017436	0.897656319	0.785742753	0.828075016	0.910827601	0.278623046	0.912607994	0.661590478	0.31988795000000003	0.372590517	0.893796949	0.578916261
YAL018C		1.000323323	0.480622521	0.648500233	1.022428752	0.994748854	1.496247976	0.287991789	1.68225651	0.36323742	0.847083848	1.101391729	0.48671592750000003	2.378948483	2.96611559	0.940921319
