ORF	hap a | chronological lifespan | time [9 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [11 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [15 days] | Fabrizio P~Longo VD, 2010	hap a | chronological lifespan | time [20 days] | Fabrizio P~Longo VD, 2010
YER107C	-0.109	1.429	2.391	4.990
YDR463W	0.378	2.296	4.558	3.892
YMR275C	1.730	2.441	3.091	3.483
YDR443C	-0.275	1.087	2.655	3.408
YOR061W	0.768	1.396	1.845	2.335
YOR014W	1.658	2.456	1.051	2.297
YDR442W	0.080	1.023	1.630	2.269
YBR151W	-0.026	0.464	1.761	2.146
YPL177C	0.081	0.627	1.522	2.080
YOR140W	0.166	0.611	0.973	2.076
YLR024C	-0.021	0.578	1.623	1.808
YHR139C-A	0.165	1.367	0.006	1.800
YBR046C	0.093	0.245	0.986	1.782
YMR052W	0.418	0.734	1.538	1.761
YLR150W	0.111	-0.324	1.235	1.694
YFR008W	0.236	0.444	1.249	1.581
YGL094C	0.098	0.377	1.245	1.514
YDR417C	-0.185	1.040	0.831	1.510
YJL134W	0.200	0.423	0.831	1.492
YNL025C	-0.731	1.093	0.792	1.417
YOR012W	0.098	0.445	1.130	1.407
YDR102C	-0.036	0.909	0.337	1.402
YLR182W	-0.640	-1.024	-0.867	1.395
YML014W	2.121	1.532	1.093	1.395
YLR238W	0.171	0.444	0.963	1.387
YNL127W	0.315	0.801	1.552	1.379
YMR029C	0.219	0.236	1.100	1.377
YMR167W	-0.147	0.512	1.196	1.371
YOL089C	0.278	0.614	0.747	1.356
YOR297C	-0.005	0.715	-0.277	1.319
YNR032W	0.130	0.509	0.949	1.313
YPL135W	-0.215	0.812	-0.405	1.264
YPL113C	0.160	0.971	0.112	1.253
YLL029W	-0.036	1.367	0.044	1.252
YGR037C	0.235	0.504	0.731	1.250
YKR090W	0.173	0.480	0.825	1.237
YKL171W	0.179	0.357	0.805	1.226
YDR199W	0.136	0.461	0.870	1.203
YMR052C-A	0.200	0.588	1.360	1.202
YPL112C	-0.059	0.461	0.842	1.199
YHR124W	-0.474	-0.408	-1.446	1.197
YEL003W	0.433	1.002	-0.611	1.191
YPR060C	0.969	1.361	1.821	1.189
YFR044C	0.061	0.328	0.692	1.185
YFR032C-A	0.404	0.703	0.149	1.162
YJR070C	-0.020	0.367	0.902	1.149
YEL057C	0.110	0.343	0.910	1.132
YML062C	0.159	0.159	0.623	1.128
YMR022W	0.039	-0.021	0.666	1.122
YIL052C	-0.034	0.084	0.217	1.115
YDL230W	0.299	0.403	0.782	1.105
YHR115C	-0.231	-0.485	-0.171	1.089
YLR398C	0.310	0.403	0.947	1.059
YDR101C	-0.629	0.484	0.539	1.044
YGL139W	0.056	0.144	0.528	1.038
YKL048C	0.531	1.498	0.881	1.036
YJR131W	0.260	0.419	0.720	1.022
YOL155C	0.114	0.276	0.893	0.998
YCR030C	0.085	0.241	0.725	0.993
YHR167W	0.102	0.113	0.487	0.980
YDR179C	0.116	0.335	0.474	0.975
YPR092W	0.082	0.113	0.362	0.972
YKL046C	0.161	0.229	0.557	0.964
YKL068W	0.024	-0.040	0.656	0.955
YMR311C	0.360	0.470	0.778	0.954
YJL064W	0.369	0.402	0.226	0.954
YBR146W	0.222	0.112	0.225	0.950
YER109C	0.090	0.299	0.680	0.947
YML032C	1.520	0.300	0.594	0.944
YNL068C	0.186	0.221	0.356	0.942
