ORF	het | growth (relative abundance in pooled culture) | sodium arsenite [450 mM] | Pan X~Boeke JD, 2010
YDR212W	-2.000
YDL143W	-2.000
YJR064W	-2.000
YJL111W	-2.000
YJL009W	-2.000
YAL038W	-2.000
YLR293C	-1.500
YMR296C	-2.000
YGL092W	-2.000
YDR228C	-2.000
YMR061W	-2.000
YLR208W	-2.000
YHR172W	-2.000
YGL207W	-2.000
YLR212C	-2.000
YNL220W	-2.000
YDR264C	-2.000
YDR035W	-2.000
YPR199C	-1.500
YPR201W	-1.500
YLR433C	-2.000
YLL009C	-2.000
YBR112C	-2.000
YMR091C	-2.000
YER007W	-2.000
YPL159C	-2.000
YDR300C	-2.000
YOR265W	-1.500
YBR095C	-1.500
YDR334W	-2.000
YML124C	-1.500
YCR084C	-2.000
YBL086C	-2.000
YNL153C	-1.000
YEL003W	-1.000
YML094W	-1.000
YGR078C	-1.000
YJL179W	-1.000
YLR200W	-1.000
YPL161C	-1.000
YLR370C	-1.000
YLR371W	-1.000
YNL271C	-1.000
YNL084C	-1.000
YJR125C	-1.000
YBR200W	-1.000
YDR135C	-1.000
YFL023W	-1.000
YCR063W	-1.000
YKR061W	-1.000
YCR017C	-1.000
YDR293C	-1.000
YLR085C	-1.000
YOL012C	-1.000
YOR304W	-1.000
YNL192W	-1.000
YOL076W	-1.000
YNL138W	-1.000
YDL101C	-1.000
YBL051C	-1.000
YER177W	-1.000
YLL002W	-1.000
YDL013W	-1.000
YPR164W	-1.000
YLR320W	-1.000
YMR224C	-1.000
YCR066W	-1.000
YNL250W	-1.000
YER095W	-1.000
YML032C	-1.000
YGL163C	-1.000
YDR004W	-1.000
YJL047C	-1.000
YHR154W	-1.000
YER116C	-1.000
YDR369C	-1.000
YJR043C	-1.000
YKL113C	-1.000
YJL115W	-1.000
YGL058W	-1.000
YDL020C	-1.000
YPR135W	-1.000
YHR191C	-1.000
YCL016C	-1.000
YGL127C	-1.000
YOR080W	-1.000
YNR006W	-1.000
YHR007C	-1.000
YMR202W	-1.000
YNL280C	-1.000
YLR056W	-1.000
YML008C	-1.000
YHR067W	-1.000
YLR372W	-1.000
YLR087C	-1.000
YGL084C	-1.000
YLR148W	-1.000
YMR231W	-1.000
YLR396C	-1.000
YER014W	-1.000
YCL010C	-1.000
YNL021W	-1.000
YNL097C	-1.000
YPR179C	-1.000
YDR295C	-1.000
YNL330C	-1.000
YMR263W	-1.000
YIL084C	-1.000
YOL004W	-1.000
YLR015W	-1.000
YDR469W	-1.000
YAR003W	-1.000
YBR175W	-1.000
YDL074C	-1.000
YPL055C	-1.000
YMR077C	-1.000
YMR165C	-1.000
YOR349W	-1.000
YPL241C	-1.000
YDR150W	-1.000
YHR129C	-1.000
YER016W	-1.000
YMR294W	-1.000
YDR488C	-1.000
YJR118C	-1.000
YHR038W	-1.000
YPR120C	-1.000
YER167W	-1.000
YFR040W	-1.000
YLR079W	-1.000
YPR119W	-1.000
YFR036W	-1.000
YAL024C	-1.000
YNL298W	-1.000
YPL008W	-1.000
YOR073W	-1.000
YEL061C	-1.000
YCR065W	-1.000
YIL153W	-1.000
YGL094C	-1.000
YDR497C	-1.000
YOR371C	-1.000
YAL056W	-1.000
YBR140C	-1.000
YOL081W	-1.000
YOR360C	-1.000
YHR013C	-1.000
YEL053C	-1.000
YDL040C	-1.000
YLR113W	-1.000
YLR006C	-1.000
YNR031C	-1.000
YJL128C	-1.000
YMR038C	-1.000
YNL099C	-1.000
YHR206W	-1.000
YJR104C	-1.000
YML028W	-1.000
YML007W	-1.000
YCR028C	-1.000
YKL197C	-1.000
YDR265W	-1.000
YLR191W	-1.000
YGL153W	-1.000
YOL044W	-1.000
YNL214W	-1.000
YDL065C	-1.000
YJL210W	-1.000
YAL055W	-1.000
YDR329C	-1.000
YGR133W	-1.000
YDR244W	-1.000
YNL329C	-1.000
YGR077C	-1.000
YJR073C	-1.000
YHL020C	-1.000
YGR123C	-1.000
YJL183W	-1.000
YGL038C	-1.000
YML115C	-1.000
YOR124C	-1.000
YPL106C	-1.000
YER110C	-1.000
YBR171W	-1.000
YCL008C	-1.000
YPL084W	-1.000
YPL002C	-1.000
YJR102C	-1.000
YLR417W	-1.000
YDR136C	-1.000
YNL297C	-1.000
YKL176C	-1.000
YGR057C	-1.000
YMR275C	-1.000
YPL139C	-1.000
YNL229C	-1.000
YNL201C	-1.000
YER083C	-1.000
YFL001W	-1.000
YML016C	-1.000
YDR001C	-1.000
YNL307C	-1.000
YAL012W	-1.000
YOL138C	-1.000
YDR195W	-1.000
YNL236W	-1.000
YDR463W	-1.000
YBL024W	-1.000
YDR525W	-1.000
YLR338W	-1.000
YBL104C	-1.000
YCR082W	-1.000
YJL120W	-1.000
YKL097C	-1.000
YLL049W	-1.000
YPL066W	-1.000
YLR373C	-1.000
YNL054W	-1.000
YLR410W	1.000
YLL043W	1.000
YCR047C	1.000
YGR221C	1.000
YJL184W	1.000
YLR110C	1.000
YIL085C	1.000
YNL227C	1.000
YGL054C	1.000
YIR026C	1.000
YKR042W	1.000
YGL019W	1.000
YOR039W	1.000
YKR072C	1.000
YDR432W	1.000
YDR378C	1.000
YMR080C	1.000
YHR077C	1.000
YGR072W	1.000
YDR140W	1.000
YOR085W	1.000
YDL081C	1.000
YDR382W	1.000
YLR192C	1.000
YGR085C	1.000
YDR418W	1.000
YDL082W	1.000
YMR142C	1.000
YKL006W	1.000
YNL069C	1.000
YBL027W	1.000
YGL135W	1.000
YMR242C	1.000
YOR312C	1.000
YBR191W	1.000
YLR061W	1.000
YER117W	1.000
YGL031C	1.000
YIL052C	1.000
YDL191W	1.000
YLR185W	1.000
YJL189W	1.000
YKR094C	1.000
YPR043W	1.000
YBR031W	1.000
YML073C	1.000
YLR448W	1.000
YGL076C	1.000
YHL033C	1.000
YNL067W	1.000
YLR048W	1.000
YOR293W	1.000
YDR025W	1.000
YBR048W	1.000
YMR143W	1.000
YDL083C	1.000
YML024W	1.000
YDR450W	1.000
YML026C	1.000
YNL302C	1.000
YLR441C	1.000
YML063W	1.000
YJL136C	1.000
YGR118W	1.000
YPR132W	1.000
YER074W	1.000
YHR021C	1.000
YLR264W	1.000
YDL061C	1.000
YOR182C	1.000
YJR145C	1.000
YHR203C	1.000
YPL090C	1.000
YBR181C	1.000
YOR096W	1.000
YBL072C	1.000
YBR189W	1.000
YPL125W	1.000
YDR414C	1.000
YML106W	1.000
YPL268W	1.000
YKR024C	1.000
YPL193W	1.000
YFR001W	1.000
YBR267W	1.000
YLR068W	1.000
YOL041C	1.000
YGR159C	1.000
YGL246C	1.000
YOR001W	1.000
YHR081W	1.000
YKL143W	1.000
YPL239W	1.000
YLR418C	1.000
YMR136W	1.000
YOR123C	1.000
YLR131C	1.000
YIL128W	1.000
YGR097W	1.000
YBL067C	1.000
YDL063C	1.000
YDR161W	1.000
YGR131W	1.000
YLR111W	1.000
YLR184W	1.000
YOR309C	1.000
YDR349C	1.000
YEL062W	1.000
YDR017C	1.000
