orf	het | growth (relative abundance in pooled culture) | sodium arsenite [450 mM] | Pan X~Boeke JD, 2010
YAL012W	-3.3186197528157066
YAL024C	-3.3186197528157066
YAL038W	-6.637239505631413
YAL055W	-3.3186197528157066
YAL056W	-3.3186197528157066
YAR003W	-3.3186197528157066
YBL024W	-3.3186197528157066
YBL027W	3.3186197528157066
YBL051C	-3.3186197528157066
YBL067C	3.3186197528157066
YBL072C	3.3186197528157066
YBL086C	-6.637239505631413
YBL104C	-3.3186197528157066
YBR031W	3.3186197528157066
YBR048W	3.3186197528157066
YBR095C	-4.97792962922356
YBR112C	-6.637239505631413
YBR140C	-3.3186197528157066
YBR171W	-3.3186197528157066
YBR175W	-3.3186197528157066
YBR181C	3.3186197528157066
YBR189W	3.3186197528157066
YBR191W	3.3186197528157066
YBR200W	-3.3186197528157066
YBR267W	3.3186197528157066
YCL008C	-3.3186197528157066
YCL010C	-3.3186197528157066
YCL016C	-3.3186197528157066
YCR017C	-3.3186197528157066
YCR028C	-3.3186197528157066
YCR047C	3.3186197528157066
YCR063W	-3.3186197528157066
YCR065W	-3.3186197528157066
YCR066W	-3.3186197528157066
YCR082W	-3.3186197528157066
YCR084C	-6.637239505631413
YDL013W	-3.3186197528157066
YDL020C	-3.3186197528157066
YDL040C	-3.3186197528157066
YDL061C	3.3186197528157066
YDL063C	3.3186197528157066
YDL065C	-3.3186197528157066
YDL074C	-3.3186197528157066
YDL081C	3.3186197528157066
YDL082W	3.3186197528157066
YDL083C	3.3186197528157066
YDL101C	-3.3186197528157066
YDL143W	-6.637239505631413
YDL191W	3.3186197528157066
YDR001C	-3.3186197528157066
YDR004W	-3.3186197528157066
YDR017C	3.3186197528157066
YDR025W	3.3186197528157066
YDR035W	-6.637239505631413
YDR135C	-3.3186197528157066
YDR136C	-3.3186197528157066
YDR140W	3.3186197528157066
YDR150W	-3.3186197528157066
YDR161W	3.3186197528157066
YDR195W	-3.3186197528157066
YDR212W	-6.637239505631413
YDR228C	-6.637239505631413
YDR244W	-3.3186197528157066
YDR264C	-6.637239505631413
YDR265W	-3.3186197528157066
YDR293C	-3.3186197528157066
YDR295C	-3.3186197528157066
YDR300C	-6.637239505631413
YDR329C	-3.3186197528157066
YDR334W	-6.637239505631413
YDR349C	3.3186197528157066
YDR369C	-3.3186197528157066
YDR378C	3.3186197528157066
YDR382W	3.3186197528157066
YDR414C	3.3186197528157066
YDR418W	3.3186197528157066
YDR432W	3.3186197528157066
YDR450W	3.3186197528157066
YDR463W	-3.3186197528157066
YDR469W	-3.3186197528157066
YDR488C	-3.3186197528157066
YDR497C	-3.3186197528157066
YDR525W	-3.3186197528157066
YEL003W	-3.3186197528157066
YEL053C	-3.3186197528157066
YEL061C	-3.3186197528157066
YEL062W	3.3186197528157066
YER007W	-6.637239505631413
YER014W	-3.3186197528157066
YER016W	-3.3186197528157066
YER074W	3.3186197528157066
YER083C	-3.3186197528157066
YER095W	-3.3186197528157066
YER110C	-3.3186197528157066
YER116C	-3.3186197528157066
YER117W	3.3186197528157066
YER167W	-3.3186197528157066
YER177W	-3.3186197528157066
YFL001W	-3.3186197528157066
YFL023W	-3.3186197528157066
YFR001W	3.3186197528157066
YFR036W	-3.3186197528157066
YFR040W	-3.3186197528157066
YGL019W	3.3186197528157066
YGL031C	3.3186197528157066
YGL038C	-3.3186197528157066
YGL054C	3.3186197528157066
