ORF	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YDR161W	-12.949	-23.325	-2.685	15.025
YCR017C	-11.591	-31.141	4.010	6.250
YDR162C	-9.551	7.994	-9.532	0.983
YCR019W	-4.048	-20.381	-13.678	0.052
YDR163W	-34.544	26.588	-29.501	-19.569
YCR020C	-19.838	14.593	-19.213	-8.376
YDR165W	8.826	27.497	9.564	-2.881
YCR020C-A	-11.296	12.875	10.795	19.896
YDR169C	-25.345	11.750	3.501	-3.391
YCR021C	-12.189	12.055	-21.187	-8.492
YDR171W	-13.588	27.167	20.510	-9.238
YCR022C	-12.764	8.452	12.817	-10.799
YDR173C	-34.431	-35.119	-7.537	-30.949
YCR023C	2.940	-4.762	-4.519	-8.305
YDR175C	-1.316	-0.000	-0.000	-0.000
YDR049W	-14.941	21.376	-2.962	-86.811
YDR176W	-11.353	-19.227	-39.950	-46.601
YDR051C	-19.823	16.638	-5.716	-2.899
YDR178W	-20.540	-10.578	-5.986	-6.518
YDR055W	-11.398	18.082	-18.817	3.375
YDR179C	-8.667	5.584	-14.825	16.779
YDR056C	-30.967	-1.511	-12.476	-14.590
YDR179W-A	-62.613	-16.765	-27.556	23.009
YDR057W	-19.227	-12.238	-5.028	-0.960
YBR219C	2.781	4.915	-4.246	13.510
YBL022C	-2.054	-0.000	1.830	1.322
YBR220C	-5.187	8.943	-6.039	12.110
YBL024W	-6.942	-1.379	-24.363	-12.409
YBR221C	-17.007	1.227	-13.212	-4.845
YBL025W	-6.362	10.773	7.194	-13.412
YBR222C	-5.963	24.217	-4.413	4.788
YBL027W	-4.552	11.384	-4.521	-19.452
YBR223C	2.755	10.439	-0.997	4.981
YBL028C	-11.781	4.534	-6.360	-4.923
YBR224W	-19.506	13.460	-8.669	-8.915
YBL029W	-16.196	2.667	1.290	-18.099
YBR225W	4.633	11.938	6.214	-5.714
YBL031W	-18.281	14.528	-6.990	-37.076
YBR226C	-26.555	21.109	-15.373	-0.482
YBL032W	-51.340	-9.714	7.544	-40.937
YBR227C	-4.575	22.750	-0.738	17.617
YBL036C	-28.809	5.947	28.462	-0.765
YBR228W	-29.980	-20.733	6.604	-19.481
YBL037W	-34.139	-4.376	16.758	-7.350
YBR229C	-21.625	7.091	2.335	8.655
YBL038W	-28.900	-8.310	-2.135	2.172
YBR230C	-13.337	14.635	-6.570	12.603
YBL039C	-2.412	-16.137	-5.601	10.409
YDR148C	-1.166	-3.339	-15.239	-21.650
YCR003W	3.371	8.120	-4.814	0.489
YDR149C	2.101	-3.286	-3.631	6.364
YCR004C	-3.296	-0.000	-0.000	-0.000
YDR150W	5.247	28.005	-0.975	-5.418
YCR005C	1.527	9.155	19.409	-6.629
YDR151C	4.693	9.421	-4.479	-11.341
