orf	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YAL002W	0.0126423147982404	0.0242356370563103
YAL004W	0.00184274754809713	0.0442142111109028
YAL005C	0.00271455109084201	0.0382916110317594
YAL007C	0.00152835261183062	0.0242202567675292
YAL008W	0.00124752956018141	0.0153592531981628
YAL009W	0.00693879478693541	0.0343903118649011
YAL011W	0.00238130913303658	0.0243379892444016
YAL013W	0.00380812381789005	0.0195642578534443
YAL014C	0.00393167331326253	0.0292713069892244
YAL015C	0.00118080809527861	0.0333502223298648
YAL016W	0.004786594092045911	0.0297606868699561
YAL017W	0.00214514234368533	0.0318046095096535
YAL018C	0.00150583389043642	0.0327824930845579
YAL020C	0.00224481167333313	0.0325913343924865
YAL021C	0.0069173387749172	0.0216504208727298
YAL022C	0.00144048039742292	0.0191912040596615
YAL023C	0.00587040986402065	0.0212795654884599
YAL024C	0.001676728725818425	0.0227199351693201
YAL026C	0.00462390037960459	0.0703260509514181
YAL027W	-0.000278393330591778	0.0309167992444874
YAL028W	0.00181149559121934	0.033029884675729
YAL029C	0.00206313652093554	0.0310307747769816
YAL030W	0.0019347765563342	0.023894499696003
YAL031C	-6.13201142029662e-05	0.0157396942989169
YAL034C	0.000376556173553744	0.0250006807340162
YAL036C	0.00139428145780737	0.0276395980967067
YAL037W	0.00185899318168055	0.031401659588406
YAL042C-A	0.00291210803584222	0.0247342843472163
YAL042W	0.00217976551458267	0.026803932158832
YAL045C	0.00112362388910998	0.02583567106523
YAL046C	0.00214544410635541	0.0179352067242066
YAL047C	0.0100787217905809	0.013278822759505
YAL048C	0.00305819545378141	0.0296786406837035
YAL049C	0.00151369410652242	-0.00294508433819423
YAL051W	0.00183841958510369	0.0282482155494414
YAL053W	0.0017453270142486	0.0288775173038675
YAL054C	0.00485404816292163	0.028735635808072
YAL055W	0.00412181510400446	0.0266539990723108
YAL056C-A	0.00195412290043201	0.0174676690929873
YAL058W	7.23009273687067e-05	0.0134390823116056
YAL059W	0.00177465354178755	0.0310641314230203
YAL060W	0.00202105696119641	0.0318409126447365
YAL061W	0.00106233619608167	0.0244890684655376
YAL062W	0.00187837818710495	0.0294141051537652
YAL064C-A	0.0009466286824757299	0.02926315317835155
YAL065C	0.000295964090405563	0.0255964999710805
YAL067C	0.0020248131119475	0.0296934262136245
YAL068C	0.0020878329592157	0.02829203999674
YAR002C-A	0.00212477432868272	0.0314348438232233
YAR002W	0.00212931952281385	0.0207087072592181
YAR003W	0.0014649226002859	0.0236305852549724
YAR014C	0.00140836632644133	0.0272715922293653
YAR018C	0.00159923487535182	0.0285223980469303
YAR020C	0.00150786126134552	0.0342505353640365
YAR023C	-0.000580805334494581	0.033720336715938
YAR028W	0.00167156563671391	0.0306646770779285
YAR029W	0.00175731054764482	0.0263072788365819
YAR030C	0.00175664359827468	0.0238566461328689
YAR031W	0.00103843894794973	0.0294908518010423
YAR035W	0.00120321765773119	0.0287815690231522
YAR042W	0.00200116160404846	0.029294945973451
YAR047C	0.00228010455555831	0.0311902537225193
YAR050W	0.002990477397117315	0.0251106842143252
YBL001C	0.00270909176152533	0.0283914822973043
YBL002W	0.00243539802977697	0.0233607122203411
YBL003C	0.002590544333234265	0.0233961764032323
YBL005W	0.0021359378557895903	0.018461152163675852
