orf	hap alpha | chronological lifespan | phosphate starvation | phosphate limiting | Gresham D~Botstein D, 2011	hap alpha | chronological lifespan | leucine starvation | leucine limiting | Gresham D~Botstein D, 2011
YAL002W	-0.16401467722354143	-0.35634741961580113
YAL004W	-0.09149046118062872	-0.3563478755305804
YAL005C	-0.11875661619983702	-0.356347789987991
YAL007C	-0.0740259968687004	-0.3563474189750834
YAL008W	-0.05098360925640159	-0.3563468365104342
YAL009W	-0.15384279184093166	-0.35634771754356
YAL011W	-0.11069141860962833	-0.35634742385900114
YAL013W	-0.13530698676147157	-0.35634717870137406
YAL014C	-0.136597973028766	-0.3563475931944108
YAL015C	-0.043897553945092746	-0.3563476953681641
YAL016W	-0.1431857341039548	-0.35634759352774603
YAL017W	-0.10345845859576915	-0.3563476597355722
YAL018C	-0.07249521880847724	-0.3563476826701425
YAL020C	-0.10669659128989868	-0.3563476782950682
YAL021C	-0.15377285676567568	-0.35634729913673674
YAL022C	-0.067781610215581	-0.35634715440500575
YAL023C	-0.1497393865423617	-0.3563472794528439
YAL024C	-0.08213706169269923	-0.35634734527948775
YAL026C	-0.14255503084105556	-0.3563480808806553
YAL027W	-0.7383559432120478	-0.3563476376569955
YAL028W	-0.09002577958342338	-0.35634768825704904
YAL029C	-0.10055958192213896	-0.3563476405620882
YAL030W	-0.09552874850122896	-0.3563474052108296
YAL031C	-2.727716905708744	-0.3563468749923372
YAL034C	0.2390801023047948	-0.35634745049140504
YAL036C	-0.06418292934748479	-0.35634754387653694
YAL037W	-0.09223238983871684	-0.3563476498695086
YAL042C-A	-0.12266642870118681	-0.356347439956936
YAL042W	-0.10461688934876061	-0.35634751629376105
YAL045C	-0.03715468152434192	-0.35634748210292433
YAL046C	-0.10346871656342796	-0.35634706517403625
YAL047C	-0.16086702927136723	-0.35634658707449424
YAL048C	-0.1252327393376016	-0.35634760466008825
YAL049C	-0.07303471505837782	-0.3563567316445148
YAL051W	-0.09129059367584824	-0.3563475629380409
YAL053W	-0.08675156729156386	-0.35634758180246595
YAL054C	-0.14415924881642542	-0.35634757762146185
YAL055W	-0.13843358457457774	-0.356347511161933
YAL056C-A	-0.09632929276366653	-0.3563470286809383
YAL058W	1.987450994005629	-0.35634660903438825
YAL059W	-0.08823285487897939	-0.3563476414082746
YAL060W	-0.09898075763459944	-0.3563476606121774
YAL061W	-0.029122020080902592	-0.3563474300574537
YAL062W	-0.09310089864360853	-0.3563475972500599
YAL064C-A	-0.009189823880752401	-0.3563475915650892
YAL065C	0.35221399238771833	-0.35634747325902355
YAL067C	-0.09912435571945286	-0.3563476050703566
YAL068C	-0.10145655568486511	-0.3563475642789417
YAR002C-A	-0.10275934312636331	-0.3563476506915684
YAR002W	-0.10291651250008599	-0.35634724777555354
YAR003W	-0.06959373226367586	-0.3563473937813557
YAR014C	-0.06530509209739102	-0.3563475319380846
YAR018C	-0.07856301896171078	-0.3563475712594749
YAR020C	-0.07263490834983403	-0.35634771464176856
YAR023C	-0.44575297008488096	-0.3563477034160319
YAR028W	-0.08279609901744005	-0.35634763115399765
YAR029W	-0.08736283111837015	-0.3563474990705386
YAR030C	-0.0873290300968422	-0.3563474035870206
YAR031W	-0.025733000505497657	-0.35634759941353533
YAR035W	-0.046365177972510024	-0.35634757897954716
YAR042W	-0.09821116632243838	-0.3563475938685188
YAR047C	-0.10777534321678262	-0.3563476445913671
YAR050W	-0.11554261814610453	-0.3563474547762148
YBL001C	-0.11864047489821308	-0.35634756730623385
YBL002W	-0.11180873708048844	-0.3563473810168229
YBL003C	-0.11599645199623386	-0.3563473830450132
YBL005W	-0.10299104928995677	-0.35634708966850104
YBL006C	-0.14944911481391296	-0.3563478630667662
YBL007C	-0.11239328971129009	-0.3563479477230175
YBL008W	-0.10562574483544948	-0.35634771091878015
YBL009W	-0.10951337266378196	-0.3563475676335787
YBL010C	-0.12266241829774303	-0.3563477754214777
YBL011W	-0.12313123322868784	-0.35634762302909306
YBL012C	-0.12321948920326839	-0.3563476071602937
YBL013W	-0.11565837131333521	-0.35634772052935176
YBL015W	-0.028180207171628835	-0.35634754865619855
YBL016W	-0.10444500002071401	-0.3563478639621467
YBL017C	-0.09001441485550857	-0.3563475967535372
YBL019W	-0.14333576080642232	-0.3563479492620292
YBL021C	-0.14654993222226598	-0.3563480558153996
YBL024W	-0.08266460599834004	-0.3563478196087633
YBL027W	-0.14911257190884702	-0.35634573456317203
YBL028C	-0.10417003763770713	-0.3563472167862131
YBL029W	-0.10151805885554226	-0.356347480550155
YBL031W	-0.1517419505581698	-0.35634818317998673
YBL032W	-0.11894725555334813	-0.35634822543852945
YBL036C	-0.1373315400307799	-0.3563479888278442
YBL037W	-0.062348126461573575	-0.35634743347438796
YBL038W	-0.141210852718801	-0.3563482410369682
YBL039C	-0.20557363694884562	-0.3563472364021896
YBL042C	-0.11602865672102856	-0.3563475282998213
YBL043W	-0.21087073254261512	-0.35634784965678595
YBL044W	-0.09082184543827769	-0.3563476645051489
YBL045C	-0.14841188967415053	-0.35634805357318317
YBL046W	-0.15236115890739238	-0.35634797955113223
YBL047C	-0.12434999351528363	-0.3563477297915411
YBL048W	-0.11433662365732211	-0.3563475800629137
YBL049W	-0.12074616343196372	-0.35634765225393344
YBL051C	-0.1429476273504218	-0.35634730022299915
YBL053W	-0.11223592081326692	-0.3563481293189956
YBL054W	-0.04580372518350775	-0.35634784765259886
YBL055C	-0.11066219927901755	-0.35634772059677533
YBL056W	-0.11414625748470712	-0.35634770887779105
YBL057C	-0.13424061970029202	-0.3563480156086969
YBL059W	-0.10876488185656952	-0.3563476161936732
YBL060W	-0.1263332455071311	-0.3563464114995895
YBL061C	-0.12665935167509285	-0.3563477670307223
YBL062W	-0.13567827501637594	-0.35634811935894734
YBL063W	-0.10199850664821779	-0.3563475568437402
YBL064C	-0.11837258896759617	-0.3563479204740811
YBL065W	-0.13400246049056572	-0.3563470944807454
YBL066C	-0.14887394051738553	-0.3563472617779915
YBL067C	-0.12117242244041022	-0.3563473769227189
YBL068W	-0.10669300409963813	-0.35634761103868395
YBL069W	-0.11363306487924874	-0.35634763816594345
YBL070C	-0.11021756187891746	-0.3563475946827342
YBL071C	-0.11836611823421163	-0.3563476455146624
YBL072C	-0.1320553981923093	-0.35634765074916464
YBL075C	-0.09803553957023725	-0.35634766286023106
YBL078C	-0.16183898947501787	-0.3563477316418933
YBL079W	-0.14415285006961215	-0.35634810483805407
YBL080C	-0.15116041613862768	-0.3563480567754301
YBL081W	-0.11091311864509303	-0.35634766767792014
YBL082C	-0.14046342960989688	-0.356348025656249
YBL083C	-0.14606563151256965	-0.356347842894283
YBL085W	-0.10531791132995015	-0.35634769844690856
YBL086C	-0.10266822741630591	-0.3563474074305595
YBL087C	0.057102376990788795	-0.3563477165368976
YBL089W	-0.11176818405245129	-0.3563476533014313
YBL090W	-0.14392328450955688	-0.35634815302626704
YBL091C	-0.10788562109205833	-0.35634757555628566
YBL091C-A	-0.04633084794228406	-0.3563477335532945
YBL093C	-0.15976600290749732	
YBL094C	-0.13842146443218362	-0.35634761989505864
YBL095W	-0.11828102776977265	-0.35634767146776647
YBL096C	-0.12029337983157502	-0.3563476699912114
YBL098W	-0.10928734043690998	-0.3563475473200163
YBL099W	-0.14190097527000262	-0.356348078700044
YBL100C	-0.1509008376502996	-0.35634807414281944
YBL102W	-0.11114077741468298	-0.35634773962815286
YBL103C	-0.11759828550406652	-0.3563477622196974
YBL104C	-0.11045217228139018	-0.35634754754966974
YBL106C	-0.10627049073978918	-0.35634766150226077
YBL107C	-0.10855927146401789	-0.3563476697123171
YBR001C	-0.06314841087315311	-0.3563474210506224
YBR003W	-0.1544655480308649	-0.35634795181915396
YBR005W	-0.101004023881753	-0.3563475727454121
YBR006W	-0.12258205212450123	-0.3563472453009284
YBR007C	-0.11826819027984006	-0.35634760530835324
YBR008C	-0.11251397115976204	-0.3563474052169647
YBR009C	-0.1128113928681016	-0.3563471051939904
YBR010W	-0.11769933891930709	-0.35634741738525494
YBR011C	-0.16946164705344316	
YBR012C	-0.11229889846645669	-0.3563472979299649
YBR013C	-0.10491875188248397	-0.35634761418279953
YBR014C	-0.11065522098960408	-0.35634759586027104
YBR015C	-0.08274740065581439	-0.35634786210833885
YBR016W	-0.11482077564688387	-0.35634763123734325
YBR019C	-0.11014316781671972	-0.3563475790262187
YBR020W	-0.1647650578589769	-0.35634745371408366
YBR021W	-0.1619105197469158	-0.35634747332126426
YBR022W	-0.1321337753554417	-0.3563477146327886
YBR023C	-0.11446002817731077	-0.35634781080071476
YBR024W	-0.09945077731661452	-0.35634769200292843
YBR025C	-0.1111871428149575	-0.3563475862703216
YBR026C	-0.1398837853140498	-0.356347926338165
YBR027C	-0.10925813514226616	-0.3563474630997789
YBR028C	-0.06433830752875201	-0.3563475807401445
YBR030W	-0.10447423387633142	-0.3563477196594866
YBR031W	-0.13866385287519792	-0.3563470782305317
YBR032W	-0.10731484198872115	-0.3563476437085615
YBR033W	-0.11164578003673171	-0.3563476271588399
YBR034C	-0.09777239388608187	-0.3563478706229812
YBR035C	-0.37030103251088325	-0.35634702135060803
