orf	hap a | growth (culture turbidity) | 4-chlorophenol [1 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | 2,4-dichlorophenol [0.3 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | pentachlorophenol [0.156 mM] | Yadav V~Yadav J, 2011
YAL012W	-1.0		
YBR077C	-1.0		
YBR081C	-1.0		
YBR106W	-1.0	-1.0	
YBR125C	-1.0		
YBR189W	-1.0		
YBR283C	-1.0		
YBR288C	-1.0		
YCR024C	-1.0	-1.0	
YCR044C	-1.0	-1.0	
YDL047W	-1.0	-1.0	
YDL063C	-1.0	-1.0	
YDL116W	-1.0		
YDL160C	-1.0	-1.0	
YDL172C	-1.0		
YDR017C	-1.0		
YDR027C	-1.0		
YDR065W	-1.0	-1.0	
YDR127W	-1.0	-1.0	-1.0
YDR136C	-1.0		
YDR137W	-1.0		
YDR149C	-1.0		
YDR200C	-1.0		-1.0
YDR207C	-1.0		
YDR298C	-1.0	-1.0	-1.0
YDR300C	-1.0	-1.0	
YDR382W	-1.0		
YDR470C	-1.0		
YEL050C	-1.0	-1.0	-1.0
YER044C	-1.0	-1.0	
YER083C	-1.0	-1.0	-1.0
YER087W	-1.0		
YER122C	-1.0	-1.0	
YER131W	-1.0		-1.0
YGL012W	-1.0		
YGL020C	-1.0		
YGL070C	-1.0	-1.0	
YGL240W	-1.0	-1.0	
YGR155W	-1.0		
YGR167W	-1.0		-1.0
YHL025W	-1.0		-1.0
YHR011W	-1.0	-1.0	
YHR013C	-1.0		
YHR064C	-1.0		
YHR120W	-1.0	-1.0	
YIL134W	-1.0	-1.0	
YJL006C	-1.0		
YJL029C	-1.0		
YJL056C	-1.0		
YJL177W	-1.0		-1.0
YJL189W	-1.0		-1.0
YJR113C	-1.0		-1.0
YKL010C	-1.0		
YKL011C	-1.0		
YKL015W	-1.0		
YKL016C	-1.0	-1.0	
YKL017C	-1.0		
YKL020C	-1.0		
YKL023W	-1.0		
YKL026C	-1.0		
YKL031W	-1.0		
YKL032C	-1.0		
YKL034W	-1.0		
YKL037W	-1.0		
YKL038W	-1.0		
YKL039W	-1.0		
