orf	hap a | growth (culture turbidity) | 4-chlorophenol [1 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | 2,4-dichlorophenol [0.3 mM] | Yadav V~Yadav J, 2011	hap a | growth (culture turbidity) | pentachlorophenol [0.156 mM] | Yadav V~Yadav J, 2011
YAL012W	-5.873334912307146		
YBR077C	-5.873334912307146		
YBR081C	-5.873334912307146		
YBR106W	-5.873334912307146	-5.851014869234225	
YBR125C	-5.873334912307146		
YBR189W	-5.873334912307146		
YBR283C	-5.873334912307146		
YBR288C	-5.873334912307146		
YCR024C	-5.873334912307146	-5.851014869234225	
YCR044C	-5.873334912307146	-5.851014869234225	
YDL047W	-5.873334912307146	-5.851014869234225	
YDL063C	-5.873334912307146	-5.851014869234225	
YDL116W	-5.873334912307146		
YDL160C	-5.873334912307146	-5.851014869234225	
YDL172C	-5.873334912307146		
YDR017C	-5.873334912307146		
YDR027C	-5.873334912307146		
YDR065W	-5.873334912307146	-5.851014869234225	
YDR127W	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YDR136C	-5.873334912307146		
YDR137W	-5.873334912307146		
YDR149C	-5.873334912307146		
YDR200C	-5.873334912307146		-5.7018515511289065
YDR207C	-5.873334912307146		
YDR298C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YDR300C	-5.873334912307146	-5.851014869234225	
YDR382W	-5.873334912307146		
YDR470C	-5.873334912307146		
YEL050C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YER044C	-5.873334912307146	-5.851014869234225	
YER083C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YER087W	-5.873334912307146		
YER122C	-5.873334912307146	-5.851014869234225	
YER131W	-5.873334912307146		-5.7018515511289065
YGL012W	-5.873334912307146		
YGL020C	-5.873334912307146		
YGL070C	-5.873334912307146	-5.851014869234225	
YGL240W	-5.873334912307146	-5.851014869234225	
YGR155W	-5.873334912307146		
YGR167W	-5.873334912307146		-5.7018515511289065
YHL025W	-5.873334912307146		-5.7018515511289065
YHR011W	-5.873334912307146	-5.851014869234225	
YHR013C	-5.873334912307146		
YHR064C	-5.873334912307146		
YHR120W	-5.873334912307146	-5.851014869234225	
YIL134W	-5.873334912307146	-5.851014869234225	
YJL006C	-5.873334912307146		
YJL029C	-5.873334912307146		
YJL056C	-5.873334912307146		
YJL177W	-5.873334912307146		-5.7018515511289065
YJL189W	-5.873334912307146		-5.7018515511289065
YJR113C	-5.873334912307146		-5.7018515511289065
YKL010C	-5.873334912307146		
YKL011C	-5.873334912307146		
YKL015W	-5.873334912307146		
YKL016C	-5.873334912307146	-5.851014869234225	
YKL017C	-5.873334912307146		
YKL020C	-5.873334912307146		
YKL023W	-5.873334912307146		
YKL026C	-5.873334912307146		
YKL031W	-5.873334912307146		
YKL032C	-5.873334912307146		
YKL034W	-5.873334912307146		
YKL037W	-5.873334912307146		
YKL038W	-5.873334912307146		
YKL039W	-5.873334912307146		
YKL040C	-5.873334912307146		
YKL041W	-5.873334912307146		
YKL048C	-5.873334912307146		
YKL054C	-5.873334912307146		
YKL057C	-5.873334912307146		
YKL169C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YKR006C	-5.873334912307146	-5.851014869234225	
YKR020W	-5.873334912307146		
YKR082W	-5.873334912307146		
YLL027W	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YLR030W	-5.873334912307146		
YLR039C	-5.873334912307146		
YLR052W	-5.873334912307146		
YLR056W	-5.873334912307146	-5.851014869234225	
YLR139C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YLR148W	-5.873334912307146		-5.7018515511289065
YLR189C	-5.873334912307146		
YLR190W	-5.873334912307146		
YLR191W	-5.873334912307146		
YLR192C	-5.873334912307146		
YLR193C	-5.873334912307146		
YLR194C	-5.873334912307146		
YLR199C	-5.873334912307146		
YLR201C	-5.873334912307146		
YLR203C	-5.873334912307146		
YLR206W	-5.873334912307146		
YLR209C	-5.873334912307146		
YLR210W	-5.873334912307146		
YLR211C	-5.873334912307146		
YLR213C	-5.873334912307146		
YLR214W	-5.873334912307146		
YLR219W	-5.873334912307146		
YLR224W	-5.873334912307146		
YLR225C	-5.873334912307146		
YLR261C	-5.873334912307146		
YLR262C	-5.873334912307146		
YLR320W	-5.873334912307146		-5.7018515511289065
YLR358C	-5.873334912307146	-5.851014869234225	
YLR373C	-5.873334912307146		
YLR396C	-5.873334912307146	-5.851014869234225	
YLR447C	-5.873334912307146		
YML129C	-5.873334912307146		
YMR014W	-5.873334912307146		
YMR125W	-5.873334912307146		-5.7018515511289065
YMR142C	-5.873334912307146		-5.7018515511289065
YMR313C	-5.873334912307146		
YNL073W	-5.873334912307146	-5.851014869234225	
YNL220W	-5.873334912307146	-5.851014869234225	
YNL284C	-5.873334912307146	-5.851014869234225	
YNL315C	-5.873334912307146		
YOL072W	-5.873334912307146		
YOL107W	-5.873334912307146		
YOR192C	-5.873334912307146		
YOR241W	-5.873334912307146	-5.851014869234225	
YOR290C	-5.873334912307146	-5.851014869234225	
YOR323C	-5.873334912307146		
YPL129W	-5.873334912307146		-5.7018515511289065
YPL148C	-5.873334912307146	-5.851014869234225	
YPL183W-A	-5.873334912307146	-5.851014869234225	
YPR060C	-5.873334912307146	-5.851014869234225	-5.7018515511289065
YPR072W	-5.873334912307146		
YAL010C		-5.851014869234225	
YBL002W		-5.851014869234225	
