orf	hap a | growth (spot assay) | acetic acid [70-110 mM], pH [4.5] | Mira NP~Sa Correia I, 2010
YAL002W	-1.0
YAL011W	-1.0
YAL012W	-1.0
YAL013W	-1.0
YAL021C	-2.0
YAL023C	-1.0
YAL044C	-1.0
YAL056C-A	-1.0
YAL056W	-1.0
YAR003W	-1.0
YBL024W	-2.0
YBL094C	-2.0
YBL099W	-2.0
YBL100C	-2.0
YBL103C	-2.0
YBR011C	-2.0
YBR015C	-1.0
YBR058C	-1.0
YBR077C	-1.0
YBR078W	-1.0
YBR082C	-1.0
YBR093C	-1.0
YBR095C	-2.0
YBR101C	-2.0
YBR103W	-1.0
YBR106W	-1.0
YBR119W	-1.0
YBR120C	-1.0
YBR122C	-1.5
YBR126C	-2.0
YBR132C	-1.0
YBR147W	-1.0
YBR163W	-2.0
YBR164C	-2.0
YBR171W	-2.0
YBR174C	-2.0
YBR175W	-2.0
YBR176W	0.0
YBR178W	-2.0
YBR187W	-2.0
YBR191W	-2.0
YBR196C-A	-1.0
YBR197C	-1.0
YBR199W	-1.0
YBR204C	0.0
YBR208C	-2.0
YBR209W	-1.0
YBR213W	-2.0
YBR215W	-2.0
YBR217W	-2.0
YBR218C	-2.0
YBR227C	-1.0
YBR229C	-1.0
YBR238C	-2.0
YBR240C	-1.0
YBR241C	-1.0
YBR246W	-1.0
YBR248C	-2.0
YBR253W	-2.0
YBR260C	-2.0
YBR279W	-1.0
YBR283C	-2.0
YBR288C	-1.0
YCL001W-B	-1.0
YCL008C	-2.0
YCL032W	-2.0
YCL033C	-1.0
YCL036W	-1.0
YCL045C	-1.0
YCL046W	-1.0
YCL050C	-1.0
YCL056C	-1.0
YCL063W	-1.0
YCR009C	-2.0
YCR017C	-1.0
YCR020W-B	-1.0
YCR024C	-2.0
YCR024C-A	-2.0
YCR032W	-1.0
YCR033W	-1.0
YCR044C	-1.0
YCR047C	-1.0
YCR063W	-1.0
YCR068W	-1.0
YCR077C	-1.0
YCR081W	-1.0
YCR084C	-2.0
YCR100C	-2.0
YCR101C	-2.0
YDL006W	-1.0
YDL040C	-1.0
YDL067C	-1.0
YDL069C	-1.0
YDL074C	-1.0
YDL075W	-2.0
YDL077C	-2.0
YDL081C	-2.0
YDL095W	-1.0
YDL099W	-1.0
YDL107W	-1.0
YDL114W	-2.0
YDL115C	-2.0
YDL117W	-2.0
YDL118W	-1.0
YDL119C	-1.0
YDL127W	-2.0
YDL138W	-2.0
YDL142C	-2.0
YDL160C	-1.0
YDL167C	-1.0
YDL170W	-2.0
YDL172C	-1.0
YDL173W	-2.0
YDL175C	-2.0
YDL177C	-2.0
YDL184C	-2.0
YDL185W	-1.0
YDL189W	-2.0
YDL192W	-2.0
