orf	hom | endoglucanase activity (C. thermocellum cel8A) | expression of Clostridium thermocellum cel8A [NA] | Kitagawa T~Imaeda T, 2011
YBL027W	9.103445901016125
YBR036C	9.103445901016125
YCR044C	9.103445901016125
YCR047C	9.103445901016125
YDR065W	9.103445901016125
YDR080W	9.103445901016125
YDR162C	9.103445901016125
YDR174W	9.103445901016125
YDR448W	9.103445901016125
YDR495C	9.103445901016125
YEL062W	9.103445901016125
YGL095C	9.103445901016125
YGL234W	9.103445901016125
YGR020C	9.103445901016125
YGR157W	9.103445901016125
YGR252W	9.103445901016125
YGR285C	9.103445901016125
YHL023C	9.103445901016125
YHR183W	9.103445901016125
YIL008W	9.103445901016125
YIL153W	9.103445901016125
YJR033C	9.103445901016125
YJR073C	9.103445901016125
YJR102C	9.103445901016125
YKL118W	9.103445901016125
YKL212W	9.103445901016125
YLL006W-A	9.103445901016125
YLR025W	9.103445901016125
YLR056W	9.103445901016125
YLR226W	9.103445901016125
YLR242C	9.103445901016125
YLR337C	9.103445901016125
YLR338W	9.103445901016125
YLR403W	9.103445901016125
YLR417W	9.103445901016125
YML001W	9.103445901016125
YML008C	9.103445901016125
YMR029C	9.103445901016125
YMR142C	9.103445901016125
YMR194W	9.103445901016125
YMR299C	9.103445901016125
YNL120C	9.103445901016125
YNL133C	9.103445901016125
YNL228W	9.103445901016125
YNL297C	9.103445901016125
YNR006W	9.103445901016125
YOL138C	9.103445901016125
YOR331C	9.103445901016125
YOR375C	9.103445901016125
YPL002C	9.103445901016125
YPL045W	9.103445901016125
YPL065W	9.103445901016125
YPL090C	9.103445901016125
YPL193W	9.103445901016125
YPR173C	9.103445901016125
