ORF	Growth, colony size; Iron, Fe(NH4)2(SO4)2 (10 mM)	Growth, colony size; Copper, CuCl2 (7 mM)	Growth, colony size; Manganese, MnCl2 (4 mM)	Growth, colony size; Nickel, NiCl2 (3 mM)	Growth, colony size; Zinc, ZnCl2 (7 mM)	Growth, colony size; Cobalt, CoCl2 (2.5 mM)
YMR252C	0.866	1.021	0.973	1.037	1.036	1.028
YLL040C	0.711	1.137	1.042	1.390	1.020	0.892
YNL276C	1.146	1.049	0.945	0.982	0.849	1.176
YAL068C	0.875	1.029	0.939	0.970	1.009	1.002
YMR253C	0.901	1.120	1.000	1.041	1.074	0.923
YNL275W	0.844	1.088	1.047	1.032	1.101	0.971
YAL067C	1.058	1.062	0.787	0.825	1.049	0.698
YMR254C	1.187	0.970	1.008	1.212	1.028	1.174
YLL041C	1.016	1.075	0.806	1.008	0.884	1.151
YNL273W	0.918	1.056	0.996	1.021	1.115	0.893
YAL066W	0.972	1.163	1.086	1.002	1.055	1.042
YMR255W	0.945	1.094	1.043	1.077	1.117	0.978
YLL042C	0.842	1.082	0.981	0.977	1.116	0.892
YNL271C	1.080	0.485	1.053	0.944	0.914	0.937
YAL065C	0.830	1.110	1.058	1.083	1.138	0.893
YLL043W	0.820	1.020	0.934	1.058	1.074	0.758
YNL270C	1.258	1.072	1.100	0.966	0.896	1.105
YAL062W	0.779	1.114	1.126	1.149	1.089	0.969
YMR256C	0.693	1.044	1.266	1.318	0.975	0.842
YLL045C	0.693	0.933	1.054	1.105	1.139	1.031
YAL061W	0.836	0.914	0.941	0.892	1.165	1.018
YMR257C	0.755	1.330	1.239	1.278	0.960	0.889
YLL046C	1.034	0.982	1.028	0.847	0.940	1.104
YNL269W	1.229	0.975	0.945	0.903	0.989	0.973
YAL060W	0.896	1.022	1.076	1.075	1.116	1.056
YMR258C	1.229	0.936	0.880	0.906	0.861	0.900
YLL047W	0.750	1.068	1.019	0.927	1.065	0.992
YNL268W	1.137	1.004	0.943	1.033	1.077	0.896
YAL059W	0.910	0.887	1.147	1.001	1.126	1.052
YMR259C	0.999	0.867	0.829	0.974	0.953	1.127
YLL051C	1.063	0.885	0.992	1.105	1.098	1.055
YNL266W	1.153	1.018	0.991	0.970	0.960	0.966
YAL058W	0.988	0.705	0.934	1.066	0.903	0.991
YMR261C	1.195	1.082	0.997	1.057	0.902	1.131
YLL052C	0.876	0.949	0.722	0.850	1.067	0.771
YNL265C	0.914	0.893	1.057	1.141	1.059	1.034
YAL056W	0.940	0.825	0.960	0.938	0.975	1.124
YMR262W	1.006	0.839	1.000	0.951	0.974	1.060
YLL053C	0.916	0.715	0.938	0.982	1.026	0.910
YNL264C	1.188	0.953	1.005	0.942	0.854	1.113
YAL055W	0.847	0.907	1.072	1.024	1.082	1.050
YNL047C	1.020	0.853	1.006	0.890	0.967	1.106
YLL054C	0.938	0.967	0.775	1.212	1.112	1.004
YNL259C	1.345	1.084	0.412	0.851	0.996	0.309
YPL222W	20.996	0.979	0.942	0.960	0.940	1.244
YEL067C	0.871	1.125	0.928	0.882	1.028	0.821
YPL102C	18.812	1.169	1.089	1.164	1.011	0.951
YGR153W	0.870	0.964	1.035	0.984	0.961	1.144
YPL221W	19.811	1.144	1.072	1.078	1.011	1.106
YEL068C	0.896	1.143	1.090	1.042	1.039	1.054
YPL100W	0.923	1.089	1.063	1.046	0.986	1.078
YGR154C	1.085	0.869	1.016	0.935	0.919	1.153
YPL220W	1.112	0.823	0.883	0.964	0.982	1.088
YEL071W	0.897	1.090	1.040	0.976	1.009	0.920
YPL099C	1.190	1.209	0.774	0.849	1.034	0.707
YGR157W	0.899	0.193	1.002	1.098	1.098	0.699
YPL219W	1.500	1.102	0.923	0.908	0.820	1.143
YEL072W	1.148	0.903	0.983	0.976	0.988	1.020
YPL098C	1.346	1.264	1.030	0.893	0.919	0.283
YGR159C	1.467	0.458	1.012	0.891	1.015	1.352
YPL216W	1.516	1.093	0.942	0.885	0.826	1.044
YER001W	1.329	0.798	0.782	0.961	1.166	1.312
YPL097W	1.353	0.791	0.770	0.936	1.068	1.320
YGR160W	0.736	0.910	1.189	0.827	0.885	1.151
YPL215W	1.082	1.069	1.019	1.026	0.934	1.179
YER002W	1.146	1.049	0.959	0.933	1.154	0.312
YPL096W	0.934	1.036	1.141	1.055	1.050	1.204
YGR161C	1.114	0.965	1.046	1.052	1.083	0.988
YPL214C	1.101	1.169	0.997	0.921	0.872	1.051
YER004W	0.997	0.707	0.876	0.966	0.962	1.313
YPL095C	0.992	1.079	0.816	0.847	1.156	0.783
YGR163W	0.888	1.185	1.093	1.088	1.030	0.972
YPL213W	0.963	1.128	1.145	1.105	1.041	1.228
YER005W	1.069	0.978	0.814	0.937	1.106	0.706
YPL092W	0.984	1.081	0.825	0.928	1.121	0.708
YGR164W	0.952	0.743	1.000	0.927	0.938	0.907
YER007C-A	0.820	0.994	1.063	0.936	1.048	1.171
YBR174C	1.294	1.241	1.074	1.224	1.011	1.060
YGR165W	1.250	1.142	1.348	1.280	0.978	0.698
YPL212C	1.110	1.049	0.717	0.803	1.027	0.737
YER007W	0.811	1.034	1.008	1.033	1.023	1.012
YGR166W	0.918	0.881	0.977	1.024	0.924	0.709
YPL208W	0.938	1.016	1.052	0.991	1.002	1.049
YER010C	0.850	0.949	0.978	0.959	1.092	0.944
YBR175W	1.173	1.235	1.103	1.259	0.968	1.021
YOL153C	0.964	0.877	1.026	0.956	0.955	1.116
YPL207W	1.148	0.866	0.996	0.894	0.865	1.135
YER011W	0.984	0.810	1.047	0.930	0.993	0.869
YBR176W	0.907	1.023	1.130	1.122	1.023	1.069
YGR168C	0.979	1.042	0.947	0.951	0.999	1.078
YLR119W	0.798	0.957	1.017	1.346	1.013	0.673
YOR088W	0.903	1.133	1.114	1.037	1.018	1.073
YMR035W	0.575	1.254	1.181	1.246	1.060	1.034
YOL019W	0.970	1.068	1.018	0.951	0.936	1.217
YLR120C	0.812	1.147	1.111	1.082	1.044	1.174
YOR089C	0.956	1.039	1.054	1.241	0.932	0.753
YMR036C	1.069	0.921	0.756	0.812	1.111	0.787
YOL020W	1.160	1.070	1.202	1.103	1.073	1.117
YOR090C	1.099	1.028	0.946	1.044	1.009	1.059
YMR039C	0.874	1.008	1.148	1.023	0.895	1.180
YOL023W	0.951	1.490	1.297	1.331	0.992	1.012
YLR121C	0.958	1.085	1.088	1.064	1.102	1.056
YOR091W	1.127	0.746	0.924	1.021	1.034	1.160
