orf	hap alpha | growth (exponential growth rate) | standard [standard] | Yoshikawa K~Shimizu H, 2011
YAL002W	0.3366598419798888
YAL004W	0.3358334304163904
YAL005C	0.34851001912235013
YAL007C	0.3092042312124829
YAL008W	0.3350249216579321
YAL009W	0.3178057383796436
YAL011W	0.32450442466344137
YAL012W	0.33577969014508535
YAL013W	0.27154619928695034
YAL014C	0.3400808214789487
YAL015C	0.34231727370496634
YAL016W	0.34745513696591335
YAL017W	0.33573033496985216
YAL018C	0.34245855654593743
YAL019W	0.3356979645387229
YAL020C	0.3160358125127672
YAL021C	0.296912953278894
YAL022C	0.32673308003348767
YAL023C	0.34778852583398856
YAL024C	0.3388293655739658
YAL027W	0.3402426472733656
YAL028W	0.34568438563519766
YAL029C	0.35734529537161897
YAL030W	0.32804276018250195
YAL031C	0.3001155908255059
YAL034C	0.3081651019730055
YAL035W	0.3362105643183998
YAL036C	0.3350038322200326
YAL037W	0.34183923866497495
YAL039C	0.326748605157539
YAL040C	0.3446091348447089
YAL042C-A	0.3559541516578282
YAL042W	0.3590373219626388
YAL044C	0.33813201158566564
YAL045C	0.3305145550806569
YAL046C	0.34005614633109266
YAL047C	0.22291567915243587
YAL048C	0.3388636940460887
YAL049C	0.3377739681542934
YAL051W	0.3452761664023182
YAL053W	0.34242683064075297
YAL054C	0.335113314815333
YAL055W	0.3347766766447161
YAL056C-A	0.3215881375473759
YAL056W	0.3448223257586393
YAL058W	0.3098604344498751
YAL059W	0.32478888779354087
YAL060W	0.3375436773122495
YAL061W	0.32951906035025974
YAL062W	0.3544224171325439
YAL064C-A	0.3313811293987891
YAL065C	0.3277040936174992
YAL066W	0.3508243466411006
YAL067C	0.35548647688802837
YAL068C	0.35519772081186196
YAR002C-A	0.35565399614766774
YAR002W	0.33014231159394947
YAR003W	0.2875093190101927
YAR014C	0.3089252520724973
YAR015W	0.33356104039723683
YAR018C	0.30954050528221766
YAR020C	0.3282687515131574
YAR023C	0.35147042456981115
YAR027W	0.34125499955112937
YAR028W	0.33823770855833735
YAR029W	0.34147242809615075
YAR030C	0.34536821484358604
YAR031W	0.3413671636658812
YAR035W	0.3446884878060983
YAR042W	0.3458931072652499
YAR047C	0.3288835858500251
YAR050W	0.3317584590458965
YBL001C	0.3270797864109523
YBL002W	0.33041755525805594
YBL003C	0.3303711568243472
YBL005W	0.3305457639089472
YBL006C	0.2669022177271949
YBL007C	0.33331061522207805
YBL008W	0.2854385903387193
YBL009W	0.3247568561552674
YBL010C	0.3300036141361342
YBL011W	0.3122886768465265
YBL012C	0.3146071755625744
YBL013W	0.3207274789693829
YBL015W	0.3317659330018933
YBL016W	0.3246035732164383
YBL017C	0.3557110510525596
YBL022C	0.32443022558355705
YBL024W	0.3276184556554007
YBL027W	0.26509159817975414
YBL028C	0.34307146773574076
YBL029W	0.3418314381821129
YBL036C	0.348158190009361
YBL037W	0.34858909591368625
YBL038W	0.33907385202602575
YBL039C	0.3510791410700528
YBL042C	0.30913006849020025
YBL043W	0.34186549247078535
YBL044W	0.3493065031896898
YBL045C	0.2439890570870009
YBL046W	0.26312249367205887
YBL047C	0.3369289787921437
YBL048W	0.3466129341426132
YBL049W	0.3336583422448916
YBL051C	0.281301195252482
YBL052C	0.3299701041511264
YBL053W	0.31182589185805953
YBL054W	0.35618027393999674
YBL055C	0.34638802553320724
YBL056W	0.3360176433752492
YBL057C	0.28738046282685203
YBL058W	0.3300418699284383
YBL059W	0.322318443689085
YBL060W	0.3488656556261439
YBL061C	0.3328364412501066
YBL062W	0.30628989210727314
YBL063W	0.3444380370607887
YBL064C	0.34357134465764183
YBL065W	0.3493801642608806
YBL066C	0.3408338462743478
YBL067C	0.30698298360758886
YBL068W	0.35204731271237527
YBL069W	0.3456913229596129
YBL070C	0.3387950978261587
YBL071C	0.2609102538633261
YBL072C	0.23999817592133288
YBL075C	0.3388402718048382
YBL078C	0.33946742202542995
YBL079W	0.23048915628714944
YBL080C	0.2886825052860357
YBL081W	0.33663843439362195
YBL082C	0.28738046282685203
YBL083C	0.3463408721551868
YBL085W	0.34457113554079954
YBL086C	0.33489032310931754
YBL087C	0.3193465486711535
YBL088C	0.33373502459957666
YBL089W	0.32585301527340577
YBL090W	0.3471352891842965
YBL091C	0.34807479410014047
YBL091C-A	0.334634711658617
YBL093C	0.22000449501684582
YBL094C	0.3438587310147455
YBL095W	0.3258865478560732
YBL096C	0.3281653046492109
YBL098W	0.32676785957882193
YBL099W	0.2722265683648159
YBL100C	0.27083019967628547
YBL101C	0.34985021865061683
YBL102W	0.3316879171816993
YBL103C	0.3059893294405188
YBL104C	0.3090181911355869
YBL106C	0.33585634433974054
YBL107C	0.33394541988888726
YBR001C	0.3110839008633178
YBR003W	0.28022547408493115
YBR005W	0.33363413277307297
YBR006W	0.3112717794371058
YBR007C	0.3280330431442405
YBR008C	0.3532630101180084
YBR009C	0.29737638036712755
YBR010W	0.3080368815654718
YBR012C	0.3324382606480128
YBR013C	0.35382630298068507
YBR014C	0.3689492575732937
YBR015C	0.3557701422977938
YBR016W	0.36400963806854714
YBR018C	0.09591885608233393
YBR019C	0.02339785295823466
YBR020W	0.3743866385788916
YBR021W	0.30907945998252373
YBR022W	0.3446280531395155
YBR023C	0.34989538481598087
YBR024W	0.3473121436730028
YBR025C	0.32707850561294516
YBR026C	0.3131328584098317
YBR027C	0.3411407022420708
YBR028C	0.30929210835355747
YBR030W	0.34196609233245634
YBR031W	0.3390037300541151
YBR032W	0.3543327439570581
YBR033W	0.34756588785805775
YBR034C	0.30580631367517574
YBR035C	0.15216398625558342
YBR036C	0.3376500366217447
YBR037C	0.316757327689668
YBR039W	0.2767947310180108
YBR040W	0.34012995568382576
YBR041W	0.3622978569000428
YBR042C	0.34495293669441596
YBR043C	0.3456178082496456
YBR044C	0.29355997500665
YBR045C	0.3460920338950189
YBR046C	0.32954264273036965
YBR047W	0.32021356749215535
YBR048W	0.2402077228363544
YBR050C	0.3091707834650498
YBR051W	0.3238880698378155
YBR052C	0.3373154171144691
YBR053C	0.30733889135798614
YBR054W	0.33979485990950364
YBR056W	0.332481613912579
YBR057C	0.3177377446790115
YBR058C	0.32830341587706574
YBR059C	0.3516988875282054
YBR062C	0.30629191441445713
YBR063C	0.30325567509843077
YBR064W	0.331006384148549
YBR065C	0.3418981109748902
YBR066C	0.3264878637390737
YBR067C	0.32651808735681354
YBR068C	0.33326443783152004
YBR069C	0.3218550382635344
YBR071W	0.24318427577037938
YBR072W	0.3249087037423426
YBR073W	0.32929466029019727
YBR074W	0.3200601615097746
YBR076W	0.3530131214426391
YBR077C	0.33850691487055873
YBR078W	0.36800896420907336
YBR081C	0.25469013606625507
YBR083W	0.33318391879735043
YBR084C-A	0.2628967374650457
YBR084W	0.2993829776710041
YBR085W	0.3361656545953659
YBR089C-A	0.33543527287006725
YBR090C	0.3382835826904969
YBR092C	0.33875005501706046
YBR093C	0.34211077602623696
YBR094W	0.33531835887543604
YBR095C	0.29253053775172866
YBR096W	0.3492239333424959
YBR097W	0.22253472713030176
YBR098W	0.34642625538868366
YBR099C	0.3347426198989967
YBR101C	0.32562472253004404
YBR103W	0.3340728592081559
YBR104W	0.33477127775864834
YBR105C	0.33560301514727314
YBR106W	0.31611837973537216
YBR107C	0.32954705406629603
YBR108W	0.3145904789233174
YBR111C	0.3474030068464885
YBR112C	0.34490883370105274
YBR113W	0.3268073603314461
YBR114W	0.32479212264199575
YBR115C	0.3351685881517129
YBR116C	0.33740845632136796
YBR117C	0.33728713533790766
YBR119W	0.20949836851309728
YBR120C	0.30838316336976823
YBR125C	0.3535153072608673
YBR126C	0.3249203527936737
YBR127C	0.1945357528367173
YBR129C	0.31471719037904256
YBR130C	0.22251041201858485
YBR131W	0.3451183769218933
YBR132C	0.3407381362866754
YBR133C	0.3288653248248069
YBR134W	0.3632785283966604
YBR137W	0.3257491799672349
YBR138C	0.3375528412975223
YBR139W	0.3226209306666761
YBR141C	0.31462669484465167
YBR144C	0.33800609320869623
YBR145W	0.32347309876804065
YBR146W	0.27560989730881885
YBR147W	0.3361813818331415
YBR148W	0.3266430957454185
YBR149W	0.33305593340783335
YBR150C	0.3367275176315294
YBR151W	0.32907232852172863
YBR156C	0.2302229748839741
YBR157C	0.3273346662906783
YBR158W	0.3358492493868516
YBR159W	0.33394817007202154
YBR161W	0.3164598137921093
YBR162C	0.31855226933148595
YBR162W-A	0.29120592684404306
YBR163W	0.3248450717468354
YBR164C	0.3082370683899206
YBR165W	0.31221886107398883
YBR166C	0.29059915670303965
YBR168W	0.29706101203988444
YBR169C	0.35688642256834646
YBR170C	0.3082800609257067
YBR171W	0.3139109568382801
YBR172C	0.3212235371913551
YBR173C	0.33058823650300045
YBR174C	0.27456176130404963
YBR175W	0.27317377521613384
YBR176W	0.338183288061082
YBR177C	0.35798724761524947
YBR178W	0.35530954835033757
YBR179C	0.3163066864744397
YBR180W	0.35316245926798867
YBR181C	0.26266135665142887
YBR182C	0.3418801407904105
YBR183W	0.3481270596323679
YBR184W	0.34948314665916436
YBR185C	0.35474955116389956
YBR186W	0.3478754732600577
YBR187W	0.33157590718053465
YBR188C	0.3441106487974174
YBR189W	0.22984742002080732
YBR191W	0.2649694669525
YBR194W	0.34286848799141145
YBR195C	0.317837143421822
YBR197C	0.34270924719025153
YBR199W	0.3296038721136737
YBR200W	0.35127146323763714
YBR201W	0.3402957734362929
YBR203W	0.33156106710383265
YBR204C	0.3429464679908144
YBR205W	0.34525829961387194
YBR206W	0.3336405497473353
YBR207W	0.3452806095851644
YBR208C	0.3378844226286397
YBR209W	0.3392125690299676
YBR210W	0.3303051276691663
YBR212W	0.3495955514384005
YBR213W	0.34121267429767155
YBR214W	0.33921380552147895
YBR215W	0.30573673693483333
YBR216C	0.3365103895418965
YBR217W	0.3367157016761253
YBR218C	0.33537516132410844
YBR219C	0.3357425282655037
YBR220C	0.3359890379051602
YBR221C	0.33254969566268194
YBR222C	0.33509260541457
YBR223C	0.3358399281292856
YBR224W	0.3454077945869746
YBR225W	0.353712055859439
YBR226C	0.34900845333764774
YBR227C	0.3425385823434832
YBR228W	0.3433272741697928
YBR229C	0.3096011673299903
YBR230C	0.3135036475183669
YBR231C	0.32947757263902866
YBR232C	0.34924119944773946
YBR233W	0.3243890579902879
YBR235W	0.33685405236342053
