ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YAL002W	71.887	86.421	92.609	5.271	5.433	6.118
YAL004W	103.178	96.242	93.380	5.354	5.189	6.051
YAL005C	96.746	98.154	95.350	5.285	5.289	6.132
YAL007C	101.414	97.067	96.060	5.254	5.289	6.079
YAL008W	107.313	102.383	96.145	5.284	5.277	6.072
YAL009W	111.814	105.683	101.640	5.228	5.305	6.051
YAL010C	54.022	86.788	74.486	4.895	5.227	6.007
YAL011W	108.712	106.128	99.254	5.281	5.360	5.980
YAL012W	100.370	111.087	109.112	5.335	5.336	5.717
YAL013W	93.918	93.073	100.967	5.162	5.257	5.951
YAL014C	106.751	101.048	98.654	5.199	5.262	6.063
YAL015C	92.899	95.548	89.109	5.376	5.326	6.078
YAL016W	96.658	97.257	91.800	NaN	NaN	NaN
YAL017W	89.129	96.281	88.987	5.129	5.344	6.166
YAL018C	86.681	95.273	88.081	5.187	5.331	6.153
YAL019W	95.560	95.849	91.544	5.278	5.292	6.098
YAL020C	91.972	88.634	80.409	4.956	5.338	6.263
YAL021C	42.299	86.893	90.761	4.989	5.292	5.987
YAL022C	61.882	81.184	80.910	4.772	5.339	6.104
YAL023C	89.509	91.410	91.593	5.870	5.860	6.054
YAL024C	100.426	100.278	93.312	5.281	5.324	5.592
YAL026C	24.251	86.487	88.730	5.019	5.645	6.076
YAL027W	95.115	101.086	89.612	5.244	5.316	5.719
YAL028W	104.364	99.070	98.250	5.294	5.286	6.113
YAL029C	96.351	99.188	98.164	5.305	5.314	6.134
YAL030W	98.586	98.389	92.413	5.331	5.301	6.091
YAL031C	106.371	107.909	100.441	5.435	5.348	6.076
YAL034C	99.802	102.370	99.437	5.431	5.310	6.091
YAL035W	99.179	103.169	100.808	5.271	5.254	5.999
YAL036C	92.778	94.985	95.693	5.304	5.256	6.041
YAL037W	101.809	101.820	103.708	5.270	5.265	5.946
YAL039C	45.632	90.836	89.150	NaN	NaN	NaN
YAL040C	102.889	100.877	98.164	5.421	5.314	5.778
YAL042W	100.715	98.389	97.834	5.346	5.340	6.061
YAL043C-A	100.775	103.575	101.040	5.330	5.326	5.989
YAL044C	104.379	104.059	106.131	5.094	5.263	5.847
YAL045C	101.520	97.997	99.988	5.359	5.291	6.042
YAL046C	104.044	106.979	106.645	5.320	5.337	5.971
YAL047C	90.749	97.166	107.162	5.326	5.346	5.795
YAL048C	99.346	99.097	97.883	5.275	5.309	6.109
YAL049C	102.448	101.231	92.499	5.424	5.319	6.050
YAL051W	89.904	97.604	87.861	5.355	5.326	6.154
YAL053W	101.368	100.223	99.535	5.219	5.291	6.052
YAL054C	96.881	94.913	106.550	5.325	5.338	5.755
YAL055W	99.711	96.700	94.273	5.143	5.159	5.953
YAL056W	90.467	93.034	88.302	5.366	5.203	4.276
YAL058C-A	93.182	96.475	107.875	5.323	5.355	5.701
YAL058W	99.589	91.319	100.122	5.342	5.346	5.769
YAL059W	99.878	96.556	98.409	5.262	5.233	NaN
YAL060W	94.602	94.618	100.098	5.193	5.248	5.919
YAL061W	89.235	94.029	91.973	5.231	5.267	6.068
