Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YAL001C_ko,0.37525857,0.786254771,-0.752563668,0.938232438,1.264889195,1.020087326,-0.371704432,-0.400554802,-0.258075837,-0.970423924,-0.360108394,0.798095792,-0.5522979,-1.941970643
YAL003W_ko,0.273022561,3.109944751,-0.189707287,1.87696109,1.550969117,2.395767839,1.980091275,1.549375556,-0.077974517,-0.389439339,-0.99887564,2.175667964,-0.265024519,0.767416172
YAL025C_ko,1.762722465,2.458394816,0.533534695,0.525571039,2.08932598,2.142036945,2.043729859,1.121540584,1.674027129,-1.207912765,0.158766929,0.643574031,-0.603579979,1.179173464
YAL032C_ko,0.976575477,2.310069304,1.072062107,1.863549688,1.504574236,1.364850576,1.855837028,1.162619064,1.263490171,-0.32454322,-1.555556592,1.334482376,-0.442188373,-0.407578545
YAL033W_ko,0.875189412,1.755690931,0.908882773,3.846450066,1.449445265,2.076139035,1.800206671,1.40890713,-0.143566259,0.025256829,-0.98336645,1.246653184,-0.669667752,0.237974363
YAL034W-A_ko,1.693217923,1.403194624,1.110335895,-0.117257851,1.773455916,1.236092182,1.144164687,1.986960352,1.841092025,0.726611609,-1.127291683,0.344434876,-0.622982991,0.969584077
YAL035C-A_ko,2.287547667,1.105673135,-0.07303334,-0.631865149,-2.354159697,-1.692608231,0.519552965,-0.044198519,-0.338123425,-1.298136213,-1.873917882,0.807591034,2.483701838,-2.312363909
YAL038W_ko,1.96856587,1.913726906,0.715689213,2.401442785,1.981703614,1.524605748,0.991345733,1.497662308,1.714034888,-0.361917579,-0.687401318,0.336666676,-0.385105046,0.628514861
YAL041W_ko,1.412760047,0.632465932,-0.289227526,-0.479948569,1.643379949,1.657619054,1.187355199,2.164072366,1.68059395,0.06409376,-1.547659297,0.832009923,2.915221964,-1.823375639
YAL043C_ko,1.007857142,0.950727058,-0.662952742,-0.836258592,1.715694592,1.29531177,1.780351012,1.0734911,0.231179567,0.090407982,0.687198085,1.038455701,3.499038173,0.966439394
YAR007C_ko,-2.111962449,0.807651491,0.122285207,0.569120682,1.611137091,1.155440031,0.224045463,0.532390245,0.253642768,0.321566264,-2.188685644,0.427701957,1.832443265,0.749121781
YAR008W_ko,-0.524467971,3.021251124,1.752487964,1.765070169,1.23666477,1.206898751,1.319478234,-0.080477,0.150775863,-0.971973647,0.705211643,0.96189772,-0.237155788,1.818295201
YAR019C_ko,-0.549648709,1.716649608,0.386691108,2.259223123,1.813081336,1.218244727,1.950177781,1.105784339,0.887589977,0.357062727,0.025794007,1.133800613,0.910380164,0.745583798
YBL004W_ko,1.370869504,-0.048864126,0.001128974,1.294119358,0.7294993,0.323666314,1.158736917,0.879598759,0.264351265,1.730277481,-0.343026343,0.608765874,0.17179,2.426025414
YBL014C_ko,-0.266326337,1.11169044,1.375615519,0.804443871,0.959250272,-1.401485966,-1.454448436,-5.15192676,-1.880303373,-4.626933167,0.955732036,-0.477653982,2.510972261,0.011030152
YBL018C_ko,1.72527698,-0.52521539,-0.419865903,0.251378652,0.430017735,0.394156586,1.083014588,0.822366231,-1.119182951,1.108404051,0.763649159,0.539953227,0.113057155,-0.640819188
YBL020W_ko,2.033752196,0.539707588,0.024654767,1.833825675,0.328144824,1.246966204,1.642885751,1.607132619,0.88893785,1.631134072,1.38921867,1.237155797,4.310424956,-0.478674341
YBL023C_ko,1.713816218,-1.214331707,-0.799398655,-0.687994714,0.28260967,-0.059213612,-0.355147484,-0.650875134,-0.327597342,1.646638769,-0.413523438,-0.509284783,-0.301678603,1.166374605
YBL026W_ko,1.962563831,-1.059706516,0.973193917,1.159621298,0.253462463,-0.616027576,-0.427673594,-0.043844061,0.084536989,-1.474917428,-1.041769891,0.354734567,0.665842389,-0.947522356
YBL030C_ko,-1.291384377,0.76927943,0.489978612,1.799989801,0.078859874,1.25150744,0.919326249,0.172092502,-1.41460894,0.353218759,0.304505161,0.025645834,0.105789182,1.808631529
YBL034C_ko,-1.193399701,0.563811481,0.663779448,1.424586666,0.330049262,1.113269934,0.729814259,0.602088017,-0.250181791,0.882559703,0.464006406,0.091852482,0.44006509,2.248579183
YBL035C_ko,-1.006127663,0.030148164,-0.094953861,0.516151673,0.505165971,0.486078455,0.25892553,0.584510102,-0.797151876,0.72877781,0.324291496,0.145067754,0.474748757,1.267810155
YBL040C_ko,-1.441042039,0.825644155,0.712848703,1.669555293,1.001649355,0.907544624,0.405311372,0.287185954,-0.928888571,-0.165575484,-0.545946044,0.10963106,0.470164125,1.514069116
YBL041W_ko,-0.242408296,-1.636778464,-0.855143006,0.256553163,0.148362179,-0.269319973,-1.243776684,-0.827605569,-1.346188659,0.472476007,0.122024711,-0.897056058,0.652398103,0.817341727
YBL050W_ko,-0.742597453,-0.724893189,-0.040111065,-1.612501725,0.601551335,-0.741947627,-0.825748854,-1.059927495,-1.288181874,0.893023944,-0.515098703,-1.156796677,0.561025116,-0.734121863
YBL073W_ko,-0.872331707,-1.009016163,-0.250751766,0.30731975,0.951402712,-0.27783203,-0.544247482,-0.426883281,-0.790108041,0.99727627,-1.564145697,-0.974025455,0.430076182,0.766951924
YBL074C_ko,-1.035204322,-0.311368368,-0.294719711,-0.210916249,0.443464988,0.003117505,-1.204070068,-0.979570227,-0.981777646,0.831379693,-1.761484642,-1.349972094,0.297502837,0.988181286
YBL076C_ko,-0.492700761,-0.807219577,-0.676814202,-0.067283244,0.409429379,-0.151814321,-0.80585907,-0.625526193,-1.063209922,1.055462606,0.316790414,-0.984592945,0.337976057,-2.268372868
YBL077W_ko,-0.850648708,-0.809242529,-0.720174443,-0.049759714,0.545442188,-0.373113502,-0.741604885,-0.310245414,-1.107610951,0.743956173,0.335088597,-0.947579594,0.495585736,-0.101356722
YBL084C_ko,-1.170154078,-0.233062103,0.176824442,0.780213863,0.754155381,0.186106397,-0.829620318,-0.298962143,-1.028949195,1.205138297,0.226482222,-0.94897929,0.878393418,0.774373755
YBL092W_ko,-0.215980216,-0.55876302,-0.109614696,0.579450467,0.112854736,-0.821127073,-0.734961678,-1.245945571,-1.014484586,-2.003564736,0.080920971,0.508955729,1.264661723,0.158665189
YBL097W_ko,0.427932714,-0.326608534,-0.581702753,-1.141318921,-2.108402,-0.147760116,0.296982523,0.13077897,-0.151637987,0.301444331,-0.037446611,-0.128486041,-0.170035002,1.268068437
YBL103C_ko,2.029501605,0.243733022,1.204618899,1.040655693,-1.451462362,-1.552934635,0.27619566,1.261359055,1.987321278,-0.422757633,0.316652559,0.378716143,0.817931529,1.13950192
YBL105C_ko,1.670169116,-1.208541494,-0.627489635,-1.840848998,-1.484266792,-1.140918549,0.408824076,0.830537463,0.187020643,0.094477399,-0.580760376,0.689689651,-0.099049175,-2.70084758
YBR011C_ko,-0.005384038,0.090152526,-0.133759031,0.000925136,-0.747145359,-0.998624081,0.486314212,-0.469201925,-0.469868314,0.20855837,-0.229081913,0.312884641,0.968774305,-2.789900343
YBR017C_ko,-0.137154856,-0.755727122,-0.941733992,-3.692092126,-3.740583781,-1.074008864,-0.495623151,1.614002999,0.501491352,0.2881042,0.365879243,-0.218745166,0.350156503,-1.594933669
YBR021W_ko,0.162438116,-0.701440921,0.813106408,0.463547394,-1.42799668,-0.960982899,-0.598196831,-0.047527045,-0.123681845,0.018019236,0.751738276,0.530940695,0.236210175,0.803026265
YBR029C_ko,0.042626818,-0.153399213,-0.701873737,-0.815656518,-2.515871761,-1.596433355,-1.288948313,-1.145693458,0.297524988,-0.530532057,-0.470449895,-0.898096061,-0.36523051,0.637894637
YBR038W_ko,1.603483199,-0.739616079,-2.411907195,0.255683892,-3.934762834,-1.073456678,-0.13467017,5.209276583,-0.200508507,0.492551697,-3.036975104,-0.450619724,3.387581533,-1.46831526
