Line,As75,Ca44,Cd111,Cl35,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Se82,Zn66
ART2_oe,-0.017770413,0.032247015,-0.033584018,-0.105606487,0.0234349,0.001485347,-0.006804035,0.111590269,0.128769952,0.02663827,.,.,0.175115012,0.127286213,0.092158757,0.293862367,-0.007861081
HMLALPHA2_oe,0.021428407,0.003920529,-0.017866223,.,0.088121397,0.06639492,0.016001398,-0.036429107,-0.029256512,-0.016106391,-0.038269491,-0.125995185,-0.033344797,-0.018787702,0.001975194,-0.141020624,0.031301556
Q0017_oe,-0.035689252,-0.122893579,-0.039560496,-0.213701822,-0.011840894,-0.015244785,-0.153945308,0.027870583,-0.008067199,-0.018309836,.,-0.196549125,-0.035295472,-0.030990178,-0.000031554,-0.050605098,-0.00262795
Q0080_oe,0.018930971,-0.126214925,9.58E-05,-0.025852363,0.047127895,0.065542142,0.022502526,0.036263241,-0.007780018,0.028933579,-0.035405136,.,-0.003713712,0.000756577,0.016077826,-0.050390979,0.013613467
Q0085_oe,-0.006529534,-0.143577456,-0.047604603,-0.061887917,0.040917704,0.05497666,-0.123593615,0.007440611,-0.00911624,-0.059613775,.,0.322264736,-0.054458317,-0.073937843,0.017702021,-0.000952078,-0.070914347
Q0130_oe,0.007209369,-0.108811975,-0.046662116,-0.19233673,-0.045649173,-0.032759427,0.062034233,-0.014202426,-0.021220137,-0.031348082,.,.,0.146174473,-0.027640568,-0.037776567,0.176522103,-0.046960796
Q0142_oe,-0.002281713,0.066246463,0.010734196,-0.128548403,0.074043236,0.041965819,-0.018282982,0.047207294,0.07195537,0.00930801,-0.053005115,.,0.018306758,-0.020493254,0.019047237,0.182712614,-0.007790764
Q0143_oe,-0.018898029,-0.126186469,-0.005287132,-0.118789906,0.027550515,0.041805712,-0.078710232,0.011875834,-0.00145517,-0.020798646,.,.,-0.045536624,-0.065521122,-0.007236365,-0.180598167,-0.035602985
Q0160_oe,-0.014603458,-0.016789132,0.013078579,-0.058682785,0.077408162,0.031510406,-0.069861489,0.071568802,0.042600197,0.01567078,.,-0.149479664,0.007579573,-0.024949183,0.024748779,-0.158318408,-0.005640324
Q0182_oe,0.018028799,0.144767767,0.020948035,-0.057831099,0.084437983,0.048038124,-0.016958861,0.066722782,0.066462125,0.032440936,0.026380395,.,0.041930325,-0.019360267,0.035941237,0.034145985,-0.015007346
Q0250_oe,-0.084452427,0.275245762,-0.099807945,-0.081913646,-0.103990344,0.207858182,0.019982634,0.085770326,0.068425443,-0.058490788,-0.023246129,.,0.014584015,0.07288162,0.027531214,0.261774578,0.011030862
Q0275_oe,-0.028119056,-0.029544173,0.008341089,-0.078975037,-0.026058611,-0.033650304,0.003415824,-0.063883257,-0.052781181,-0.012292197,-0.12737441,-0.410565383,-0.058417263,-0.081965575,-0.066132769,0.028221649,-0.018658011
TORF1_oe,-0.012405958,-0.048904576,-0.018041592,-0.134444032,0.014678701,0.012192141,-0.135404161,0.052091458,0.022298607,-0.000034254,-0.10355293,0.185164234,-0.015871028,-0.017213162,0.042968658,0.444372733,0.010346273
TORF10_oe,-0.057208892,0.085740074,-0.008001051,-0.072801456,0.055010863,-0.033517077,0.093599265,0.00782535,0.038433729,-0.017170328,.,3.407039429,-0.109522611,-0.020486125,0.21419942,0.142274178,-0.007359487
TORF11_oe,-0.020824907,0.009033475,-0.015903926,-0.096036551,0.059976077,0.032027982,-0.144238341,0.059857473,0.017482496,-0.000835344,.,.,0.007525129,0.038321748,0.036264706,0.403989111,0.031394823
TORF12_oe,0.071962981,-0.028214428,0.00782204,0.038558948,-0.071207266,-0.051359912,0.054268357,-0.008125235,0.005572682,0.062055905,-0.081976668,.,-0.015712277,-0.02150947,-0.012962421,0.171766157,-0.039535427
TORF13_oe,-0.057505943,-0.088931587,0.040489363,-0.127598866,0.153986824,0.011001976,-0.073360714,0.079514775,0.135839454,0.023908801,.,.,0.088032171,0.042169483,0.031770609,0.114984988,-0.03179606
TORF14_oe,0.004836387,0.02814848,-0.03778169,0.053858088,0.036494531,0.039084484,-0.000517487,-0.040325537,0.027353673,0.016523642,.,.,0.046536576,-0.012610891,-0.016788604,-0.077382133,0.037155122
TORF15_oe,0.030075391,-0.470918985,0.14621275,.,0.112255296,0.167165954,0.119139166,0.04685096,0.122510495,0.174566571,.,.,0.092848662,0.08952045,0.005095381,-0.147933163,-0.158963168
TORF16_oe,0.014108544,0.038557007,-0.010961996,-0.102015036,0.027055881,0.029790365,-0.179088891,0.068658587,-0.004953254,-0.004276071,.,-0.093299974,-0.018334232,0.000967977,0.01146375,0.226185227,0.053089392
TORF17_oe,-0.15931931,-0.039128575,-0.068553805,-0.005269664,-0.092718796,-0.008195122,-0.04435046,-0.098039534,-0.043380007,-0.033485655,0.071606675,-0.161814471,0.014998422,-0.093195351,-0.07570647,-0.341114386,-0.053402422
TORF19_oe,0.008314292,0.012271896,0.015639039,-0.10399365,0.094925065,-0.109817493,-0.019375841,0.100987569,0.132218702,0.055859304,.,.,0.116663052,0.108766031,0.058697985,-0.058598503,0.032987233
TORF2_oe,-0.043577444,-0.05271936,0.011647323,-0.150288786,0.147419402,-0.104004214,-0.023384651,0.107688709,0.138068118,0.091453933,.,.,0.079659804,0.065545998,0.022326307,-0.180362387,0.005687992
