orf	hom | growth (pooled culture, microarray) | curcumin [150 uM], time [5 gen] | YPD | Minear S~Cyert MS, 2011
YKL126W	-19.81691164206528
YGL071W	-15.199960972053095
YDR269C	-12.801545039579231
YMR058W	-12.711604442111463
YJL117W	-12.531723247175924
YKL212W	-12.471762848864078
YNL257C	-12.351842052240384
YMR031W-A	-12.261901454772614
YJR040W	-12.231921255616692
YDR484W	-12.171960857304843
YDL185W	-12.05204006068115
YHR155W	-11.902139064901537
YDR270W	-11.062693488535684
YGL025C	-10.553030102884989
YLR417W	-10.37314890794945
YPR124W	-10.313188509637602
YLR056W	-10.253228111325756
YNL259C	-10.01338651807837
YGR105W	-9.803525123986907
YMR021C	-9.683604327363213
YPR036W	-9.563683530739521
YOL012C	-9.503723132427673
YNL323W	-9.143960742556594
YEL027W	-9.024039945932902
YNL041C	-9.024039945932902
YCL046W	-8.934099348465132
YOL051W	-8.90411914930921
YKL080W	-8.694257755217746
YGL054C	-8.634297356905899
YER145C	-8.604317157749977
YGL012W	-8.454416161970359
YLR039C	-8.334495365346667
YDR136C	-8.27453496703482
YDR455C	-8.244554767878897
YGR020C	-8.244554767878897
YJR033C	-7.884792378007818
YDR202C	-7.734891382228202
YDR271C	-7.704911183072278
YDR392W	-7.644950784760431
YHR060W	-7.6149705856045085
YLR261C	-7.495049788980816
YOL018C	-7.465069589824893
