orf	hom | growth (relative abundance in pooled culture) | hydroquinone [1 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [2 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [4 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [1 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [2 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | hydroquinone [4 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [0.55 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [1.1 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [2.2 mM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [0.55 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [1.1 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | catechol [2.2 mM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [87.5 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [175 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [350 uM], time [5 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [87.5 uM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [175 uM], time [15 generations] | North M~Vulpe CD, 2011	hom | growth (relative abundance in pooled culture) | benzene-1,2,4-triol [350 uM], time [15 generations] | North M~Vulpe CD, 2011
YAL011W	0.0	0.0	-1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL040C	0.0	0.0	-1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR003W	0.0	0.0	0.0	0.0	0.0	-3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL047C	0.0	0.0	0.0	-2.8	-2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL051C	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	1.7	0.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL062W	0.0	0.0	0.0	0.0	-2.7	-2.9	1.8	1.9	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL065W	0.0	0.0	0.0	5.8	5.4	5.7	0.0	0.0	0.0	5.9	5.2	5.4	0.0	0.0	0.0	4.2	6.2	6.4
YBL079W	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	2.2
YBL080C	0.0	0.0	0.0	0.0	0.0	-2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL106C	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL107C	0.0	0.0	0.0	2.6	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	2.2	2.1
YBR006W	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	1.9	1.6	1.6	0.0	0.0	0.0	0.0	0.0	0.0
YBR019C	0.0	0.0	0.0	0.0	2.8	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	2.3	2.3
YBR035C	0.0	0.0	0.0	-2.4	-2.4	-2.3	0.0	0.0	0.0	0.0	-1.7	0.0	0.0	0.0	0.0	-2.2	-2.4	-2.6
YBR037C	0.0	1.6	1.6	0.0	0.0	0.0	2.0	2.2	1.8	2.3	2.4	2.3	0.0	0.0	0.0	0.0	0.0	0.0
YBR068C	0.0	-3.2	-2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR071W	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2
YBR113W	0.0	0.0	0.0	4.4	3.6	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	4.4	4.4
YBR114W	0.0	0.0	0.0	2.6	0.0	0.0	1.9	2.1	2.1	0.0	0.0	0.0	0.0	0.0	2.2	3.2	2.8	2.7
YBR129C	0.0	0.0	0.0	1.7	0.0	1.7	0.0	0.0	0.0	1.6	1.4	0.0	0.0	0.0	0.0	0.0	0.0	1.6
YBR138C	0.0	0.0	0.0	4.8	3.9	4.9	0.0	0.0	0.0	4.6	4.1	4.4	0.0	0.0	0.0	3.6	4.8	4.9
YBR149W	0.0	0.0	0.0	2.6	2.6	2.6	0.0	0.0	0.0	2.5	2.3	2.3	0.0	0.0	0.0	2.4	2.3	2.4
YBR156C	2.2	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.6	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0
YBR159W	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	1.8	0.0	0.0	2.4	0.0
YBR164C	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0
YBR169C	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	2.3	1.8
YBR170C	0.0	2.7	2.5	3.5	0.0	3.5	2.3	2.5	2.3	3.3	0.0	0.0	0.0	0.0	0.0	2.2	3.1	3.2
YBR175W	0.0	2.5	2.8	0.0	0.0	0.0	2.8	2.9	3.0	2.7	0.0	0.0	0.0	0.0	2.7	2.4	0.0	0.0
YBR184W	0.0	0.0	0.0	2.5	2.3	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.1	0.0
YBR186W	0.0	0.0	0.0	2.3	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR187W	3.4	3.6	3.7	0.0	0.0	0.0	4.3	4.6	4.5	2.8	0.0	0.0	2.3	2.8	3.2	0.0	0.0	0.0
YBR197C	0.0	0.0	-2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0
YBR213W	2.6	2.4	2.3	3.0	0.0	0.0	2.8	2.8	2.8	0.0	0.0	0.0	2.7	2.7	2.8	2.7	2.7	2.9
YBR225W	0.0	0.0	0.0	2.3	2.2	2.5	0.0	0.0	0.0	-2.8	0.0	0.0	0.0	0.0	0.0	0.0	1.9	1.8
YBR273C	0.0	0.0	0.0	2.0	2.3	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	2.1	2.0
YBR292C	-1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3	-1.5	-1.2	0.0	0.0	-1.5
YBR298C	1.8	2.1	2.1	0.0	0.0	0.0	2.3	2.6	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.6
YBR299W	2.3	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL005W	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	2.6	2.1	0.0	0.0	0.0	0.0	0.0	0.0	2.5
YCL030C	3.4	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.6	0.0	0.0	0.0
YCL036W	0.0	0.0	1.6	0.0	0.0	0.0	1.7	1.8	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL045C	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL050C	0.0	0.0	0.0	-1.9	0.0	0.0	0.0	0.0	0.0	-1.6	-1.3	0.0	0.0	0.0	0.0	0.0	-1.7	-1.9
YCL055W	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCL056C	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR004C	0.0	-1.5	-1.5	0.0	0.0	-3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR006C	2.5	2.7	2.9	0.0	0.0	0.0	3.0	3.2	3.2	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0
YCR007C	0.0	0.0	0.0	4.0	3.9	0.0	0.0	0.0	0.0	4.2	3.9	3.9	0.0	0.0	0.0	0.0	4.2	4.0
YCR027C	0.0	0.0	2.0	0.0	0.0	0.0	1.7	1.8	1.9	0.0	0.0	0.0	1.9	0.0	0.0	2.8	0.0	0.0
YCR044C	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR049C	0.0	0.0	-1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7	0.0	0.0	0.0	0.0	-2.3	-3.0
YCR053W	0.0	0.0	-2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR068W	-1.6	-1.2	-1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YCR073W-A	2.5	2.9	3.4	0.0	0.0	3.4	3.0	3.1	3.1	2.9	2.1	0.0	0.0	0.0	0.0	0.0	2.3	0.0
YCR106W	0.0	0.0	0.0	-1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5
YDL010W	0.0	0.0	0.0	4.7	4.2	4.0	0.0	0.0	0.0	4.5	4.5	4.3	0.0	0.0	0.0	3.3	4.5	5.0
YDL018C	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1	-2.3
YDL020C	0.0	0.0	-1.6	-3.8	-3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4	0.0
YDL070W	0.0	0.0	0.0	2.9	0.0	2.6	0.0	0.0	0.0	2.2	1.7	2.5	0.0	0.0	0.0	0.0	2.3	2.3
YDL073W	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL117W	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL135C	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	2.9	2.7
YDL158C	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	3.1	0.0	2.4	0.0	0.0	0.0
YDL161W	0.0	0.0	0.0	2.5	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	2.4	2.6
YDL173W	0.0	0.0	-1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL202W	0.0	0.0	1.5	0.0	0.0	-2.5	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	2.85
YDL211C	-1.3	0.0	-1.1	0.0	0.0	0.0	-1.2	-1.3	-1.1	-4.0	0.0	0.0	-1.7	0.0	-1.3	0.0	0.0	0.0
YDL216C	2.7	2.5	2.4	0.0	0.0	0.0	1.7	1.6	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL223C	2.9	2.9	2.2	2.6	2.8	2.6	2.25	2.4	2.35	2.3	2.2	2.2	2.2	2.1	2.6	0.0	2.8	2.7
YDL225W	0.0	0.0	0.0	-1.8	-3.2	-2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL230W	0.0	0.0	1.2	3.1	3.1	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	3.3	3.4
YDL236W	0.0	0.0	0.0	-1.8	0.0	0.0	0.0	0.0	0.0	-1.8	-1.6	-1.7	0.0	0.0	0.0	0.0	-1.9	-1.9
YDL242W	0.0	0.0	0.0	-1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4
YDR025W	0.0	2.1	2.4	0.0	0.0	0.0	2.3	2.1	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR032C	0.0	-2.3	-3.0	-2.3	-3.4	-3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR065W	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	2.9
YDR074W	0.0	0.0	-2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR105C	2.5	2.8	3.1	0.0	0.0	0.0	2.7	2.9	2.9	3.0	0.0	0.0	2.5	2.4	2.1	0.0	0.0	0.0
YDR112W	0.0	0.0	0.0	-4.1	-4.4	-4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.8	-3.7
YDR132C	0.0	0.0	-1.8	-2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR153C	2.5	2.3	2.8	2.9	2.9	0.0	3.2	3.5	3.2	3.1	2.4	2.6	3.2	3.0	0.0	2.3	3.4	3.5
YDR162C	0.0	0.0	-2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.5	0.0	0.0	0.0	0.0	0.0
YDR163W	0.0	2.2	2.5	0.0	0.0	2.7	1.7	1.8	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR175C	2.0	2.1	1.9	0.0	0.0	0.0	2.1	1.8	1.8	0.0	0.0	0.0	0.0	0.0	1.5	0.0	3.3	4.1
YDR179C	2.9	3.1	0.0	-2.0	0.0	0.0	2.8	2.6	2.7	-1.9	-1.6	-1.7	3.0	0.0	0.0	0.0	-2.0	-2.2
YDR220C	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.4	1.5	0.0	0.0	0.0	2.0	2.2	2.0
YDR221W	0.0	0.0	0.0	2.4	2.2	0.0	0.0	0.0	0.0	2.2	1.8	2.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR229W	0.0	0.0	-1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR247W	0.0	0.0	0.0	0.0	0.0	-2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR250C	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR283C	0.0	2.4	2.5	0.0	0.0	0.0	2.2	2.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR291W	0.0	0.0	0.0	5.1	4.8	4.9	0.0	0.0	0.0	4.9	4.3	4.5	0.0	0.0	0.0	3.7	5.0	4.9
