orf	hap ? | growth (culture turbidity) | zinc chloride [1.1-2.2 mM] | YPD + DMSO [2.5%] | Reeder NL~Saunders CW, 2011	hap ? | growth (culture turbidity) | pyrithione zinc [2.5-10 uM] | YPD + DMSO [2.5%] | Reeder NL~Saunders CW, 2011
YBR127C	-15.094701056993477	0.0
YDL185W	-15.094701056993477	0.0
YEL027W	-15.094701056993477	0.0
YEL051W	-15.094701056993477	0.0
YGL124C	-15.094701056993477	0.0
YGR020C	-15.094701056993477	0.0
YGR105W	-15.094701056993477	0.0
YHR026W	-15.094701056993477	0.0
YHR039C-A	-15.094701056993477	0.0
YHR060W	-15.094701056993477	0.0
YKL080W	-15.094701056993477	0.0
YKL118W	-15.094701056993477	0.0
YKL119C	-15.094701056993477	0.0
YLR447C	-15.094701056993477	0.0
YMR123W	-15.094701056993477	0.0
YOR270C	-15.094701056993477	0.0
YOR331C	-15.094701056993477	0.0
YPL234C	-15.094701056993477	0.0
YPR036W	-15.094701056993477	0.0
YPR099C	-15.094701056993477	0.0
YBL025W	0.0	-15.094701056993477
YBR200W	0.0	-15.094701056993477
YBR268W	0.0	-15.094701056993477
YGL165C	0.0	-15.094701056993477
YGL166W	0.0	-15.094701056993477
YHR187W	0.0	-15.094701056993477
YJR122W	0.0	-15.094701056993477
YKL155C	0.0	-15.094701056993477
YLL027W	0.0	-15.094701056993477
YLR025W	0.0	-15.094701056993477
YLR369W	0.0	-15.094701056993477
YLR396C	0.0	-15.094701056993477
YLR403W	0.0	-15.094701056993477
YML028W	0.0	-15.094701056993477
YMR066W	0.0	-15.094701056993477
YMR097C	0.0	-15.094701056993477
YPL031C	0.0	-15.094701056993477
YPL045W	0.0	-15.094701056993477
YPL059W	0.0	-15.094701056993477
YPL118W	0.0	-15.094701056993477
