orf	hap a | growth (spot assay) | quinine [1.5-1.7 g/L] | Dos Santos SC~Sa Correia I, 2011
YAL024C	-2.620585789383372
YAL026C	-5.241171578766744
YAL044C	-5.241171578766744
YAL056W	-2.620585789383372
YAR003W	-2.620585789383372
YBL006C	-5.241171578766744
YBL007C	-5.241171578766744
YBL022C	2.620585789383372
YBR011C	-5.241171578766744
YBR044C	-5.241171578766744
YBR048W	2.620585789383372
YBR068C	-5.241171578766744
YBR069C	-5.241171578766744
YBR082C	2.620585789383372
YBR085W	-5.241171578766744
YBR089C-A	-2.620585789383372
YBR098W	-2.620585789383372
YBR101C	-2.620585789383372
YBR105C	-5.241171578766744
YBR106W	-5.241171578766744
YBR127C	-5.241171578766744
YBR161W	-2.620585789383372
YBR179C	-2.620585789383372
YBR181C	2.620585789383372
YBR201W	-2.620585789383372
YBR215W	-2.620585789383372
YBR221C	-2.620585789383372
YBR229C	-5.241171578766744
YBR267W	-2.620585789383372
YBR279W	-5.241171578766744
YCL025C	2.620585789383372
YCL032W	-5.241171578766744
YCL033C	-5.241171578766744
YCL061C	-2.620585789383372
YCR009C	-5.241171578766744
YCR024C	-2.620585789383372
YCR034W	-2.620585789383372
YCR066W	-2.620585789383372
YCR068W	-2.620585789383372
YCR071C	-2.620585789383372
YCR077C	2.620585789383372
YCR084C	-5.241171578766744
YCR094W	-5.241171578766744
YCR107W	2.620585789383372
YDL001W	2.620585789383372
YDL019C	-5.241171578766744
YDL040C	-2.620585789383372
YDL074C	-5.241171578766744
YDL159W-A	2.620585789383372
YDL167C	-5.241171578766744
YDL182W	-2.620585789383372
YDR027C	-2.620585789383372
YDR074W	-5.241171578766744
YDR129C	-5.241171578766744
YDR173C	-2.620585789383372
YDR176W	-5.241171578766744
YDR194W-A	2.620585789383372
YDR195W	-5.241171578766744
YDR200C	-5.241171578766744
YDR207C	-5.241171578766744
YDR241W	2.620585789383372
YDR245W	-5.241171578766744
YDR255C	-2.620585789383372
YDR264C	-5.241171578766744
YDR270W	-2.620585789383372
YDR289C	-2.620585789383372
YDR322C-A	-5.241171578766744
YDR326C	2.620585789383372
YDR335W	-5.241171578766744
YDR369C	-2.620585789383372
YDR372C	-2.620585789383372
YDR383C	-2.620585789383372
YDR414C	-2.620585789383372
YDR435C	2.620585789383372
YDR448W	-5.241171578766744
YDR462W	-2.620585789383372
YDR466W	-2.620585789383372
YDR477W	-2.620585789383372
YDR484W	-5.241171578766744
YDR486C	2.620585789383372
YDR496C	-2.620585789383372
YDR497C	-5.241171578766744
YEL012W	-5.241171578766744
YEL031W	-5.241171578766744
YEL050C	-2.620585789383372
YEL071W	-2.620585789383372
YER005W	-2.620585789383372
YER014C-A	-5.241171578766744
YER040W	-2.620585789383372
YER081W	-2.620585789383372
YER083C	-2.620585789383372
YER120W	-5.241171578766744
YER145C	-5.241171578766744
YER155C	-5.241171578766744
YFL001W	-5.241171578766744
YFL007W	-2.620585789383372
YFL016C	-5.241171578766744
YFL018C	-5.241171578766744
YFL049W	-2.620585789383372
YFR010W	2.620585789383372
YFR040W	2.620585789383372
YGL027C	-2.620585789383372
YGL058W	-2.620585789383372
YGL066W	-2.620585789383372
YGL071W	-5.241171578766744
YGL087C	2.620585789383372
YGL100W	-5.241171578766744
YGL115W	-5.241171578766744
YGL126W	-2.620585789383372
YGL127C	-2.620585789383372
YGL151W	2.620585789383372
YGL167C	-2.620585789383372
YGL168W	-2.620585789383372
YGL173C	-5.241171578766744
YGL194C	-2.620585789383372
YGL211W	-5.241171578766744
YGL218W	2.620585789383372
YGL219C	-2.620585789383372
YGL227W	-5.241171578766744
YGL244W	-5.241171578766744
YGR032W	-2.620585789383372
YGR033C	-5.241171578766744
YGR036C	-5.241171578766744
YGR037C	-5.241171578766744
YGR055W	-2.620585789383372
YGR056W	-2.620585789383372
YGR057C	-2.620585789383372
YGR086C	-2.620585789383372
YGR092W	-5.241171578766744
YGR100W	-2.620585789383372
YGR104C	-2.620585789383372
YGR105W	-2.620585789383372
YGR118W	2.620585789383372
YGR122W	2.620585789383372
YGR135W	-2.620585789383372
YGR155W	-2.620585789383372
YGR163W	-5.241171578766744
YGR215W	-2.620585789383372
YGR223C	2.620585789383372
YGR252W	-2.620585789383372
YGR260W	-2.620585789383372
YGR262C	-5.241171578766744
YGR270W	2.620585789383372
YGR271C-A	-2.620585789383372
YGR285C	-5.241171578766744
YHL025W	-2.620585789383372
YHL031C	-5.241171578766744
YHR006W	-5.241171578766744
YHR010W	-2.620585789383372
YHR013C	-2.620585789383372
YHR030C	-5.241171578766744
YHR039C-A	-2.620585789383372
YHR059W	-2.620585789383372
YHR060W	-5.241171578766744
YHR064C	-2.620585789383372
YHR067W	-5.241171578766744
YHR187W	-2.620585789383372
YHR191C	-2.620585789383372
YHR205W	-2.620585789383372
YHR206W	-2.620585789383372
YIL008W	-5.241171578766744
YIL036W	-2.620585789383372
YIL052C	-2.620585789383372
YIL069C	-2.620585789383372
YIL076W	-2.620585789383372
YIL079C	-5.241171578766744
YIL093C	-2.620585789383372
YIL098C	-2.620585789383372
YIL105C	-2.620585789383372
YIL125W	-2.620585789383372
YIL133C	2.620585789383372
YIL148W	-2.620585789383372
YIL149C	2.620585789383372
YIL160C	-2.620585789383372
YJL029C	-2.620585789383372
YJL077W-B	2.620585789383372
YJL080C	-2.620585789383372
YJL117W	-5.241171578766744
YJL124C	2.620585789383372
YJL129C	-5.241171578766744
YJL136C	-5.241171578766744
YJL154C	2.620585789383372
YJL165C	-5.241171578766744
YJL179W	-2.620585789383372
YJL204C	-2.620585789383372
YJL210W	-5.241171578766744
YJR040W	-5.241171578766744
YJR043C	-2.620585789383372
YJR074W	2.620585789383372
YJR078W	-2.620585789383372
YJR145C	2.620585789383372
YKL003C	-5.241171578766744
YKL006W	-5.241171578766744
YKL041W	-2.620585789383372
YKL048C	-2.620585789383372
YKL056C	-2.620585789383372
YKL064W	-2.620585789383372
YKL081W	-5.241171578766744
YKL087C	-5.241171578766744
YKL096W	-2.620585789383372
YKL110C	-2.620585789383372
YKL118W	2.620585789383372
YKL126W	0.0
YKL139W	-2.620585789383372
YKL155C	-5.241171578766744
YKL176C	-2.620585789383372
YKL212W	-5.241171578766744
YKL213C	2.620585789383372
YKR001C	-5.241171578766744
YKR028W	2.620585789383372
YKR034W	2.620585789383372
YKR055W	-2.620585789383372
YLL007C	2.620585789383372
YLL010C	-2.620585789383372
YLL018C-A	-2.620585789383372
YLL020C	2.620585789383372
YLL046C	-2.620585789383372
YLR003C	-2.620585789383372
YLR015W	-2.620585789383372
YLR024C	2.620585789383372
YLR027C	-2.620585789383372
YLR055C	-2.620585789383372
YLR056W	-2.620585789383372
YLR058C	-2.620585789383372
YLR148W	-5.241171578766744
YLR182W	-5.241171578766744
YLR239C	-2.620585789383372
YLR242C	-2.620585789383372
YLR264W	2.620585789383372
YLR268W	-2.620585789383372
YLR287C-A	2.620585789383372
YLR320W	-2.620585789383372
YLR330W	-5.241171578766744
YLR337C	-5.241171578766744
YLR357W	2.620585789383372
YLR370C	-5.241171578766744
YLR371W	-2.620585789383372
YLR372W	-5.241171578766744
YLR373C	-2.620585789383372
