orf	hap alpha | growth (CFU) | dessication [unknown] | Rodriguez~Cordero, 2012
YBL025W	-6.411560504908935
YBL033C	-6.411560504908935
YBL038W	-6.411560504908935
YBL045C	-6.411560504908935
YBL053W	-6.411560504908935
YBL057C	-6.411560504908935
YBL080C	-6.411560504908935
YBR073W	-6.411560504908935
YBR146W	-6.411560504908935
YBR172C	-6.411560504908935
YBR194W	-6.411560504908935
YBR267W	-6.411560504908935
YBR268W	-6.411560504908935
YBR282W	-6.411560504908935
YCL004W	-6.411560504908935
YCR021C	-6.411560504908935
YCR045C	-6.411560504908935
YCR050C	-6.411560504908935
YCR068W	-6.411560504908935
YCR071C	-6.411560504908935
YCR094W	-6.411560504908935
YDL020C	-6.411560504908935
YDL039C	-6.411560504908935
YDL044C	-6.411560504908935
YDL045W-A	-6.411560504908935
YDL056W	-6.411560504908935
YDL068W	-6.411560504908935
YDL091C	-6.411560504908935
YDL093W	-6.411560504908935
YDL107W	-6.411560504908935
YDL114W	-6.411560504908935
YDL133W	-6.411560504908935
YDR010C	-6.411560504908935
YDR175C	-6.411560504908935
YDR197W	-6.411560504908935
YDR204W	-6.411560504908935
YDR337W	-6.411560504908935
YDR350C	-6.411560504908935
YDR363W-A	-6.411560504908935
YDR405W	-6.411560504908935
YDR432W	-6.411560504908935
YDR433W	-6.411560504908935
YDR511W	-6.411560504908935
YEL024W	-6.411560504908935
YER087W	-6.411560504908935
YER145C	-6.411560504908935
YER153C	-6.411560504908935
YER154W	-6.411560504908935
YFL036W	-6.411560504908935
YFR032C	-6.411560504908935
YFR032C-A	-6.411560504908935
YGR180C	-6.411560504908935
YGR222W	-6.411560504908935
YGR231C	-6.411560504908935
YGR240C	-6.411560504908935
YGR243W	-6.411560504908935
YHL007C	-6.411560504908935
YHR011W	-6.411560504908935
YHR038W	-6.411560504908935
YHR039C-A	-6.411560504908935
YHR079C-A	-6.411560504908935
YIL084C	-6.411560504908935
YIR021W	-6.411560504908935
YJL140W	-6.411560504908935
YKR006C	-6.411560504908935
YKR009C	-6.411560504908935
YKR033C	-6.411560504908935
YKR085C	-6.411560504908935
YKR089C	-6.411560504908935
YKR090W	-6.411560504908935
YKR098C	-6.411560504908935
YLL018C-A	-6.411560504908935
YLR136C	-6.411560504908935
YLR138W	-6.411560504908935
YLR144C	-6.411560504908935
YLR350W	-6.411560504908935
YLR428C	-6.411560504908935
YLR429W	-6.411560504908935
YLR434C	-6.411560504908935
YLR435W	-6.411560504908935
YLR437C	-6.411560504908935
YLR439W	-6.411560504908935
YLR441C	-6.411560504908935
YLR453C	-6.411560504908935
YLR454W	-6.411560504908935
YLR456W	-6.411560504908935
YMR008C	-6.411560504908935
YMR009W	-6.411560504908935
YMR158C-A	-6.411560504908935
YMR158W	-6.411560504908935
YMR175W	-6.411560504908935
YMR320W	-6.411560504908935
YNL003C	-6.411560504908935
YNL073W	-6.411560504908935
YNL081C	-6.411560504908935
YNL248C	-6.411560504908935
YNL280C	-6.411560504908935
YNL294C	-6.411560504908935
YNR036C	-6.411560504908935
YOR150W	-6.411560504908935
YOR155C	-6.411560504908935
YOR158W	-6.411560504908935
YOR305W	-6.411560504908935
YOR306C	-6.411560504908935
YOR318C	-6.411560504908935
YOR333C	-6.411560504908935
YOR342C	-6.411560504908935
YPL029W	-6.411560504908935
YPL059W	-6.411560504908935
YPL069C	-6.411560504908935
YPL104W	-6.411560504908935
