orf	het | chronological lifespan (relative abundance of dead cells) | nutrient starvation (7 d) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012	het | growth (pooled culture, microarray) | nutrient starvation (48 h) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012
YAL003W	-1.0	0.0
YAL012W	-1.0	0.0
YAL022C	-1.0	0.0
YAL024C	-1.0	0.0
YAL025C	-1.0	0.0
YAL026C	-1.0	0.0
YAL029C	-1.0	0.0
YAL043C	0.0	-1.0
YAL053W	-1.0	0.0
YAL061W	-1.0	0.0
YAL065C	-1.0	0.0
YAL068C	-1.0	0.0
YAR003W	-1.0	0.0
YBL004W	-1.0	0.0
YBL006C	-1.0	0.0
YBL010C	0.0	-1.0
YBL035C	-1.0	0.0
YBL056W	-1.0	0.0
YBL078C	-1.0	0.0
YBL079W	-1.0	0.0
YBL082C	-1.0	0.0
YBL084C	-1.0	0.0
YBL087C	-1.0	0.0
YBL091C-A	-1.0	0.0
YBL099W	0.0	-1.0
YBR001C	-1.0	0.0
YBR002C	-1.0	0.0
YBR010W	0.0	-1.0
YBR012C	-1.0	0.0
YBR013C	0.0	-1.0
YBR021W	0.0	-1.0
YBR030W	-1.0	0.0
YBR031W	0.0	-1.0
YBR035C	0.0	-1.0
YBR042C	0.0	-1.0
YBR063C	-1.0	0.0
YBR067C	-1.0	0.0
YBR072W	0.0	-1.0
YBR074W	-1.0	0.0
YBR076W	-1.0	0.0
YBR077C	-1.0	0.0
YBR085W	-1.0	0.0
YBR086C	-1.0	0.0
YBR094W	0.0	-1.0
YBR104W	-1.0	0.0
YBR106W	-1.0	0.0
YBR107C	-1.0	0.0
YBR110W	0.0	-1.0
YBR121C	-1.0	0.0
YBR135W	-1.0	0.0
YBR138C	-1.0	0.0
YBR143C	-1.0	0.0
YBR145W	-1.0	0.0
YBR146W	-1.0	0.0
YBR148W	-1.0	0.0
YBR150C	-1.0	0.0
YBR153W	-1.0	0.0
YBR162C	0.0	-1.0
YBR162W-A	-1.0	0.0
YBR165W	-1.0	0.0
YBR166C	-1.0	0.0
YBR168W	-1.0	0.0
YBR171W	-1.0	0.0
YBR175W	-1.0	0.0
YBR177C	0.0	-1.0
YBR181C	-1.0	0.0
YBR185C	0.0	-1.0
YBR188C	0.0	-1.0
YBR191W	-1.0	0.0
YBR198C	0.0	-1.0
YBR201W	0.0	-1.0
YBR206W	0.0	-1.0
YBR262C	-1.0	0.0
YBR268W	-1.0	0.0
YBR276C	-1.0	0.0
YBR289W	-1.0	0.0
YCL001W	-1.0	0.0
YCL004W	-1.0	0.0
YCL010C	-1.0	0.0
YCL034W	0.0	-1.0
YCL035C	-1.0	0.0
YCL043C	0.0	-1.0
YCL055W	-1.0	0.0
YCL056C	-1.0	0.0
YCL058C	-1.0	0.0
YCL069W	-1.0	0.0
YCR002C	-1.0	0.0
YCR008W	-1.0	0.0
YCR012W	-1.0	0.0
YCR051W	-1.0	0.0
YCR075C	-1.0	0.0
YCR088W	-1.0	0.0
YCR091W	-1.0	0.0
YCR100C	-1.0	0.0
YCR101C	-1.0	0.0
YCR102C	-1.0	0.0
YCR105W	-1.0	0.0
