ORF	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YAL002W	-1.861	0.000	4.152
YAL004W	0.000	0.000	2.643
YAL005C	0.000	0.000	2.508
YAL007C	0.000	0.000	1.767
YAL008W	0.000	0.000	-1.136
YAL009W	0.000	0.000	0.152
YAL011W	0.000	0.000	2.291
YAL012W	0.000	0.000	-0.367
YAL014C	0.000	0.000	1.483
YAL015C	0.000	0.000	0.682
YAL017W	0.000	0.000	2.009
YAL018C	0.000	0.000	0.127
YAL019W	0.000	0.000	2.075
YAL020C	0.000	0.000	3.190
YAL021C	-7.058	0.000	0.528
YAL022C	0.000	0.000	0.370
YAL024C	-5.923	-2.346	-1.189
YAL026C	0.000	0.000	4.294
YAL027W	0.000	0.000	1.585
YAL028W	0.000	0.000	1.991
YAL029C	0.000	0.000	-2.286
YAL030W	0.000	0.000	2.491
YAL031C	0.000	0.000	0.759
YAL034C	0.000	0.000	1.399
YAL036C	0.000	0.000	0.810
YAL037W	0.000	0.000	-0.123
YAL040C	0.000	0.000	1.613
YAL042C-A	0.000	0.000	2.484
YAL042W	0.000	0.000	2.544
YAL045C	0.000	0.000	1.778
YAL046C	0.000	0.000	-2.254
YAL048C	0.000	0.000	-1.966
YAL049C	0.000	0.000	1.706
YAL051W	0.000	0.000	0.796
YAL053W	0.000	0.000	3.494
YAL054C	0.000	0.000	-2.344
YAL055W	0.000	0.000	-2.570
YAL056C-A	0.000	0.000	0.603
YAL056W	0.000	0.000	-1.357
YAL058W	0.000	0.000	2.836
YAL059W	0.000	0.000	4.361
YAL060W	0.000	0.000	1.704
YAL061W	0.000	0.000	0.136
YAL062W	0.000	0.000	2.419
YAL064C-A	0.000	0.000	-2.303
YAL065C	0.000	0.000	1.063
YAL066W	0.000	0.000	2.435
YAL067C	0.000	0.000	0.773
YAL068C	0.000	0.000	2.080
YAR002C-A	0.000	0.000	-1.483
YAR002W	-2.106	0.000	0.000
YAR003W	0.000	0.000	2.947
YAR014C	0.000	0.000	5.984
YAR015W	0.000	0.000	2.163
YAR018C	0.000	0.000	6.940
YAR020C	0.000	0.000	0.669
YAR023C	0.000	0.000	0.866
YAR027W	0.000	0.000	1.585
YAR028W	0.000	0.000	0.900
YAR029W	0.000	0.000	-2.598
YAR030C	0.000	0.000	-2.423
