orf	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YAL002W	-2.8581443928754293	0.0	3.884365633428212
YAL021C	-10.83975450022288	0.0	1.5062371919131432
YAL024C	-9.09660894089262	-4.169112808478656	0.37972898538755717
YAR002W	-3.234418103920287	0.0	
YBL046W	-2.027270606445764	-5.7969505461455135	0.012825352167689302
YBL058W	-2.650809899034385	0.0	
YBL079W	-4.0775783788738655	0.0	0.743334608421179
YBR078W	-3.7166627784839004	0.0	0.5368607998831577
YBR081C	-5.045139350132072	0.0	
YBR097W	-2.529480824860737	0.0	
YBR098W	-3.665981013322756	0.0	0.18237509355845713
YBR099C	-2.848929526482494	0.0	0.5966757914847176
YBR194W	-2.6953484199335724	0.0	
YBR290W	-4.51989196573476	0.0	3.9821883772084488
YBR291C	-2.2607138884001245	0.0	0.2071280159520659
YBR298C	-3.1438052510564236	0.0	0.8610064308813563
YCL001W-A	-2.443475405193341	0.0	0.6525861839708158
YCL008C	-2.6462024658379177	0.0	1.876562401350771
YCL037C	-2.0902388601308215	0.0	0.9187045504672843
YCL061C	-2.6538815211653635	0.0	0.8681029920969028
YCR009C	-7.5331532762246	0.0	
YCR026C	-2.9441498125428254	0.0	0.6258241872552621
YCR027C	-3.4555748973507336	0.0	1.0879101197819108
YCR034W	-5.3738029181467635	-2.599919880138224	1.7725189280123386
YCR036W	-2.6615605764928096	0.0	1.029998134951751
YCR044C	-7.4271823127058445	0.0	
YCR045C	-2.8811815588577674	0.0	0.4266014084072267
YCR050C	-2.5601970461705217	0.0	0.9113417645965841
YCR059C	-2.7045632863265077	0.0	0.29439515882784917
YCR061W	-3.16991403916974	0.0	0.6395331604788084
YCR065W	-2.8796457477922783	0.0	1.0622850423124652
YCR066W	-5.9174800353299455	0.0	1.5116697232809382
YCR068W	-2.613950433462644	0.0	0.3045308539260965
YCR077C	-7.021728191416691	0.0	1.7132059206800418
YCR079W	-2.5248733916642694	0.0	-0.01829141767972977
YCR081W	-3.770416165776023	0.0	2.273545724557104
YCR087C-A	-2.3590057965914344	0.0	0.2560979996943008
YCR087W	-3.4156438096480146	0.0	0.4607994558086259
YCR098C	-2.050307772428102	0.0	1.7330792751644035
YDL006W	-5.000600829232884	0.0	3.4628480012886254
YDL013W	-2.8351072268930912	0.0	
YDL020C	-3.358818800224913	0.0	4.248036866744053
YDL023C	-2.799783572386839	0.0	1.992754493245952
YDL037C	-2.3912578289667077	0.0	0.39873453453909236
YDL040C	-6.517982161936228	-5.258484569602874	1.8360207144624845
YDL041W	-7.863352655304781	0.0	3.411997845558914
YDL059C	-2.2115679343044694	0.0	1.5316817560318183
YDL100C	-2.0318780396422316	0.0	0.7563256630016296
YDL116W	-2.4787990596995932	0.0	
YDL160C	-6.700743678729446	0.0	
YDL168W	-6.737603144301186	0.0	0.5732106458404238
YDR004W	-2.742958562963738	0.0	1.2480961609308332
YDR005C	-2.7045632863265077	0.0	-0.16587956052364566
YDR028C	-2.219246989631916	-5.75252266029216	1.5637343253345377
YDR048C	-5.037460294804625	0.0	
YDR049W	-6.398188898828071	0.0	1.0770781489043637
YDR069C	-4.816303501374178	-3.881220108148928	
YDR074W	-2.1562787359468576	0.0	
YDR076W	-2.385114584704751	0.0	2.510744390856752
YDR120C	-2.7091707195229753	-5.9373426654421095	0.7281919739858018
YDR129C	-3.9623925489621747	0.0	
YDR138W	-3.782702654299937	0.0	
YDR150W	-2.6108788113316654	0.0	
YDR162C	-3.278956624819474	0.0	5.234421849635745
YDR165W	-2.334432819543607	0.0	0.5459675070552586
YDR176W	-5.69478743083401	0.0	3.5785451729549296
YDR195W	-4.991385962839949	0.0	
YDR207C	-3.9193898391284767	0.0	1.806113579518257
YDR245W	-3.841063474788527	0.0	
YDR260C	-5.175683290698655	0.0	0.876094608782491
YDR264C	-4.762550114082056	-3.5346825984927737	
YDR266C	-4.5767169751578605	0.0	1.3695429803289942
YDR276C	-2.104061159720225	0.0	0.3751581357262481
YDR378C	-2.8535369596789617	0.0	
YDR385W	-5.684036753375585	0.0	0.684841729616629
YDR386W	-3.9178540280629877	0.0	0.38355187783156114
YDR388W	-5.550421190678023	0.0	
YDR392W	-4.1144378444456065	0.0	5.54515433323788
YDR432W	-4.6565791505633	0.0	
YDR448W	-4.648900095235854	0.0	
YEL036C	-6.24307198121366	-3.387182017459641	
YEL044W	-4.8347332341600495	0.0	
YER019W	-2.5033720367474204	0.0	1.7659491517527346
YER070W	-3.020940365817286	0.0	
YER095W	-3.507792473577367	0.0	2.464064862066808
YER162C	-3.136126195728977	0.0	0.4408060345078021
YER164W	-2.351326741263988	0.0	1.0822307430680214
YFL025C	-3.277420813753985	0.0	0.9479282449717229
YFL033C	-2.2376767224177865	0.0	-0.2402422543915081
YFR019W	-4.214265563702407	0.0	
YFR036W	-7.144593076655829	0.0	1.2331011496304505
YGL012W	-5.232508300121756	0.0	4.898895240382769
YGL035C	-2.421974050276492	-4.961706292102475	-0.05764227794572726
YGL038C	-2.471120004372147	0.0	
YGL058W	-5.014423128822287	0.0	
YGL066W	-4.180477720261643	0.0	5.803446705271176
YGL070C	-2.1194192703751167	0.0	
YGL163C	-3.318887712522194	0.0	
YGL213C	-5.309298853396216	0.0	0.43741835693585573
YGL214W	-5.029781239477179	0.0	0.6867980095314813
YGR092W	-6.895791684046576	-2.3884431434762634	0.9023181637819614
YGR104C	-3.7120553452874323	0.0	
YGR164W	-3.0240119879482648	0.0	-0.3405057006703198
YGR167W	-6.5072314844778045	0.0	
YGR229C	-3.6122276260306334	-2.2693764093892765	0.535863086191536
YGR252W	-4.596682519009221	0.0	4.254035833548345
YGR262C	-2.4173666170800248	0.0	
YGR271W	-5.691715808703031	-2.4506421836709573	0.45784436869744854
YHL027W	-2.1009895375892462	0.0	0.33810604104828984
YHR013C	-4.06836351248093	0.0	2.5032145174673324
YHR025W	-8.996781221635821	-5.171405913330302	0.15148830962031223
YHR030C	-2.7690673510770547	0.0	0.32942317629932827
YHR059W	-4.269554762060017	0.0	
YHR167W	-2.2484273998762108	0.0	0.622724101420379
YIL005W	-2.6415950326414497	0.0	0.3982730755541468
YIL029C	-3.5185431510357916	0.0	1.4203263447914063
YIL041W	-3.768880354710534	0.0	0.9533137556372605
YIL052C	-3.358818800224913	-7.4940957857436015	1.010275771596871
