ORF	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011
YAL001C	NaN	NaN	NaN	NaN	NaN	NaN	0.246	0.025	-0.369	-0.133	0.279	-0.760
YAL002W	-0.841	-7.690	-0.141	1.259	-1.014	0.640	0.996	-0.877	-0.871	0.065	1.714	2.705
YAL003W	NaN	NaN	NaN	NaN	NaN	NaN	-1.331	1.143	-0.123	1.462	0.225	-0.668
YAL004W	-0.295	-1.023	0.050	0.166	-0.076	-0.115	0.546	-0.419	0.175	-0.444	-0.158	0.538
YAL005C	-1.224	-0.898	-0.491	-0.039	0.105	-0.121	-0.347	-0.341	0.616	-2.484	-0.764	-0.684
YAL007C	-0.462	0.451	-0.414	-0.036	0.228	0.136	NaN	NaN	NaN	NaN	NaN	NaN
YAL008W	0.748	-0.190	-0.251	-0.057	-0.107	-0.658	-0.213	-0.693	-0.580	0.129	0.145	1.142
YAL009W	NaN	NaN	NaN	NaN	NaN	NaN	-0.984	-0.173	0.482	0.883	-0.160	0.861
YAL010C	NaN	NaN	NaN	NaN	NaN	NaN	-1.255	-0.703	-0.515	-0.242	0.663	2.204
YAL011W	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	1.639	4.468	0.356	0.159	-1.923
YAL012W	NaN	NaN	NaN	NaN	NaN	NaN	0.440	0.339	0.425	-0.189	0.578	0.063
YAL013W	NaN	NaN	NaN	NaN	NaN	NaN	1.050	0.683	0.106	0.382	0.549	0.791
YAL014C	1.659	1.787	0.498	0.024	0.203	0.028	0.427	0.072	0.184	0.645	-0.751	-1.406
YAL015C	0.000	0.483	0.538	-0.030	0.382	-0.920	-1.812	-1.789	0.412	0.068	1.745	0.385
YAL016W	-2.045	-1.139	-1.974	NaN	-1.168	NaN	-0.554	-0.264	-0.346	0.265	-0.183	0.556
YAL017W	0.144	-1.160	-0.146	-0.345	0.008	-0.172	-0.371	-0.539	-0.831	-0.993	0.155	-0.336
YAL018C	-0.143	0.398	0.278	0.615	0.698	-0.537	1.171	0.873	1.559	-0.807	-0.408	-0.051
YAL019W	0.019	0.257	0.680	NaN	0.476	-0.428	0.385	-0.700	0.601	1.133	0.978	1.001
YAL020C	NaN	NaN	NaN	NaN	NaN	NaN	1.628	0.048	-0.581	-0.027	0.636	2.522
YAL021C	NaN	NaN	NaN	NaN	NaN	NaN	0.184	1.853	0.862	0.317	0.973	1.658
YAL022C	0.562	0.298	1.025	0.290	0.438	0.084	-1.284	-0.338	-0.610	-0.599	-0.733	0.408
YAL023C	NaN	NaN	NaN	NaN	NaN	NaN	-1.386	0.862	0.871	0.719	-1.547	-2.469
YAL025C	NaN	NaN	NaN	NaN	NaN	NaN	0.920	-1.059	-1.216	-0.350	0.116	0.995
YAL026C	NaN	NaN	NaN	NaN	NaN	NaN	0.183	-0.597	0.024	-0.341	-0.235	-1.547
YAL027W	0.504	1.022	0.156	-0.774	0.927	0.201	0.097	0.107	1.768	0.706	1.830	-0.022
YAL028W	0.730	0.240	0.899	-0.682	0.765	0.880	-0.291	0.526	-1.007	-1.853	0.024	0.316
YAL029C	0.715	-0.218	0.938	1.033	0.401	-0.102	1.182	0.192	0.992	0.832	-0.395	-1.000
YAL030W	0.613	-0.261	0.972	0.665	1.274	0.483	-1.013	0.479	0.144	0.099	-1.414	-0.767
YAL031C	0.234	-0.468	0.914	0.925	-0.181	0.738	1.619	-1.015	-0.546	0.991	-2.153	-0.116
YAL032C	NaN	NaN	NaN	NaN	NaN	NaN	0.529	2.299	-0.309	-0.622	0.864	1.650
YAL033W	NaN	NaN	NaN	NaN	NaN	NaN	0.869	1.618	0.582	-0.276	-0.972	1.152
YAL034C	-0.031	-0.006	-0.691	-0.025	-0.295	0.202	-1.253	-0.201	0.089	0.750	-1.076	0.443
YAL034C-B	NaN	NaN	NaN	NaN	NaN	NaN	0.050	1.928	1.465	1.201	1.662	0.909
YAL034W-A	NaN	NaN	NaN	NaN	NaN	NaN	-0.644	0.445	3.231	0.830	0.893	0.462
YAL035W	NaN	NaN	NaN	NaN	NaN	NaN	-1.041	-1.320	-0.455	-0.917	-1.149	-1.371
YAL036C	0.081	0.668	0.228	NaN	0.680	-0.311	-0.375	-1.603	NaN	0.024	NaN	-0.081
