ORF	hom | cell cycle progression in G1 phase | YPD [standard] | Hoose SA~Polymenis M, 2012
YDR004W	0.088
YLR079W	0.104
YBR119W	0.117
YNL250W	0.121
YKL101W	0.125
YLL002W	0.143
YMR190C	0.152
YBL058W	0.164
YJL047C	0.172
YDR318W	0.173
YDL013W	0.177
YPR164W	0.192
YDR414C	0.193
YPR119W	0.195
YKR047W	0.205
YHR143W	0.205
YER116C	0.208
YER095W	0.209
YPL018W	0.211
YER143W	0.211
YKR048C	0.211
YML106W	0.212
YOR035C	0.212
YPR159W	0.212
YGL043W	0.212
YJR043C	0.212
YOR131C	0.213
YBR134W	0.213
YMR158W-A	0.213
YPL253C	0.213
YJL092W	0.214
YOR351C	0.215
YPR061C	0.215
YDR424C	0.215
YDR459C	0.215
YDR076W	0.216
YDL192W	0.216
YFL042C	0.216
YDR205W	0.216
YOR302W	0.217
YOR377W	0.217
YOR298C-A	0.219
YPL069C	0.219
YJR075W	0.219
YDL131W	0.220
YDR455C	0.220
YAR014C	0.220
YML075C	0.221
YML076C	0.221
YOR133W	0.221
YLR334C	0.222
YJL070C	0.222
YBR137W	0.222
YCL060C	0.222
YPL030W	0.222
YDR254W	0.223
YOR195W	0.223
YJL078C	0.223
YIL052C	0.223
YJR019C	0.223
YGL151W	0.223
YER162C	0.223
YML038C	0.225
YDR162C	0.226
YML107C	0.226
YLR113W	0.227
YPL037C	0.227
YLR426W	0.228
YJL066C	0.228
YHR171W	0.228
YHR146W	0.228
YPL025C	0.228
YER139C	0.228
YDR369C	0.228
YIL009C-A	0.228
YJL048C	0.229
YOR339C	0.229
YOR347C	0.230
YDL095W	0.230
YML101C	0.230
YJL043W	0.230
YGL059W	0.231
YER111C	0.231
YMR137C	0.231
YPL241C	0.231
YCR086W	0.231
YML100W-A	0.231
YML111W	0.231
YML102C-A	0.232
YGL141W	0.232
YOR343C	0.232
YCR076C	0.233
YMR179W	0.233
YAR018C	0.233
YJL062W	0.233
YMR219W	0.233
YJL116C	0.233
YLR394W	0.233
YML108W	0.233
YCL016C	0.234
YNL271C	0.234
YLL015W	0.234
YLR235C	0.234
YGL005C	0.234
YNL239W	0.235
YJL105W	0.235
YMR175W	0.235
YDR014W	0.235
YOL141W	0.236
YMR191W	0.236
YOL028C	0.236
YOR269W	0.236
YML095C	0.236
YOR375C	0.236
YOL104C	0.236
YML006C	0.237
YDR310C	0.237
YJL042W	0.237
YOR135C	0.237
YML028W	0.237
YER031C	0.237
YCR075C	0.237
YDR467C	0.238
YPL023C	0.238
YLR246W	0.238
YNL031C	0.238
YKL053W	0.238
YBR273C	0.238
YAR030C	0.238
YJR088C	0.238
YGL146C	0.238
YOL150C	0.238
YML109W	0.238
YJL127C	0.238
YDL071C	0.238
YOL044W	0.238
YNL273W	0.238
YDR438W	0.238
YER046W	0.239
YCR088W	0.239
YDR345C	0.239
YGL110C	0.239
YNR049C	0.239
YGL062W	0.240
YNR030W	0.240
YPR097W	0.240
YGL144C	0.240
YJL124C	0.241
YOR267C	0.241
YDR522C	0.241
YOL035C	0.241
YIL132C	0.241
YMR006C	0.241
YER119C-A	0.241
YMR126C	0.242
YML099C	0.242
YML042W	0.242
YML100W	0.242
YPR101W	0.242
YMR306W	0.242
YNL279W	0.243
YDL080C	0.243
YLR381W	0.243
YOR248W	0.243
YDL052C	0.243
YPR096C	0.244
YDL134C-A	0.244
YLR032W	0.244
YDR320C	0.244
YGL166W	0.244
YER175C	0.244
YJL101C	0.244
YML001W	0.244
YHR151C	0.244
YML009C	0.244
YGR295C	0.245
YML115C	0.245
YDR058C	0.245
YPL008W	0.245
YMR053C	0.246
YIL121W	0.246
YAR002C-A	0.246
YDR363W	0.246
YML103C	0.246
YGR210C	0.247
YNR031C	0.247
YLL030C	0.247
YIL162W	0.247
YDL113C	0.247
YJR118C	0.247
YDL134C	0.247
YER039C-A	0.247
YKR096W	0.247
YNL104C	0.247
YHR110W	0.248
YER164W	0.248
YDL089W	0.248
YJL060W	0.248
YDR207C	0.248
YOR280C	0.248
YDR260C	0.248
YLR318W	0.249
YMR111C	0.249
YGL153W	0.249
YFR024C	0.249
YNL142W	0.249
YGL241W	0.249
YGL087C	0.249
YML104C	0.249
YGL175C	0.249
YPL147W	0.249
YHR006W	0.249
YMR010W	0.249
YDR446W	0.250
YNR019W	0.250
YPR018W	0.250
YPL232W	0.250
YDL070W	0.250
YDR323C	0.251
YCR082W	0.251
YHR127W	0.251
YKL096W-A	0.251
YCR069W	0.251
YMR164C	0.251
YBR173C	0.251
YGR051C	0.251
YHR191C	0.251
YMR031C	0.251
YOR359W	0.251
YNR039C	0.252
YHR134W	0.252
YDR073W	0.252
YJL055W	0.252
YNL195C	0.252
YKL115C	0.252
YCL024W	0.253
YMR153C-A	0.253
YML102W	0.253
YDL050C	0.253
YGR141W	0.253
YJL036W	0.253
YOL013C	0.254
YGL243W	0.254
YDR508C	0.254
YDL059C	0.254
YGL168W	0.254
YNR021W	0.254
YHR185C	0.254
YDL129W	0.254
YOR263C	0.254
YJR044C	0.255
YOR265W	0.255
YEL061C	0.255
YNL013C	0.255
YER155C	0.255
YPL256C	0.255
YDL012C	0.255
YCR007C	0.255
YER063W	0.255
YGL124C	0.255
YNL100W	0.255
YMR174C	0.255
YML096W	0.255
YOR270C	0.255
YOR266W	0.256
YMR161W	0.256
YPL272C	0.256
YOR134W	0.256
YNL020C	0.256
YBR274W	0.256
YDR146C	0.256
YPL032C	0.256
YBL051C	0.256
YDR159W	0.256
YOR277C	0.257
YPL246C	0.257
YDR389W	0.257
YOR083W	0.257
YOR344C	0.257
YLR319C	0.258
YOR121C	0.258
YOR019W	0.258
YDR111C	0.258
YDL088C	0.258
YJL121C	0.258
YOR264W	0.258
YJL045W	0.258
YOR112W	0.258
YML120C	0.258
YOR279C	0.258
YDR048C	0.258
YDL123W	0.258
YKL215C	0.259
YER130C	0.259
YBL106C	0.259
YOR371C	0.259
YOL051W	0.259
YPL265W	0.259
YMR135W-A	0.259
YPR098C	0.260
YPR046W	0.260
YPR070W	0.260
YML019W	0.260
YJL165C	0.260
YOR273C	0.260
YDL027C	0.260
YPR052C	0.260
YNL106C	0.260
YDL133W	0.260
YNL034W	0.260
YNL043C	0.260
YMR099C	0.260
YDR092W	0.260
YIR002C	0.260
YML012W	0.260
YJR025C	0.260
YMR058W	0.260
YOL075C	0.260
YAL005C	0.260
YCR065W	0.261
YJL126W	0.261
YDL076C	0.261
YDR456W	0.261
YER151C	0.261
YML115C	0.261
YJR137C	0.261
YJL093C	0.261
YNL190W	0.261
YNL227C	0.261
YDR368W	0.261
YNR008W	0.261
YBL055C	0.262
YER037W	0.262
YOL155C	0.262
YPR053C	0.262
YPR004C	0.262
YDR452W	0.262
YPL240C	0.263
YIL092W	0.263
YMR118C	0.263
YOR101W	0.263
YPR093C	0.263
YGR063C	0.263
YLR237W	0.263
YKL142W	0.263
YGL131C	0.263
YNL316C	0.263
YOR342C	0.263
YOL138C	0.263
YML027W	0.263
YER122C	0.264
YOR384W	0.264
YBR275C	0.264
YPL033C	0.264
YBR130C	0.264
YCL039W	0.264
YPL224C	0.264
YMR167W	0.264
YGL129C	0.264
YDL026W	0.264
YCL047C	0.264
YML066C	0.264
YNR069C	0.264
YOR348C	0.264
YKR053C	0.264
YIL058W	0.265
YNL136W	0.265
YDL093W	0.265
YFR017C	0.265
YKL162C-A	0.265
YBR029C	0.265
YLR371W	0.265
YML074C	0.265
YDR057W	0.265
YML097C	0.265
YNL085W	0.265
YDL180W	0.265
YDL085W	0.265
YGL214W	0.265
YPR037C	0.266
YDL125C	0.266
YBL046W	0.266
YDR469W	0.266
YOR079C	0.266
YLR111W	0.266
YOR327C	0.266
YFL019C	0.266
YNL187W	0.266
YBR159W	0.266
YBR032W	0.266
YOL048C	0.266
YER183C	0.266
YJL200C	0.266
YHR200W	0.266
YNL206C	0.266
YPL163C	0.266
YFL014W	0.266
YOL015W	0.267
YDR513W	0.267
YJL053W	0.267
YKL221W	0.267
YHR154W	0.267
YIL085C	0.267
YLR003C	0.267
YDR492W	0.267
YJL051W	0.267
YNL274C	0.267
YDR509W	0.268
YGL002W	0.268
YCR073W-A	0.268
YDL073W	0.268
YGR038W	0.268
YEL028W	0.268
YNL300W	0.268
YPR121W	0.268
YOR165W	0.268
YPR042C	0.268
YGL167C	0.268
YGL176C	0.268
YLL023C	0.268
YBR027C	0.268
YER027C	0.268
YBR090C	0.268
YBR036C	0.268
YOR365C	0.268
YHR158C	0.269
YOL036W	0.269
YFL019C	0.269
YJR020W	0.269
YDL128W	0.269
YGL156W	0.269
YAL024C	0.269
YHR015W	0.269
YHR156C	0.269
YIL024C	0.269
YGL067W	0.269
YLL019C	0.269
YLL049W	0.269
YMR052W	0.269
YOR220W	0.269
YAR015W	0.269
YDR100W	0.269
YBR207W	0.269
YLR286C	0.269
YCR083W	0.269
YLR346C	0.269
YIR042C	0.270
YPR133W-A	0.270
YPR118W	0.270
YOR255W	0.270
YNR072W	0.270
YLR361C	0.270
YMR106C	0.270
YOR321W	0.270
YJL038C	0.270
YHR076W	0.270
YPL250C	0.270
YLR390W-A	0.270
YKL085W	0.270
YGL086W	0.270
YOL029C	0.270
YGL138C	0.270
YER103W	0.270
YOR186W	0.271
YMR148W	0.271
YOL067C	0.271
YCR034W	0.271
YML095C-A	0.271
YKL073W	0.271
YNR013C	0.271
YKR095W	0.271
YPR054W	0.271
YNL049C	0.271
YOR208W	0.271
YMR157C	0.271
YKL201C	0.271
YMR163C	0.271
YIL030C	0.271
YLR040C	0.271
YOL113W	0.272
YDR250C	0.272
YNL092W	0.272
YNL204C	0.272
YDR466W	0.272
YOR386W	0.272
YPL035C	0.272
YDR135C	0.272
YGL020C	0.272
YJR152W	0.272
YGR049W	0.272
YJL160C	0.272
YDR474C	0.272
YJL129C	0.272
YPL274W	0.273
YIR013C	0.273
YHR048W	0.273
YPR029C	0.273
YNL219C	0.273
YBR156C	0.273
YLR410W	0.273
YCL045C	0.273
YPR049C	0.273
YCL044C	0.273
YBR287W	0.273
YKL041W	0.273
YKL072W	0.273
YKL217W	0.273
YIL111W	0.273
YMR169C	0.273
YPL134C	0.273
YOR338W	0.273
YOR109W	0.273
YBL047C	0.273
YDL010W	0.274
YOR364W	0.274
YDR520C	0.274
YDR485C	0.274
YER120W	0.274
YOL163W	0.274
YDR451C	0.274
YOR118W	0.274
YCL014W	0.274
YKL057C	0.274
YDR441C	0.274
YJR003C	0.274
YMR205C	0.274
YPR064W	0.274
YKL071W	0.274
YDR330W	0.274
YAR028W	0.274
YJR103W	0.274
YHR176W	0.274
YJL123C	0.274
YPL026C	0.275
YNL066W	0.275
YOR381W	0.275
YPR109W	0.275
YPL227C	0.275
YER158C	0.275
YOL018C	0.275
YBR033W	0.275
YNL205C	0.275
YBR131W	0.275
YPL257W	0.275
YMR152W	0.275
YPR028W	0.275
YPL230W	0.275
YLR242C	0.275
YPL022W	0.275
YDR349C	0.275
YGL127C	0.275
YPR095C	0.275
YBL104C	0.275
YNL009W	0.275
YMR206W	0.275
YDR534C	0.275
YOL019W	0.275
YDL184C	0.275
YOL006C	0.275
YJL122W	0.275
YNL211C	0.276
YJR036C	0.276
YIR032C	0.276
YOR197W	0.276
YCR030C	0.276
YDL130W-A	0.276
YBR016W	0.276
YPR089W	0.276
YNL035C	0.276
YNL058C	0.276
YHR109W	0.276
YAR002W	0.276
YKL190W	0.276
YHR033W	0.276
YIL131C	0.276
YFR025C	0.276
YOL158C	0.277
YLL028W	0.277
YPR003C	0.277
YAL058C-A	0.277
YMR158C-B	0.277
YJR053W	0.277
YFL025C	0.277
YBR139W	0.277
YNR028W	0.277
YNR032W	0.277
YJL108C	0.277
YMR030W	0.277
YJL049W	0.277
YMR011W	0.277
YDL020C	0.277
YPL221W	0.277
YHR131C	0.277
YBL101C	0.277
YKL200C	0.277
YKR010C	0.277
YJL106W	0.277
YDR536W	0.278
YMR316W	0.278
YDR516C	0.278
YPL021W	0.278
YFR026C	0.278
YOL024W	0.278
YLL021W	0.278
YGL133W	0.278
YGL060W	0.278
YOR164C	0.278
YNR048W	0.278
YIL002C	0.278
YDL065C	0.278
YML128C	0.278
YIL040W	0.278
YER179W	0.278
YNR018W	0.279
YHR104W	0.279
YNR014W	0.279
YNL044W	0.279
YJR109C	0.279
YGL126W	0.279
YML084W	0.279
YNR029C	0.279
YER169W	0.279
YPR138C	0.279
YJL079C	0.279
YOL011W	0.279
YER187W	0.279
YMR159C	0.279
YDR108W	0.279
YOL054W	0.279
YLR449W	0.279
YDL079C	0.279
YJR106W	0.279
YDR524C	0.280
YBR301W	0.280
YIL101C	0.280
YPL191C	0.280
YNR034W	0.280
YFR030W	0.280
YJL083W	0.280
YDR357C	0.280
YIL010W	0.280
YLR133W	0.280
YNR015W	0.280
YLL001W	0.280
YDL077C	0.280
YHL002W	0.280
YKR046C	0.280
YDR506C	0.280
YNL203C	0.280
YPR013C	0.280
YNR002C	0.280
YKL135C	0.280
YPR058W	0.280
YGL056C	0.280
YLR041W	0.280
YGL072C	0.280
YBR018C	0.280
YNL027W	0.280
YOL059W	0.280
YDR102C	0.280
YDR439W	0.280
YJL082W	0.281
YOR089C	0.281
YNR037C	0.281
YPL206C	0.281
YAR047C	0.281
YPR017C	0.281
YKR055W	0.281
YNL183C	0.281
YNR027W	0.281
YKL218C	0.281
YDR032C	0.281
YJL141C	0.281
YCL002C	0.281
YHR178W	0.281
YGL154C	0.281
YBR058C	0.281
YMR057C	0.281
YOR013W	0.281
YNL070W	0.281
YKR061W	0.281
YDL094C	0.281
YFR025C	0.281
YER185W	0.282
YOR097C	0.282
YDR440W	0.282
YJR024C	0.282
YPL038W	0.282
YNL107W	0.282
YOL055C	0.282
YMR175W	0.282
YFL010C	0.282
YPL195W	0.282
YKL070W	0.282
YOL002C	0.282
YDL037C	0.282
YJR052W	0.282
YDR249C	0.283
YGR117C	0.283
YOR114W	0.283
YPL258C	0.283
YLR258W	0.283
YDL114W	0.283
YGL017W	0.283
YBR223C	0.283
YDR153C	0.283
YOL037C	0.283
YJR097W	0.283
YBL102W	0.283
YOR240W	0.283
YNL193W	0.283
YPR114W	0.283
YAR027W	0.283
YJR015W	0.283
YDR329C	0.283
YEL030W	0.283
YDR491C	0.283
YLL029W	0.283
YKL064W	0.283
YPL245W	0.283
YML082W	0.283
YJL030W	0.283
YOR352W	0.284
YPL247C	0.284
YML094W	0.284
YDR276C	0.284
YJL139C	0.284
YPL165C	0.284
YOR385W	0.284
YDR363W-A	0.284
YIL160C	0.284
YDR495C	0.284
YOR209C	0.284
YOR274W	0.284
YPL259C	0.284
YNL012W	0.284
YBR199W	0.284
YJR038C	0.284
YGL149W	0.284
YPL203W	0.284
YPL054W	0.284
YDR359C	0.284
YKR104W	0.284
YDR256C	0.284
YNL214W	0.285
YDL096C	0.285
YJL044C	0.285
YHR108W	0.285
YMR153W	0.285
YHR045W	0.285
YOL047C	0.285
YOR271C	0.285
YKR036C	0.285
YPR043W	0.285
YBR024W	0.285
YLR356W	0.285
YML123C	0.285
YBR206W	0.285
YGL158W	0.285
YPL249C	0.285
YDR504C	0.285
YLR376C	0.285
YJR048W	0.285
YGR167W	0.285
YOR108W	0.285
YPR032W	0.285
YKL139W	0.285
YPL267W	0.285
YOL042W	0.286
YOR252W	0.286
YOR378W	0.286
YNL023C	0.286
YDR465C	0.286
YMR056C	0.286
YLR307W	0.286
YPR038W	0.286
YPL149W	0.286
YBR034C	0.286
YBR162C	0.286
YOL052C	0.286
YOL159C	0.286
YOR202W	0.286
YOL101C	0.286
