ORF	Cell death, frequency of dead cells; tunicamycin, 2.5 ug/ml (Z-score ln)	Cell death, frequency of dead cells; tunicamycin + FK506, 2.5 ug/ml + 1 ug/ml (Z-score ln)	Cell death, frequency of dead cells; dithiothreitol, 4 mM (Z-score ln)	Cell death, frequency of dead cells; dithiothreitol, 4 mM, + FK506, 1 ug/ml (Z-score ln)
YGR217W	4.782	2.912	4.784	2.917
YNL291C	4.470	3.323	5.665	2.876
YLR443W	4.337	2.551	2.162	2.457
YHR030C	4.782	2.788	6.134	2.905
YDL203C	4.207	1.365	3.111	2.444
YPL089C	4.236	1.261	2.997	1.790
YOR008C	2.985	0.480	3.790	0.515
YLR332W	3.828	1.448	2.978	2.695
YGR196C	3.292	-0.919	2.968	1.553
YLR331C	3.406	0.918	2.629	2.288
YBR260C	2.593	0.906	3.476	2.228
YOL105C	2.650	2.195	2.245	1.568
YKL190W	4.903	0.493	4.982	0.615
YJR059W	3.183	-1.112	3.436	-0.676
YLR226W	2.081	-0.292	3.296	-2.010
YLR338W	2.976	-0.242	2.987	0.291
YDR027C	3.369	0.180	2.730	-1.659
YBR101C	4.047	1.647	6.124	3.062
YGR165W	2.460	0.173	2.536	-1.393
YOL016C	1.030	2.695	0.375	2.521
YBL047C	0.792	2.298	1.109	2.952
YOR085W	-0.270	2.754	1.910	2.804
YGL084C	0.269	2.278	1.441	2.768
YOR208W	-0.117	2.351	-0.224	2.425
YJL136C	0.960	2.218	1.747	2.533
YAL002W	1.254	2.267	2.784	2.017
YDR495C	3.469	2.464	1.878	2.221
YBR131W	-1.445	-4.437	-0.184	-3.924
YGL124C	-0.299	-3.911	-0.619	-3.506
YBR288C	-0.772	-2.879	-3.514	-2.905
YML001W	-1.262	-2.839	-1.634	-3.924
YDR080W	-0.548	-2.533	-0.507	-2.962
YER086W	-1.363	-5.927	-2.334	-6.619
YGR208W	-0.419	-5.715	-1.634	-4.747
YDR158W	0.889	-4.670	0.043	-4.581
YER052C	0.990	-4.048	-0.480	-4.795
YOR184W	-2.296	-7.062	0.994	-3.681
YCR053W	1.927	-2.788	1.322	-3.449
YAL012W	0.130	-6.555	1.362	-2.025
YBL089W	-0.388	-5.739	-0.264	-4.007
YGR223C	0.482	-3.941	-0.768	-3.882
YBR127C	-2.003	-12.931	-0.928	-10.784
YDL185W	-1.917	-5.898	0.043	-10.640
YMR123W	-3.040	-5.544	-1.789	-4.992
YOR331C	-1.265	-4.788	0.281	-8.949
YGR105W	-1.287	-4.540	-0.928	-6.969
YKL118W	-2.969	-4.230	-1.351	-2.560
YHR120W	-0.571	-6.246	-3.054	-11.160
YGR240C	-1.729	-5.945	-2.917	-8.267
YDR289C	-0.082	-5.512	-0.768	-8.454
YML121W	-0.778	-6.978	-2.234	-5.276
YKL176C	-0.087	-8.416	-0.873	-5.223
YOR200W	-0.886	-5.103	1.260	-5.171
YGL105W	-1.356	-5.568	-2.045	-4.398
YIR021W	1.048	-4.345	0.554	-4.308
YDR448W	-0.878	-5.593	0.215	-4.134
YHL025W	0.879	-4.126	1.017	-5.437
YNL229C	0.100	-3.900	-0.030	-7.420
YBL027W	0.660	-4.450	-1.559	-3.721
YDR290W	0.407	-3.643	-0.224	-4.535
YKL054C	2.101	-3.560	-2.787	-8.847
YGL023C	-1.449	-4.850	-2.439	-3.411
YGL197W	-0.961	-3.940	-1.789	-3.411
YKL081W	-2.447	-4.449	-1.872	-3.263
YIR023W	-0.703	-3.230	0.071	-6.698
YML036W	-2.179	-6.012	-2.439	-3.030
YML041C	-2.436	-5.134	-0.984	-2.995
YDL057W	0.960	-2.879	0.692	-3.487
YPL180W	0.813	-2.843	1.109	-2.807
YBR103W	0.626	-2.757	0.375	-4.723
YOR198C	-1.953	-2.500	-0.068	-4.007
YDL172C	1.302	-4.236	1.109	-2.497
YNR047W	0.530	-2.705	-1.537	-2.480
YDL173W	1.689	-3.874	0.582	-2.402
YOL063C	-0.834	-2.434	-0.864	-2.398
YBR248C	-0.571	-2.340	-1.816	-2.686
YDL022W	-0.328	-2.492	-1.537	-2.335
YBR122C	-0.517	-2.325	-0.426	-2.335
YBR289W	0.264	-4.236	1.926	-2.324
YLR412W	-0.792	-2.314	-1.672	-2.598
YLR442C	0.195	-2.308	-0.619	-2.418
YOR123C	0.817	-2.278	1.830	-2.433
YDR490C	-0.572	-2.267	2.410	-2.335
YDR505C	-0.299	-2.267	-1.067	-2.226
YJL175W	1.756	-2.392	2.536	-2.218
YER056C	-2.186	-4.155	-1.957	-2.188
YNL315C	-0.569	-1.402	-0.864	-2.150
YMR031W-A	0.508	-2.129	-0.768	-2.449
YDR485C	-1.634	-4.100	-0.480	-2.128
YBR128C	-0.214	-2.535	-1.067	-2.120
YOR054C	-1.678	-2.116	-1.970	-2.303
YGL115W	0.287	-2.449	1.196	-2.091
YAL011W	-1.300	-2.090	-0.426	-2.943
YNL107W	0.515	-2.037	-0.963	-2.150
