ORF	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [27 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [27 h] | Peyroche G~Plateau P, 2012
YJL101C	0.158	0.196	0.399	0.465
YDR004W	0.244	0.374	0.613	0.093
YPL091W	0.107	0.179	0.462	0.444
YJR139C	0.260	0.238	0.371	0.599
YNL107W	0.301	0.350	0.479	0.259
YML032C	0.189	0.328	0.635	0.337
YCL035C	0.305	0.323	0.510	0.397
YPL194W	0.360	0.389	0.311	0.443
YDR217C	0.336	0.301	0.527	0.430
YER173W	0.411	0.362	0.241	0.602
YCR026C	0.255	0.333	0.442	0.555
YMR031W-A	0.325	0.338	0.520	0.482
YOR368W	0.335	0.341	0.494	0.483
YMR221C	0.373	0.341	0.470	0.481
YCL016C	0.787	0.610	0.242	0.182
YGR055W	0.385	0.378	0.552	0.478
YDL059C	0.494	0.378	0.601	0.368
YEL060C	0.357	0.293	0.612	0.530
YBR099C	0.322	0.372	0.571	0.530
YCR045C	0.350	0.362	0.544	0.583
YMR319C	0.393	0.399	0.513	0.530
YCR068W	0.377	0.366	0.542	0.581
YDL101C	0.526	0.409	0.200	0.729
YNL324W	0.362	0.419	0.520	0.533
YDR334W	0.442	0.308	0.681	0.502
YDR386W	0.408	0.223	0.716	0.564
YER095W	0.375	0.358	0.703	0.602
YCR050C	0.495	0.487	0.434	0.590
YLR386W	0.423	0.405	0.561	0.650
YJL136C	0.529	0.457	0.622	0.421
YDR098C	0.529	0.484	0.391	0.507
YNL325C	0.333	0.412	0.581	0.650
YPL154C	0.404	0.359	0.596	0.599
YOR039W	0.494	0.510	0.294	0.560
YHR132C	0.533	0.396	0.480	0.541
YHR081W	0.494	0.555	0.864	0.480
YCL037C	0.437	0.547	0.668	0.508
YHR025W	0.541	0.504	0.533	0.576
YAR002W	0.495	0.584	0.723	0.461
YBR291C	0.736	0.534	0.562	0.498
YLR180W	0.390	0.425	0.679	0.725
YBR286W	0.463	0.466	0.708	0.640
YFL014W	0.459	0.497	0.609	0.687
YFR021W	0.527	0.498	0.583	0.675
YDR076W	0.379	0.424	0.745	0.704
YMR198W	0.269	0.646	0.559	0.600
YKL023W	0.476	0.493	0.693	0.673
YBL017C	0.536	0.411	0.642	0.677
YMR297W	0.567	0.457	0.662	0.612
YCR085W	0.512	0.549	0.715	0.631
YDR481C	0.598	0.582	0.667	0.538
YBR098W	0.457	0.589	0.593	0.655
YGL163C	0.589	0.581	0.599	0.614
YGL019W	0.533	0.605	0.708	0.591
YCL001W-A	0.555	0.480	0.684	0.654
YBR284W	0.564	0.570	0.687	0.640
YBR281C	0.574	0.592	0.620	0.649
YCR024C-A	0.528	0.584	0.644	0.770
YCR087W	0.556	0.499	0.696	0.674
YLR032W	0.141	0.614	0.618	0.630
YCR025C	0.524	0.542	0.692	0.693
YML041C	0.173	0.562	0.745	0.677
YLR085C	0.670	0.572	0.742	0.428
YHR154W	0.623	0.613	0.691	0.621
YML028W	0.675	0.695	0.571	0.533
YNL246W	0.657	0.764	0.180	0.594
YLR402W	0.623	0.552	0.724	0.634
YDR293C	0.338	0.582	0.677	0.700
YBR295W	0.574	0.586	0.726	0.675
YML016C	0.601	0.636	0.629	0.715
YCR087C-A	0.652	0.529	0.694	0.614
YOL067C	0.446	0.662	0.633	0.634
YBR044C	0.652	0.603	0.633	0.637
YAL012W	0.581	0.564	0.707	0.698
YDR073W	0.514	0.585	0.698	0.726
YNL299W	0.370	0.565	0.786	0.719
YBR231C	0.659	0.538	0.628	0.678
YIL040W	0.372	0.714	0.577	0.762
YCR036W	0.477	0.590	0.702	0.709
YAL011W	0.617	0.637	0.730	0.659
YER016W	0.652	0.744	0.544	0.652
YLR360W	0.579	0.574	0.759	0.732
YOR270C	-1.078	0.525	1.023	0.801
YOL049W	0.669	0.644	0.666	0.698
YMR055C	0.658	0.716	0.669	0.667
YBR297W	0.532	0.576	0.762	0.818
YDL198C	0.625	0.697	0.791	0.644
YJL056C	0.599	0.663	0.791	0.677
YHR202W	0.576	0.620	0.756	0.726
YLR361C	0.616	0.665	0.683	0.716
YHR012W	0.636	0.594	0.734	0.716
YHR087W	0.594	0.591	0.759	0.782
YPR135W	0.628	0.728	0.856	0.242
YJR060W	0.478	0.657	0.764	0.701
YBR189W	0.593	0.763	NaN	0.679
YPL120W	0.637	0.637	0.812	0.723
YAL024C	0.652	0.598	0.710	0.715
YJL124C	0.548	0.577	0.876	0.787
YIL148W	0.593	0.656	0.712	0.762
YDR485C	0.687	0.613	0.723	0.694
YMR223W	0.615	0.609	0.782	0.773
YPL105C	0.741	0.698	0.615	0.693
YPL226W	0.656	0.648	0.759	0.748
YER074W	0.560	0.636	0.819	0.769
YER164W	0.676	0.632	0.757	0.733
YNL201C	0.616	0.627	0.782	0.807
YPL008W	0.765	0.679	0.733	0.675
YLR322W	0.153	0.805	0.847	0.607
YJL053W	0.645	0.650	0.763	0.775
YPR119W	0.848	0.606	0.646	0.770
YLL002W	0.575	0.645	0.774	0.795
YOR001W	0.696	0.635	0.724	0.816
YPL047W	0.612	0.657	0.804	0.767
YPR141C	0.586	0.427	1.067	0.844
YER083C	0.671	0.485	0.821	0.769
YJR053W	0.715	0.742	0.694	0.725
YMR243C	0.703	0.704	0.761	0.743
YJL092W	0.662	0.740	0.709	0.742
YBL072C	0.668	0.725	0.767	0.725
YDR075W	0.649	0.723	0.877	0.729
YPL068C	0.640	0.674	0.788	0.783
YGL020C	0.771	0.643	0.740	0.717
YCR053W	0.794	0.755	0.706	0.672
YGR257C	0.640	0.717	0.773	0.751
YEL013W	0.640	0.656	0.820	0.818
YBL009W	0.752	0.675	0.734	0.822
YJL148W	0.724	0.723	0.766	0.779
YDR184C	0.725	0.682	0.795	0.769
YLR094C	0.706	0.704	0.794	0.792
YDR156W	0.618	0.679	0.821	0.859
YPL055C	0.772	0.799	0.529	0.732
YOL096C	0.725	0.658	0.779	0.780
YLR330W	0.730	0.782	0.877	0.684
YPR057W	0.583	0.706	0.808	0.869
YIL010W	0.718	0.729	0.790	0.785
YML095C	0.751	0.708	0.768	0.764
YOR286W	0.756	0.782	0.754	0.761
YOR346W	0.805	0.757	0.743	0.760
YEL059W	0.629	0.625	0.889	0.920
YOL060C	0.744	0.748	0.774	0.820
YKL074C	0.678	0.654	0.845	0.849
YCR024C	0.855	0.668	0.898	0.562
YML007W	0.799	0.723	0.830	0.728
YBL103C	0.712	0.816	0.757	0.770
YJR108W	0.698	0.788	0.742	0.813
YNL054W	0.760	0.708	0.780	0.852
YNL273W	0.833	0.772	0.768	0.762
YOL076W	0.770	0.772	0.589	0.792
YBL024W	0.680	0.765	0.779	0.821
YMR190C	0.773	0.770	0.774	0.773
YJL047C	0.801	0.747	0.632	0.824
YGL253W	0.726	0.736	0.844	0.813
YBL089W	0.701	0.737	0.837	0.813
YMR078C	0.354	0.717	0.836	0.861
YGL016W	0.783	0.693	0.887	0.770
YGL114W	0.787	0.767	0.721	0.801
YOR132W	0.786	0.771	0.787	0.746
YFR034C	0.698	0.766	0.795	0.792
YBR278W	0.785	0.753	0.793	0.776
YHR194W	0.675	0.756	0.807	0.942
YJL204C	0.693	0.810	0.762	0.802
YBR269C	0.666	0.717	0.849	0.862
YDR014W	0.762	0.775	0.823	0.791
YLR006C	0.850	0.787	0.726	0.779
YDR310C	0.755	0.758	0.808	0.812
YGL252C	0.753	0.795	0.817	0.771
YLR095C	0.795	0.726	0.775	0.798
YBR181C	0.529	0.796	0.795	0.777
YJL154C	0.769	0.727	0.825	0.803
YNL153C	0.796	0.778	0.762	0.805
YKR084C	0.741	0.706	0.890	0.833
YER007C-A	0.764	0.808	0.766	0.846
YKL056C	0.779	0.800	0.629	0.867
YLR410W	0.754	0.719	0.850	0.825
YPL013C	0.818	0.792	0.787	0.789
YKL155C	0.812	0.773	0.865	0.761
YDR207C	0.717	0.845	0.900	0.742
YBR125C	0.773	0.780	0.822	0.810
YMR048W	0.807	0.845	0.727	0.783
YDR348C	0.849	0.716	0.774	0.818
YER056C-A	0.667	0.769	0.865	0.826
YIL139C	0.866	0.745	0.800	0.796
YNL136W	0.826	0.808	0.754	0.790
YFR038W	0.738	0.752	0.851	0.864
YDR513W	0.760	0.828	0.775	0.861
YML096W	0.786	0.791	0.811	0.872
YBL027W	0.744	0.739	0.902	0.862
YDR537C	0.751	0.723	0.856	0.867
YPR164W	0.781	0.827	0.832	0.605
YOL068C	0.806	0.797	0.817	0.804
YCR027C	0.780	0.623	0.831	0.832
YCR094W	0.839	0.761	0.814	0.797
YDR457W	0.809	0.832	0.771	0.802
YDR435C	0.802	0.806	0.811	0.805
YJL115W	0.728	0.878	0.734	0.915
YDL065C	0.817	0.811	0.724	0.802
YMR209C	0.793	0.795	0.846	0.819
YNL111C	0.840	0.723	0.833	0.784
YHR203C	0.806	0.900	0.811	0.635
YBR069C	0.800	0.813	0.863	0.808
YJR070C	0.771	0.801	0.829	0.822
YJL211C	0.778	0.899	0.773	0.846
YGL175C	0.852	0.815	0.810	0.668
YPL038W	0.764	0.814	0.812	0.825
YDL190C	0.778	0.788	0.838	0.850
YIL128W	0.796	0.830	0.833	0.789
YIL005W	0.718	0.709	0.916	0.909
YDR083W	0.653	0.812	1.020	0.816
YDL001W	0.785	0.821	0.915	0.807
YMR044W	0.795	0.801	0.880	0.829
YOR069W	0.804	0.807	0.824	0.824
YML026C	0.810	0.820	1.002	0.810
YGL244W	0.688	0.824	0.808	0.857
YDR529C	0.795	0.765	0.864	0.837
YAL002W	0.797	0.790	0.855	0.838
YHR134W	0.742	0.810	0.844	0.827
YOR322C	0.765	0.751	0.872	0.879
YBL045C	0.805	0.741	0.901	0.833
YNR051C	0.368	0.827	0.872	0.814
YKL208W	0.808	0.691	0.851	0.832
YLR376C	0.815	0.781	0.826	0.837
YOL121C	0.532	0.775	0.892	0.867
YPL022W	0.836	0.841	0.806	0.807
YCR081W	0.810	0.814	0.829	0.876
YML048W	0.727	0.811	0.857	0.833
YKR065C	0.849	0.895	0.762	0.796
YIL097W	0.820	0.799	0.826	0.835
YFL049W	0.852	0.775	0.817	0.830
YGR229C	0.812	0.773	0.907	0.837
YBL088C	0.801	0.807	0.874	0.843
YNL291C	0.800	0.812	0.839	0.878
YKL197C	0.803	0.858	0.852	0.743
YLR135W	0.784	0.786	0.872	0.896
YNL307C	0.825	0.735	0.845	0.834
YPL167C	0.839	0.785	0.821	0.852
YNL069C	0.805	0.811	0.936	0.850
YKR094C	0.660	0.775	0.888	0.917
YPR191W	0.754	0.789	0.876	0.887
YCL063W	0.844	0.826	0.840	0.820
YHR011W	0.910	0.749	0.869	0.798
YOR065W	0.798	0.800	0.917	0.869
YOR068C	0.804	0.830	0.842	0.841
YPL092W	0.838	0.826	0.834	0.862
YJL117W	0.819	0.823	0.851	0.876
YLR090W	0.779	0.825	0.849	0.879
YOR144C	0.866	0.892	0.809	0.800
YPL090C	0.814	0.813	0.948	0.862
YFR035C	0.820	0.812	0.858	0.856
YER162C	0.824	0.726	0.894	0.853
YLR367W	0.811	0.754	0.867	0.887
YDR315C	0.842	0.729	0.962	0.837
YBR246W	0.823	0.855	0.826	0.872
YPL215W	0.803	0.815	0.907	0.866
YMR021C	0.904	0.827	0.855	0.789
YHL011C	0.827	0.808	0.884	0.856
YGR054W	0.840	0.790	0.870	0.843
YLR366W	0.823	0.815	0.861	0.898
YBR276C	0.825	0.834	0.888	0.850
YER116C	0.819	0.744	0.866	0.924
YOR038C	0.811	0.802	0.895	0.874
YMR073C	0.814	0.764	0.873	0.876
YBR298C	0.842	0.822	0.846	0.845
YLR130C	0.805	0.832	0.856	0.893
YAL044C	0.851	0.852	0.842	0.835
YDR509W	0.789	0.828	0.866	0.891
YOL012C	0.738	0.804	0.890	0.917
YGR233C	0.749	0.949	0.837	0.857
YGR174C	0.836	0.841	0.899	0.853
YDL236W	0.809	0.813	0.881	0.887
YNL302C	0.843	0.854	0.571	0.964
YNR019W	0.843	0.861	0.819	0.855
YOR223W	0.752	0.815	0.895	0.886
YOL089C	0.763	0.852	0.849	0.853
YNR004W	0.825	0.844	0.886	0.858
YKL185W	0.853	0.767	0.850	0.853
YML110C	0.867	0.806	0.888	0.837
YDR439W	0.848	0.858	0.899	0.835
YBR003W	0.883	0.823	0.892	0.792
YBR245C	0.890	0.849	0.858	0.805
YDR154C	0.840	0.878	0.867	0.839
YGR078C	0.815	0.881	0.842	0.866
YOR279C	0.854	0.786	0.856	0.855
YGL071W	0.924	0.859	0.851	0.850
YHR108W	0.838	0.795	0.898	0.873
YLR306W	0.760	0.857	0.854	0.909
YLR385C	0.761	0.835	0.876	0.910
YPL157W	0.620	0.753	0.978	0.959
YPL003W	0.827	0.849	0.862	0.879
YJL110C	0.847	0.840	0.866	0.890
YGR197C	0.838	0.867	0.862	0.851
YOL006C	0.479	0.731	1.015	0.983
YJL212C	0.747	0.840	0.879	0.874
YPR197C	0.840	0.783	0.921	0.874
YGR157W	0.791	0.825	0.890	0.924
YGL035C	0.752	0.828	0.890	0.901
YOR089C	0.776	0.852	0.906	0.866
YCR033W	0.883	0.836	0.830	0.892
YIL094C	0.858	0.862	0.854	0.910
YJR043C	0.950	0.906	0.814	0.791
YBR191W	0.647	0.845	0.909	0.874
YFR036W	0.829	0.813	0.891	0.945
YJR140C	0.841	0.848	0.878	0.873
YER177W	0.844	0.754	0.879	0.906
YDL183C	0.821	0.871	0.867	0.857
YDR360W	0.881	0.857	0.847	0.868
YKL114C	0.861	0.850	0.884	0.865
YCL033C	0.974	0.815	0.792	0.911
YNR041C	0.870	0.840	0.876	0.857
YGL152C	0.860	0.892	0.866	0.841
YMR097C	0.866	0.854	0.919	0.862
YLR335W	0.783	0.899	0.874	0.854
YCL010C	0.848	0.879	0.851	0.924
YAL048C	0.811	0.866	0.910	0.867
YBR120C	0.871	0.863	0.905	0.843
YJR090C	0.966	0.866	0.868	0.864
YOR167C	0.830	0.869	0.896	0.866
YER059W	0.903	0.855	0.866	0.869
YDR260C	0.837	0.802	0.903	0.899
YAL014C	0.867	0.843	0.869	0.890
YBR282W	0.959	0.878	0.860	0.843
YGL153W	0.854	0.889	0.865	0.872
YHL022C	0.862	0.804	0.881	0.876
YJL210W	0.881	0.899	0.810	0.858
YDR326C	0.866	0.867	0.871	0.896
YLR388W	0.861	0.786	0.880	0.969
YEL050C	0.886	0.855	0.765	0.932
YNL001W	0.811	0.869	0.882	0.872
YHL006C	0.847	0.852	0.890	0.894
YPL081W	0.844	0.857	0.904	0.887
YDR329C	0.817	0.915	0.901	0.844
YGR133W	0.902	0.931	0.842	0.822
YLR236C	0.826	0.852	0.892	0.897
YDL070W	0.863	0.860	0.899	0.882
YMR026C	0.952	0.871	0.875	0.843
YBL079W	0.761	0.873	0.874	0.927
YJL095W	0.870	0.852	0.898	0.877
YMR237W	0.844	0.847	0.908	0.901
YKL113C	0.829	1.004	0.665	0.918
YIL052C	0.810	0.853	0.894	0.906
YOR133W	0.870	0.870	0.878	0.905
YHL038C	0.860	0.846	0.923	0.888
YCR086W	0.930	0.859	0.787	0.890
YGR228W	0.856	0.797	0.893	0.899
YML094W	0.873	0.876	0.874	0.892
YOR147W	0.882	0.936	0.868	0.820
YKL156W	0.854	0.827	0.897	0.918
YLR235C	0.825	0.817	0.927	0.931
YAL034C-B	0.858	0.894	0.937	0.834
YDR204W	0.846	0.876	0.916	0.878
YKR014C	0.838	0.880	0.874	0.914
YNL293W	0.881	0.873	0.904	0.871
YDR244W	0.950	0.908	0.848	0.827
YNL214W	0.935	0.862	0.854	0.894
YGR209C	0.840	0.865	0.894	0.912
YLL045C	0.677	0.853	0.908	0.969
YDR512C	0.896	0.934	0.867	0.819
YMR310C	0.877	0.816	0.886	0.898
YCR031C	0.860	0.825	0.947	0.903
YDR332W	0.844	0.978	0.845	0.918
YML122C	0.865	0.864	0.899	0.915
YLR426W	0.834	0.841	0.924	0.945
YDR006C	0.873	0.878	0.889	0.899
YGR187C	0.842	0.883	0.911	0.885
YPL019C	0.842	0.884	0.920	NaN
YJL197W	0.892	0.845	0.876	0.907
YPR124W	0.818	0.898	0.880	0.889
YJR035W	0.861	0.833	0.908	0.939
YBR235W	0.861	0.920	0.909	0.835
YGL034C	0.892	0.868	0.880	0.898
YLR441C	0.737	0.848	0.924	0.924
YMR123W	0.963	0.837	0.889	0.885
YMR038C	0.888	0.624	0.920	NaN
YBL046W	0.880	0.840	0.919	0.896
YPR133W-A	0.859	0.917	0.768	0.961
YMR060C	0.885	0.768	1.014	0.892
YGR270W	0.925	0.881	0.896	0.865
YNL067W	0.773	0.904	0.917	0.874
YJR050W	0.869	0.806	0.909	0.933
YLL024C	0.944	0.860	0.891	0.888
YEL062W	0.884	0.837	0.894	0.898
YGR077C	0.919	0.950	0.860	0.840
YFR048W	0.873	0.868	0.907	0.907
YML055W	0.946	0.866	0.875	0.904
YMR228W	0.874	0.857	0.905	1.010
YLR190W	0.844	0.923	0.908	0.871
YLR292C	0.862	0.846	0.918	0.924
YOR235W	0.860	0.882	0.897	0.933
YNL056W	0.886	0.895	0.886	0.914
YOL052C	0.897	0.869	0.923	0.883
YLR365W	0.858	0.878	0.903	0.916
YBL036C	0.847	0.876	0.948	0.906
YDR375C	0.913	0.872	0.910	0.809
YDL156W	0.869	0.878	0.912	0.904
YKL087C	0.887	0.890	0.903	0.894
YJR059W	0.889	0.888	0.895	0.935
YGR132C	0.933	0.940	0.851	0.823
YAL055W	0.961	0.934	0.847	0.853
YGR255C	0.879	0.881	0.906	0.932
YML103C	0.874	0.914	0.871	0.922
YGL162W	0.895	0.879	0.895	0.944
YER178W	0.985	0.895	0.866	0.897
YNL096C	0.918	0.786	0.874	0.933
YML001W	0.932	0.870	0.895	0.898
YDR385W	0.880	0.913	0.915	0.859
YDR144C	0.880	0.841	0.912	0.928
YGR183C	0.914	0.869	0.900	0.894
YLR202C	0.907	0.887	0.960	0.885
YIL132C	0.883	0.813	0.913	0.911
YDR071C	0.885	0.896	0.903	0.898
YMR102C	0.822	0.892	0.930	0.903
YNL284C	0.855	0.899	0.952	0.896
YKR060W	0.833	0.884	0.911	0.938
YNL076W	0.876	0.880	0.916	0.936
YLR234W	0.793	0.854	0.943	0.951
YGL167C	0.984	0.813	1.090	0.803
YJR040W	0.887	0.871	0.912	0.936
YGR231C	0.897	0.983	0.831	0.902
YKL076C	0.877	0.869	0.923	0.959
YGR028W	0.900	0.978	0.879	0.901
YNL281W	0.855	0.878	0.923	0.938
YLR170C	0.872	0.889	0.915	0.935
YDL213C	0.877	0.845	0.927	0.931
YOR006C	0.882	0.923	0.863	0.932
YLR120C	0.912	0.883	0.893	0.993
YMR253C	0.882	0.891	0.916	0.922
YDR150W	0.891	0.916	0.952	0.872
YBR179C	0.838	0.999	0.852	0.956
YKL205W	0.831	0.893	0.914	0.952
YDR051C	0.845	0.889	0.918	0.932
YCL008C	0.855	0.901	0.907	0.936
YDL071C	0.954	0.912	0.896	0.887
YKL121W	0.824	0.947	0.886	0.923
YNL332W	0.865	0.886	0.924	0.969
YBR212W	0.912	0.923	0.898	0.892
YGR283C	0.917	0.857	0.924	0.894
YBR014C	0.909	0.867	0.904	0.918
YNL032W	0.898	0.850	0.951	0.916
YLR327C	0.876	0.873	0.946	0.939
YOL093W	0.840	0.897	0.918	0.931
YBL031W	0.889	0.868	0.971	0.927
YLR200W	0.883	0.865	0.948	0.933
YIR026C	0.821	0.880	1.037	0.936
YMR275C	0.865	0.887	0.942	0.929
YOR375C	0.879	0.879	0.937	0.958
YJL130C	0.874	0.910	0.953	0.907
YBL094C	0.922	0.896	0.983	0.823
YJR145C	0.922	0.971	0.819	0.896
YJR075W	0.938	0.936	0.860	0.882
YMR294W	0.929	0.860	0.906	0.912
YHR200W	0.897	1.055	0.867	0.921
YGR041W	0.893	0.882	0.960	0.926
YLR191W	0.947	0.956	0.833	0.872
YAR029W	0.884	0.904	0.961	0.915
YMR230W	0.908	0.906	0.958	0.912
YMR069W	0.906	0.831	0.923	0.914
YOL159C	0.900	0.924	0.920	0.897
YBL001C	0.919	0.882	0.901	0.922
YMR326C	0.922	0.898	0.855	0.924
YJL173C	0.816	0.889	0.940	0.932
YJR082C	0.864	0.908	0.959	0.913
YLR331C	0.898	0.906	0.916	0.916
YLL029W	0.907	0.897	0.915	0.933
YHL023C	0.935	0.879	0.908	0.914
YOR023C	0.932	0.888	0.917	0.905
YNL071W	0.913	0.984	0.892	0.909
YPR120C	0.981	0.870	0.862	0.954
YGL115W	0.833	0.911	0.950	0.914
YKR095W	0.919	0.890	0.906	0.953
YLR315W	0.895	0.852	0.965	0.930
YOR274W	0.883	0.942	0.882	0.965
YGR214W	0.814	0.871	0.954	0.966
YIR004W	0.903	0.987	0.923	0.877
YNL167C	0.880	0.886	0.943	0.940
YBR215W	0.909	0.928	0.905	0.917
YNL257C	0.918	0.882	0.908	0.924
YNL248C	0.880	0.892	0.956	0.934
YOR109W	0.928	0.967	0.891	0.899
YLR303W	0.909	0.944	0.919	0.865
YLR434C	0.873	0.870	0.955	0.990
YOR358W	0.947	0.935	0.894	0.882
YJL007C	0.872	0.923	0.906	0.924
YNR042W	0.913	0.825	0.917	0.916
YDR158W	0.928	0.941	0.901	0.850
YBR170C	0.909	0.928	0.826	0.920
YER131W	0.981	0.879	0.915	0.915
YFR031C-A	0.767	0.902	0.928	0.975
YBR126C	0.895	0.870	0.935	0.940
YHL027W	0.935	0.980	0.823	0.896
YML109W	0.868	0.903	0.928	0.940
YLR093C	0.886	0.829	0.952	0.945
YPL067C	0.907	0.902	0.962	0.925
YLR205C	0.923	0.907	0.909	0.931
YLR401C	0.900	0.891	0.932	0.938
YOL008W	0.912	0.955	0.920	0.889
YGR289C	0.903	0.857	0.929	0.967
YML097C	0.896	0.804	0.937	0.936
YIR037W	0.901	0.898	0.931	0.948
YBR034C	0.892	0.811	0.955	0.941
YDR417C	0.911	0.909	0.939	0.922
YNL135C	0.934	0.876	0.911	0.923
YDL142C	0.941	1.001	0.878	0.893
YDR024W	0.877	0.911	0.924	1.036
YKL134C	0.992	0.897	0.939	0.885
YML027W	0.917	0.862	0.919	0.930
YOL092W	0.905	0.916	0.941	0.920
YLR201C	0.870	0.967	0.836	0.976
YNL165W	0.822	0.903	0.934	0.934
YIR003W	0.900	0.899	0.937	0.950
YKR018C	0.880	0.862	0.982	0.957
YDL022W	0.913	0.925	0.906	0.962
YBL064C	0.916	0.921	0.917	0.943
YNL255C	0.914	0.986	0.925	0.900
YBR201W	0.937	0.901	0.987	0.884
YMR139W	0.942	0.932	0.907	0.900
YBL019W	0.895	0.902	0.937	0.940
YDR493W	0.939	0.877	0.924	0.915
YKL025C	0.941	0.932	0.908	0.905
YDR078C	0.858	0.922	0.944	0.918
YFR044C	0.913	0.907	0.945	0.927
YOR083W	0.898	0.871	0.947	0.943
YNL338W	0.907	0.961	0.913	0.928
YBL053W	0.919	0.936	0.906	0.922
YPR066W	0.946	0.896	0.946	0.877
YOR355W	0.903	0.870	0.939	0.941
YNL044W	0.860	0.927	0.916	0.932
YDR046C	0.901	0.887	0.951	0.942
YOR316C	0.923	0.920	0.949	0.916
YNR064C	0.905	0.874	0.938	0.979
YMR063W	1.001	0.949	0.895	0.866
YNL183C	0.908	0.923	0.920	0.937
YOR003W	0.858	0.911	0.933	0.970
YML100W	0.882	0.916	0.929	0.937
YPR063C	0.904	0.905	0.942	0.939
YDL026W	0.882	0.907	0.938	0.938
YKL142W	0.798	0.963	0.915	0.929
YKL071W	0.958	0.936	0.909	0.889
YLR169W	0.902	0.928	0.917	0.945
YBR244W	0.942	0.944	0.903	0.900
