orf	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [27 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [27 h] | Peyroche G~Plateau P, 2012
YAL002W	-1.3907912864158802	-1.4511136029154532	-1.3173917745242791	-1.5764714458045155
YAL004W	0.30655076829293126	-0.1746415462737785	0.14333104016940756	-0.310916727903927
YAL005C	-0.6194275248424863	-0.36598285507288253	-0.5900213896344568	-0.483843856413341
YAL007C	-0.11836611686704625	-0.10925144175443367	0.07021258148315132	0.03194574936954373
YAL008W	-0.3398734939972511	0.12650357480163377	0.07561971963378313	0.2356761629608515
YAL009W	-1.0816008705875846	-0.6269020861405344	0.105239407610172	-0.40202221352602585
YAL010C	-0.6763713513091368	-0.054115545193964554	0.6169526737108838	-0.6291942040445683
YAL011W	-2.5815765133770006	-2.514562368553935	-2.4867304228180487	-3.225913215352505
YAL012W	-2.815801771551611	-3.01718448439194	-2.701426727710469	-2.8639370923720215
YAL013W	1.3540575957358334	1.6604460747866039	1.573522573197634	1.5479753298904173
YAL014C	-0.9286719104168376	-1.0806973640782098	-1.1816891599227626	-1.1029067142312037
YAL015C	-0.5078065535742998	0.28439702229048724	-0.009584771792803742	-0.01672973482562372
YAL017W	0.20206321884643472	0.29913802475360357	0.5258917164470039	0.1958335841843471
YAL018C	0.45326057463545544	0.4981246014024786	-0.004342770008007056	0.3230432092943727
YAL019W	-0.266503943757836	-0.5479794577025229	-0.07871827680870516	0.04583131283434072
YAL020C	1.0690573375984118	1.2063580637857756	1.8750420940727508	1.9197567019764274
YAL021C	-0.4901877254823039	-0.5251525149265907	-0.41715826775364684	-0.926517304257545
YAL022C	0.02411744927101052	-0.1951955684823546	-0.26296618918967324	-0.4992352806254841
YAL023C	1.9234834655459205	2.106424768968754	2.0378246545964362	1.846638823410571
YAL024C	-2.345878619927198	-2.783513695321012	-2.67729729257273	-2.7127319083785375
YAL026C	0.8545312116263234	0.7993670122474069	1.2170632025724073	0.8698152010970518
YAL027W	-0.014178026585031214	-0.28922062800087783	-0.5903814166580229	-0.5331390041643642
YAL028W	0.24357778867850513	0.18014796748216236	0.06959969568990793	0.30739526815192314
YAL029C	0.23399000031559655	0.4022993081878021	-0.02634825088362099	-0.13409870144459496
YAL030W	-0.24292964390642613	-0.3197592941984717	-0.081098531253607	-0.3901459901920957
YAL031C	-0.2958590671169209	0.04373681157529013	-0.5916029613901186	-0.35567128535242604
YAL034C	-0.48358291885765636	-0.32794310287517514	-0.14095589743147377	0.1605942743975268
YAL034C-B	-0.9849735430225801	-0.7236947552518631	-0.5463858815982959	-1.6127038131034632
YAL036C	0.07572793341819369	0.1349292143138789	-0.04837710194001895	-0.03068715014949938
YAL037W	0.19377721312656243	0.24862947159729187	0.2608346062329174	0.2701371969986396
YAL039C	-0.2284235811883912	-0.3781500914763043	-0.47988515681783855	-0.9487105265300175
YAL040C	-0.21459809680782205	-0.046025765499042436	0.537597040209069	0.3697862642632502
YAL042C-A	1.1953892401550237	1.0119484818865783	1.075435749583386	0.9770875270250791
YAL042W	0.8444519934044324	0.934354388888967	0.9655348075342135	0.6643728406737379
YAL044C	-1.034832173230436	-1.019449607185729	-1.4377874692581534	-1.6059119716981918
YAL045C	-0.7255807796190791	-0.5116478002464993	-0.2859369417735039	-0.32350751020564933
YAL046C	-0.6166184311954171	-0.16852624682457173	-0.003208893284836226	0.029999786519454598
YAL047C	0.1425753856088699	0.22314674224433956	0.28091303237791626	0.1419121047563585
YAL048C	-1.2980235340140123	-0.9200284809818108	-0.794762003296831	-1.312547470412932
YAL049C	1.7387436722218486	1.379699393371137	1.3315668876566549	0.9194444277048561
YAL051W	-0.208286512962333	-0.4371741496374808	-0.07978658520484816	0.08651754533435617
