COMPOUND	COMPOUND_CONCENTRATION	CONCENTRATION	EXPERIMENT	EXPERIMENT_NUMBER_HIPHOP	EXPERIMENT_TYPE	GENE_NAME	SCORE	SCORE_TYPE	SYSTEMATIC_NAME	VIABILITY	Z_SCORE
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	TFC3	-3.05369504598354	Adj.	YAL001C	inviable	-2.32329665308753
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	VPS8	-0.0813045627186249	Adj.	YAL002W	viable	-0.0376609538386194
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	YAL004W	-0.617039957759888	Adj.	YAL004W	viable	-0.730333151246185
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SSA1	-0.000972934982417502	Adj.	YAL005C	viable	-0.00133735994065759
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	ERP2	-0.18251473856231	Adj.	YAL007C	viable	-0.226986401854979
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	FUN14	-1.48621288392453	Adj.	YAL008W	viable	-1.4033371221214
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SPO7	-0.47888317081711	Adj.	YAL009W	viable	-0.152003856391409
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	MDM10	-0.038824413088303	Adj.	YAL010C	viable	-0.0149237041141774
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SWC3	0.027289934387123	Adj.	YAL011W	viable	0.01056591747053
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	CYS3	0.876381709487164	Adj.	YAL012W	viable	0.16090105296387
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	DEP1	-0.319325379537453	Adj.	YAL013W	viable	-0.156415902941739
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SYN8	-0.715769868936911	Adj.	YAL014C	viable	-0.728633560978497
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	NTG1	-1.13679937791442	Adj.	YAL015C	viable	-0.789784718987305
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	PSK1	0.191530269580763	Adj.	YAL017W	viable	0.15548976961957
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	YAL018C	-0.0217539063350104	Adj.	YAL018C	viable	-0.0173023938094816
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	FUN30	-1.11138299573692	Adj.	YAL019W	viable	-0.859150596632516
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	ATS1	-0.0459095069006265	Adj.	YAL020C	viable	-0.042170377390162
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	CCR4	-2.31623845969919	Adj.	YAL021C	viable	-0.521736304524487
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	FUN26	-0.10534579085698	Adj.	YAL022C	viable	-0.18379727442831
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	PMT2	-0.403801902744162	Adj.	YAL023C	viable	-0.138971383830455
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	LTE1	-1.04751189520251	Adj.	YAL024C		-0.509895782942109
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	DRS2	-12.075851451583	Adj.	YAL026C	viable	-3.43534554605341
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SAW1	-0.709794141808834	Adj.	YAL027W	viable	-0.985612041132464
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	FRT2	-0.0252974170381467	Adj.	YAL028W	viable	-0.0349254308477511
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	MYO4	-0.219567453577055	Adj.	YAL029C	viable	-0.191057710699102
7230	7230_0.1	0.1	7230_0.1_0231	0230/31	HOP	SNC1	-0.134363187706038	Adj.	YAL030W	viable	-0.197905521232377
