orf	hom | growth (pooled culture) | zinc dichloride [1 uM], time [5 gen] | LZM | North M~Eide D, 2012	hom | growth (pooled culture) | zinc dichloride [1 uM], time [15 gen] | LZM | North M~Eide D, 2012
YAL002W	-0.08317185148717253	-0.03377022503158531
YAL005C	-0.08317185148717253	-0.03377022503158531
YAL007C	-0.08317185148717253	-0.03377022503158531
YAL008W	-0.08317185148717253	-0.03377022503158531
YAL009W	-0.08317185148717253	-0.9889851616392631
YAL011W	-0.08317185148717253	-0.03377022503158531
YAL013W	-6.071545158563736	-0.03377022503158531
YAL014C	-0.08317185148717253	-0.03377022503158531
YAL015C	-0.08317185148717253	-0.03377022503158531
YAL016W	-0.08317185148717253	-0.03377022503158531
YAL017W	-0.08317185148717253	-0.03377022503158531
YAL018C	-0.08317185148717253	-0.03377022503158531
YAL019W	-0.08317185148717253	-0.03377022503158531
YAL020C	-0.08317185148717253	2.473668983563569
YAL021C	-0.08317185148717253	-0.03377022503158531
YAL022C	-0.08317185148717253	-0.03377022503158531
YAL023C	2.9110148020511093	-0.03377022503158531
YAL024C	-0.08317185148717253	-0.03377022503158531
YAL026C	-0.08317185148717253	2.234865249411649
YAL027W	-0.08317185148717253	-0.03377022503158531
YAL028W	-0.08317185148717253	-0.03377022503158531
YAL029C	-0.08317185148717253	-0.03377022503158531
YAL030W	-0.08317185148717253	-0.03377022503158531
YAL031C	-0.08317185148717253	-0.03377022503158531
YAL035W	-0.08317185148717253	-0.03377022503158531
YAL036C	-0.08317185148717253	-0.03377022503158531
YAL037W	-0.08317185148717253	-0.03377022503158531
YAL039C	-0.08317185148717253	-0.03377022503158531
YAL040C	-5.322998495179165	-3.257620636082498
YAL042W	-0.08317185148717253	-0.03377022503158531
YAL044C	-0.08317185148717253	1.7572577811078105
YAL045C	-0.08317185148717253	-0.03377022503158531
YAL046C	-0.08317185148717253	-0.03377022503158531
YAL047C	-0.08317185148717253	-0.03377022503158531
YAL048C	-0.08317185148717253	-0.03377022503158531
YAL049C	-0.08317185148717253	-0.03377022503158531
YAL051W	-0.08317185148717253	-0.03377022503158531
YAL053W	-0.08317185148717253	-0.03377022503158531
YAL054C	-0.08317185148717253	-0.03377022503158531
YAL055W	-0.08317185148717253	-3.496424370234417
YAL056W	-0.08317185148717253	-0.03377022503158531
YAL058W	-0.08317185148717253	-0.03377022503158531
YAL059W	-0.08317185148717253	-0.03377022503158531
YAL060W	-0.08317185148717253	-0.03377022503158531
YAL061W	-0.08317185148717253	-0.03377022503158531
YAL062W	-0.08317185148717253	-0.03377022503158531
YAL066W	-0.08317185148717253	-0.03377022503158531
YAL067C	-0.08317185148717253	-0.03377022503158531
YAR002W	-0.08317185148717253	-0.03377022503158531
YAR003W	-0.08317185148717253	-0.03377022503158531
YAR014C	-0.08317185148717253	1.0408465786520522
YAR018C	-0.08317185148717253	-0.03377022503158531
YAR020C	-0.08317185148717253	-0.03377022503158531
YAR023C	-0.08317185148717253	-0.03377022503158531
YAR027W	-0.08317185148717253	-0.03377022503158531
YAR028W	-0.08317185148717253	-0.03377022503158531
YAR029W	-0.08317185148717253	-0.03377022503158531
YAR031W	-0.08317185148717253	-0.03377022503158531
YAR035W	-0.08317185148717253	-0.03377022503158531
YAR042W	-0.08317185148717253	-0.03377022503158531
YAR047C	-0.08317185148717253	-0.03377022503158531
YAR050W	-0.08317185148717253	-0.03377022503158531
YBL001C	-0.08317185148717253	-0.03377022503158531
YBL002W	-0.08317185148717253	-0.03377022503158531
YBL003C	-0.08317185148717253	-0.03377022503158531
YBL005W	-0.08317185148717253	-0.03377022503158531
YBL006C	-0.08317185148717253	-0.03377022503158531
YBL007C	-0.08317185148717253	-0.03377022503158531
YBL008W	-0.08317185148717253	-0.03377022503158531
YBL009W	-0.08317185148717253	-0.03377022503158531
YBL010C	-0.08317185148717253	-0.03377022503158531
YBL011W	-0.08317185148717253	-0.03377022503158531
YBL012C	-0.08317185148717253	-0.03377022503158531
YBL013W	-0.08317185148717253	-0.03377022503158531
YBL015W	-0.08317185148717253	-0.03377022503158531
YBL017C	-0.08317185148717253	-0.03377022503158531
YBL019W	-0.08317185148717253	-0.03377022503158531
YBL022C	-0.08317185148717253	-0.03377022503158531
YBL024W	-0.08317185148717253	1.3990521798799311
YBL027W	-0.08317185148717253	-0.03377022503158531
YBL028C	-0.08317185148717253	-0.03377022503158531
YBL029W	-0.08317185148717253	-0.03377022503158531
YBL031W	-0.08317185148717253	-2.3024056994748197
YBL032W	-0.08317185148717253	-0.03377022503158531
YBL033C	-0.08317185148717253	-0.03377022503158531
YBL036C	-0.08317185148717253	-0.03377022503158531
YBL037W	-0.08317185148717253	-0.03377022503158531
YBL038W	-0.08317185148717253	6.055724995842359
YBL039C	-0.08317185148717253	-2.481508500088759
YBL042C	-0.08317185148717253	-0.03377022503158531
YBL043W	-0.08317185148717253	-0.03377022503158531
YBL044W	-0.08317185148717253	-0.03377022503158531
YBL045C	-0.08317185148717253	-0.03377022503158531
YBL046W	-0.08317185148717253	-1.6456954305570415
YBL047C	-0.08317185148717253	-0.03377022503158531
YBL048W	-0.08317185148717253	-0.03377022503158531
YBL049W	-0.08317185148717253	-0.03377022503158531
YBL051C	-0.08317185148717253	-0.03377022503158531
YBL052C	-0.08317185148717253	-0.03377022503158531
YBL053W	-0.08317185148717253	-0.03377022503158531
YBL054W	-0.08317185148717253	-0.03377022503158531
YBL055C	-0.08317185148717253	-0.03377022503158531
YBL056W	-0.08317185148717253	-0.7501814274873436
YBL057C	-0.08317185148717253	-0.03377022503158531
YBL058W	-0.08317185148717253	-0.03377022503158531
YBL059W	-0.08317185148717253	-0.03377022503158531
YBL060W	-0.08317185148717253	-0.03377022503158531
YBL061C	-0.08317185148717253	-1.6456954305570415
YBL062W	-0.08317185148717253	-1.4665926299431018
YBL063W	-0.08317185148717253	-0.03377022503158531
YBL064C	-0.08317185148717253	-0.03377022503158531
YBL065W	-0.08317185148717253	-0.03377022503158531
YBL066C	-0.08317185148717253	-0.03377022503158531
YBL067C	-2.703085173333169	-0.8695832945633033
YBL068W	-0.08317185148717253	-0.03377022503158531
YBL069W	-0.08317185148717253	-0.03377022503158531
YBL070C	-0.08317185148717253	-0.03377022503158531
YBL071C	2.9110148020511093	1.3990521798799311
YBL072C	-0.08317185148717253	-0.03377022503158531
YBL075C	-0.08317185148717253	-0.03377022503158531
YBL078C	-0.08317185148717253	-2.0636019653229005
YBL079W	-0.08317185148717253	-0.03377022503158531
YBL080C	-0.08317185148717253	0.9214447115760924
YBL081W	-0.08317185148717253	-0.03377022503158531
YBL082C	-0.08317185148717253	-1.765097297633001
YBL083C	-0.08317185148717253	-3.377022503158457
YBL085W	-0.08317185148717253	-0.03377022503158531
YBL086C	-0.08317185148717253	-0.03377022503158531
YBL087C	-0.08317185148717253	-0.03377022503158531
YBL088C	-0.08317185148717253	-0.03377022503158531
YBL089W	-0.08317185148717253	-0.03377022503158531
YBL090W	-0.08317185148717253	3.7273885878611455
YBL091C	-0.08317185148717253	-1.7053963640950212
YBL093C	-0.08317185148717253	-0.03377022503158531
YBL094C	-0.08317185148717253	-0.03377022503158531
YBL095W	-0.08317185148717253	-0.03377022503158531
YBL096C	-0.08317185148717253	-0.03377022503158531
YBL098W	-0.08317185148717253	-0.03377022503158531
YBL099W	-0.08317185148717253	-0.03377022503158531
YBL100C	-0.08317185148717253	-0.03377022503158531
YBL101C	-0.08317185148717253	-0.03377022503158531
YBL102W	-0.08317185148717253	-0.03377022503158531
YBL104C	-0.08317185148717253	-0.03377022503158531
YBL106C	-0.08317185148717253	-0.03377022503158531
YBL107C	-0.08317185148717253	-0.03377022503158531
YBR001C	-0.08317185148717253	-0.03377022503158531
YBR005W	-0.08317185148717253	-0.03377022503158531
YBR006W	-0.08317185148717253	-0.03377022503158531
YBR007C	-0.08317185148717253	-0.03377022503158531
YBR008C	-0.08317185148717253	-0.03377022503158531
YBR009C	-0.08317185148717253	-1.2874898293291623
YBR010W	-0.08317185148717253	-0.03377022503158531
YBR012C	-0.08317185148717253	-0.03377022503158531
YBR013C	-0.08317185148717253	-0.03377022503158531
YBR014C	-0.08317185148717253	-0.03377022503158531
YBR015C	-0.08317185148717253	-2.0039010317849204
YBR016W	-0.08317185148717253	-0.03377022503158531
YBR018C	-0.08317185148717253	-0.03377022503158531
YBR019C	-0.08317185148717253	-0.03377022503158531
YBR020W	-0.08317185148717253	-0.03377022503158531
YBR022W	-0.08317185148717253	-0.03377022503158531
YBR023C	-0.08317185148717253	-2.3024056994748197
YBR024W	-0.08317185148717253	-0.03377022503158531
YBR025C	-0.08317185148717253	-0.03377022503158531
YBR026C	2.1624681386665388	3.6079867207851857
YBR027C	-0.08317185148717253	-1.1680879622532025
YBR028C	-0.08317185148717253	-0.03377022503158531
YBR029C	-0.08317185148717253	-0.03377022503158531
YBR031W	-0.08317185148717253	-0.03377022503158531
YBR032W	-0.08317185148717253	-0.03377022503158531
YBR033W	-0.08317185148717253	-0.03377022503158531
YBR034C	-0.08317185148717253	-0.03377022503158531
YBR035C	-0.08317185148717253	-0.03377022503158531
YBR036C	-0.08317185148717253	-1.2277888957911824
YBR037C	-0.08317185148717253	-0.03377022503158531
YBR038W	-0.08317185148717253	-0.03377022503158531
YBR040W	-0.08317185148717253	-0.03377022503158531
YBR041W	-0.08317185148717253	-1.2874898293291623
YBR042C	-0.08317185148717253	-0.03377022503158531
YBR043C	-0.08317185148717253	-0.03377022503158531
YBR044C	-0.08317185148717253	1.1602484457280118
YBR045C	-0.08317185148717253	-0.03377022503158531
YBR046C	-0.08317185148717253	-0.03377022503158531
YBR047W	-0.08317185148717253	-0.03377022503158531
YBR048W	-0.08317185148717253	1.8169587146457904
YBR050C	-0.08317185148717253	-0.03377022503158531
YBR051W	-0.08317185148717253	-0.03377022503158531
YBR052C	-0.08317185148717253	-0.03377022503158531
YBR053C	-0.08317185148717253	-0.03377022503158531
YBR054W	-0.08317185148717253	-0.03377022503158531
YBR056W	-0.08317185148717253	-0.03377022503158531
YBR057C	-0.08317185148717253	-0.03377022503158531
YBR058C	-0.08317185148717253	1.3393512463419512
YBR059C	-0.08317185148717253	-0.03377022503158531
YBR062C	-0.08317185148717253	-0.03377022503158531
YBR063C	-0.08317185148717253	-0.03377022503158531
YBR064W	-0.08317185148717253	-0.03377022503158531
YBR065C	-0.08317185148717253	-0.03377022503158531
YBR066C	-0.08317185148717253	-0.03377022503158531
YBR067C	-0.08317185148717253	-0.03377022503158531
YBR068C	-0.08317185148717253	-0.03377022503158531
YBR069C	-0.08317185148717253	1.2199493792659917
YBR071W	-0.08317185148717253	-0.03377022503158531
YBR072W	-0.08317185148717253	-0.03377022503158531
YBR073W	-0.08317185148717253	-0.03377022503158531
YBR074W	-0.08317185148717253	-0.03377022503158531
YBR076W	-0.08317185148717253	-0.03377022503158531
YBR077C	-0.08317185148717253	1.458753113417911
YBR083W	-0.08317185148717253	-0.03377022503158531
YBR084W	-0.08317185148717253	-0.03377022503158531
YBR090C	-0.08317185148717253	-0.03377022503158531
YBR092C	-0.08317185148717253	-0.03377022503158531
YBR093C	-0.08317185148717253	-0.03377022503158531
YBR094W	-0.08317185148717253	-0.03377022503158531
YBR098W	-0.08317185148717253	-0.03377022503158531
YBR099C	-0.08317185148717253	0.9214447115760924
YBR101C	-0.08317185148717253	-0.03377022503158531
YBR103W	-5.8844084927175935	-3.257620636082498
YBR104W	-0.08317185148717253	-0.03377022503158531
YBR105C	-0.08317185148717253	-0.03377022503158531
YBR106W	-0.08317185148717253	2.4139680500255887
YBR107C	-0.08317185148717253	-0.03377022503158531
YBR108W	-0.08317185148717253	-0.03377022503158531
YBR112C	-0.08317185148717253	-0.03377022503158531
YBR113W	-0.08317185148717253	-0.03377022503158531
YBR114W	-0.08317185148717253	0.682640977424173
YBR116C	-0.08317185148717253	-0.03377022503158531
YBR119W	-0.08317185148717253	-0.03377022503158531
YBR120C	-0.08317185148717253	-0.03377022503158531
YBR125C	-0.08317185148717253	-0.03377022503158531
YBR126C	-0.08317185148717253	-0.03377022503158531
YBR127C	-0.08317185148717253	-0.03377022503158531
YBR128C	-0.08317185148717253	-0.03377022503158531
YBR129C	-0.08317185148717253	-0.03377022503158531
YBR130C	-0.08317185148717253	-0.03377022503158531
YBR131W	-0.08317185148717253	-4.212835572690175
YBR133C	-0.08317185148717253	-0.03377022503158531
YBR134W	-0.08317185148717253	-0.03377022503158531
YBR137W	-0.08317185148717253	-0.03377022503158531
YBR138C	-0.08317185148717253	-0.03377022503158531
YBR139W	-0.08317185148717253	-0.03377022503158531
YBR141C	-0.08317185148717253	-0.03377022503158531
YBR144C	-0.08317185148717253	-0.03377022503158531
YBR145W	-0.08317185148717253	-0.03377022503158531
YBR146W	-0.08317185148717253	-0.03377022503158531
YBR147W	-0.08317185148717253	-0.03377022503158531
YBR148W	-0.08317185148717253	-0.03377022503158531
YBR149W	-0.08317185148717253	-0.03377022503158531
