ORF	hap a | growth (spot assay) | disodium selenite [0.05-0.5 mM] | Manikova D~Chovanec M, 2012
YPL091W	30.000
YDL185W	30.000
YPL234C	30.000
YDR369C	30.000
YKL118W	24.000
YJL101C	24.000
YMR224C	24.000
YDR386W	24.000
YDR432W	24.000
YDR004W	24.000
YHR021C	24.000
YHR060W	24.000
YDR448W	21.000
YNL250W	21.000
YER095W	21.000
YIL148W	21.000
YOR295W	21.000
YGR105W	21.000
YKL119C	21.000
YNL107W	21.000
YOR331C	20.000
YDR264C	20.000
YDR529C	20.000
YDR195W	20.000
YJL189W	20.000
YPL129W	20.000
YBR127C	20.000
YOR332W	20.000
YGR020C	20.000
YEL051W	20.000
YDR495C	20.000
YLR240W	20.000
YJL175W	18.000
YDR433W	18.000
YMR031W-A	18.000
YNL171C	18.000
YJR018W	18.000
YHR013C	18.000
YOR141C	18.000
YPL084W	18.000
YCR002C	18.000
YFR036W	18.000
YMR198W	18.000
YOR039W	18.000
YMR078C	18.000
YOL145C	18.000
YDL160C	18.000
YBR101C	18.000
YGR252W	18.000
YDR174W	18.000
YJR139C	18.000
YGR223C	18.000
YOL012C	18.000
YPL017C	18.000
YPR141C	18.000
YPL004C	18.000
YPR164W	18.000
YLR320W	18.000
YBR098W	13.500
YBL024W	18.000
YPL226W	18.000
YDR176W	18.000
YMR091C	18.000
YDL116W	18.000
YLR338W	18.000
YDR323C	18.000
YLR032W	18.000
YML032C	18.000
YGL163C	18.000
YDR076W	18.000
YDL059C	18.000
YGL058W	18.000
YPL024W	18.000
YBL093C	18.000
YBL025W	18.000
YHR154W	18.000
YCR009C	18.000
YDR388W	18.000
YDR129C	18.000
YHL025W	18.000
YCR081W	18.000
YPR163C	18.000
YOR273C	18.000
YFR010W	18.000
YPR036W	18.000
YNR006W	18.000
YPL120W	18.000
YCL007C	16.000
YAL012W	16.000
YKL054C	16.000
YJL140W	16.000
YJL176C	16.000
YKL080W	16.000
YCL005W-A	16.000
YCL016C	15.000
YCL035C	15.000
YLR182W	15.000
YCR047C	13.500
YGL190C	13.500
YKL213C	13.500
YDL040C	13.500
YGR078C	13.500
YOL086C	12.000
YNL059C	12.000
YJR060W	12.000
YPR135W	12.000
YJR090C	12.000
YDR138W	12.000
YER026C	12.000
YIL128W	12.000
YPR131C	12.000
YGL070C	12.000
YOL067C	12.000
YMR060C	12.000
YOL148C	12.000
YBR081C	12.000
YAL016W	12.000
YEL027W	12.000
YLL002W	11.000
YPR099C	10.000
YER087W	10.000
YJL180C	10.000
YGL223C	10.000
YPL075W	10.000
YJL184W	10.000
YER014W	10.000
YOL143C	10.000
YDR470C	10.000
YER181C	9.000
YLL006W-A	9.000
YMR001C-A	9.000
YPL272C	9.000
YML111W	9.000
YGL019W	9.000
YCR086W	9.000
YHR191C	9.000
YDR069C	9.000
YFR019W	9.000
YOL049W	9.000
YER164W	9.000
YEL044W	9.000
YPL055C	9.000
YNL147W	9.000
YOL076W	9.000
YJR074W	9.000
YGR028W	9.000
YHL023C	9.000
YDL232W	9.000
YBR094W	9.000
YOR386W	9.000
YOL011W	9.000
YOR368W	9.000
YER173W	9.000
YDR028C	9.000
YBR191W	9.000
YJL136C	9.000
YBL103C	9.000
YDR502C	9.000
YDR477W	9.000
YGR104C	9.000
YCL037C	9.000
YBR231C	9.000
YOL006C	9.000
YER151C	9.000
YOR106W	9.000
YDL077C	9.000
YOR270C	9.000
YML097C	9.000
YGL038C	8.000
YER149C	8.000
YOR290C	8.000
YIR026C	8.000
